我一剑能挡百万兵,20,我一剑能挡百万兵。
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_7,我一剑能挡百万兵。,6653026.3868410597,1.0
daeh-ZuoChunGui-XiShi.xml_3,夜不眠朝慵起又向谁言。,6666123.0937850047,0.0
daeh-SunShangXiang-BieHuangGong.xml_3,留下了孙仲谋执掌江南。,6723480.5204754109,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_3,等候了爹爹回细问根由。,6734123.1841723453,0.0
sdxp-WoHeNi-SiLangTanMu.xml_27,你要见高堂母我不阻拦。,6742979.121164388,0.125
sdxp-DangNianHan-SanJiZhang.xml_21,不能、不能、是万不能！,6780706.0857987478,0.25
daxp-ChunQiuTing-SuoLinNang.xml_29,自把珠玉夸富豪，,6798603.6285669776,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_5,不知道他与我是否一般。,6799441.5691514127,0.25
daeh-ZaoBuXing-HeHouMaDian.xml_9,只骂得贼昏王扭转身驱、闭目合晴、羞羞惭惭一语不发，,6808127.7804541346,0.125
daxp-QiaoLouShang-HuangShanLei.xml_15,你爹爹到如今未转家门。,6894131.1442973632,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_2,在潼台被贼擒在命好险，,6905903.8637288306,0.0
daxp-ErTingDe-SuoLinNang.xml_30,小小囊儿何足道，,6955339.2130126329,0.0
daxp-ErTingDe-SuoLinNang.xml_5,问那厢因何故痛哭无聊？,6996781.9197111614,0.0
daxp-DiTouLi-NvQiJie.xml_1,将身来在大街前。,7043791.0678529665,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_1,到叫我桂英儿挂在心头；,7070865.0299395667,0.125
daxp-DangRiLi-SuoLinNang.xml_19,还有那赤金链，紫瑛簪，白玉环，双凤錾，八宝钗钏一个个宝孕光含。,7143958.3066288112,0.125
dldeh-ShouBiPo-ChunQiuPei.xml_2,病恹恹身无力难以挣扎。,7209587.9392391117,0.0
sdxp-DangNianHan-SanJiZhang.xml_18,大孝之人也受贫。,7273553.8504035613,0.0
daxp-LaoDieDie-YuZhouFeng.xml_0,老爹爹发恩德将本修上，,7343409.3495704038,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_1,倒叫我桂英儿挂在心头。,7356401.8759727078,0.125
daxp-MuQinBu-FengHuanChao.xml_3,女儿清白最为先。,7357601.2590828212,0.0
daeh-ZiNaRi-ErJinGong.xml_11,想必是徐杨进了昭阳。,7368919.4797974443,0.0
daxp-ChunQiuTing-SuoLinNang.xml_8,亦有饥寒悲怀抱，,7372228.4793859934,0.0
daxp-WoHeNi-SangYuanHui.xml_1,谁认你狼心狗肺的人！,7414494.597188619,0.0
daxp-FeiShiWo-TaoHuaCun.xml_12,响一声你就还一掌，,7446468.2905760184,0.125
daxp-QiaoLouShang-HuangShanLei.xml_5,猛听得窗儿外似有人行。,7493008.4782182863,0.0
daxp-ErTingDe-SuoLinNang.xml_29,积德才生玉树苗。,7581204.7828219626,0.0
daxp-WoDeNiang-XinAnYi.xml_3,却原来母亲到儿未知情。,7596050.0021838602,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_2,将身儿坐至在草堂等候，,7621148.6459569419,0.0
daxp-SuSanLi-NvQiJie.xml_2,未曾开言心内惨，,7644043.3508052602,0.0
daxp-NiDeFu-FenHeWan.xml_1,全仗你打雁养娘亲，,7672798.43578286,0.0
daxp-LaoDieDie-YuZhouFeng.xml_4,老爹爹在朝中官高爵显，,7682878.1223073695,0.0
daxp-WoZhuYe-SiLangTanMu.xml_5,阅兵书看何人前来何安。,7704508.8027975224,0.125
daxp-DangRiLi-SuoLinNang.xml_10,于归日理应当喜形于面，,7714646.7162352055,0.0
daeh-WuDuanQiao-BiYuZan.xml_7,又怕丑名误流传。,7740375.0905517759,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_4,想亲娘和老父心乱如麻。,7762856.9261667281,0.0
daeh-NuZiYou-TouJunBieYao.xml_1,为薛郎我父女断绝情长。,7790668.7350697005,0.125
daxp-DangRiLi-SuoLinNang.xml_8,轿中人必定有一腔幽怨，,7863979.3738233214,0.125
daxp-FeiShiWo-TaoHuaCun.xml_8,你不要高声不要嚷，,7868798.3119934285,0.0
daxp-ChunQiuTing-SuoLinNang.xml_25,安他半世凤凰巢。,7870418.4781537233,0.0
daxp-ErTingDe-SuoLinNang.xml_23,安她半世凤凰剿。,7870418.4781537233,0.0
daxp-XiShiNv-XiShi.xml_5,对清溪时照影自整罗农。,7893649.0505659869,0.0
sdxp-DangNianHan-SanJiZhang.xml_10,都是安邦定国臣，,7895005.0009797532,0.0
daeh-NuZiYou-TouJunBieYao.xml_2,但愿得去投军功名有望，,7895528.7530464455,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_7,帝王家深宫院似水流年。,7948552.3817209043,0.0
daxp-ErTingDe-SuoLinNang.xml_17,满腹骄矜顿雪潇。,7960584.6436411943,0.0
daxp-ErTingDe-SuoLinNang.xml_7,不该人前乱解嘲。,7960584.6436411943,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_3,但不知何日里再沐圣明。,7972035.2629192658,0.0
daeh-CanQiQi-WuLongZuo.xml_1,叹红颜多薄命父母双亡。,7973070.0210900744,0.0
daxp-ErTingDe-SuoLinNang.xml_10,蠢才问话太潦草，,7976767.0850488348,0.0
daxp-DuiLingHua-BiYuZan.xml_3,也算得人世间美满姻缘。,7989939.6998587111,0.0
daeh-WuDuanQiao-BiYuZan.xml_5,满腹冤屈向谁言。,8029330.9226952177,0.0
daxp-WoZhuYe-SiLangTanMu.xml_2,众卿随忙挂点亲率官员，,8073797.5227773543,0.0
daxp-ChunQiuTing-SuoLinNang.xml_19,满腹骄矜顿雪潇，,8076132.7024108423,0.0
daxp-ChunQiuTing-SuoLinNang.xml_31,积德才生玉树苗，,8101705.1946854629,0.0
daeh-TanHongYan-HuoXiaoYu.xml_5,隔着窗儿点滴不休。,8122357.8472079188,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_3,等候了爹爹回细问根由。,8141358.3389770705,0.0
daxp-XiRiLi-LongFengChengXiang.xml_2,暗地堪笑奴兄长，,8161104.1207611496,0.0
daxp-XiRiLi-LongFengChengXiang.xml_5,纵有大事料无妨。,8174371.09273268,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_1,唤起我破天门状志凌云。,8204931.1718140151,0.125
daxp-TingTaYan-ZuoGong.xml_6,早晚间休怪我言语怠慢，,8209049.487987251,0.125
daxp-QiaoLouShang-HuangShanLei.xml_2,对孤灯思远道心神不定，,8209108.0773048606,0.0
daxp-ChunQiuTing-SuoLinNang.xml_33,救她饥渴胜琼瑶。,8209968.753029638,0.0
daeh-SunShangXiang-BieHuangGong.xml_1,想起了已往事心内痛酸。,8216871.0337908547,0.0
daxp-ChunQiuTing-SuoLinNang.xml_23,他为饥寒我为娇。,8267601.1687623644,0.125
daeh-WangChunE-SanNiangJiaoZi.xml_1,想起了我老爷好不惨然。,8279940.4573770128,0.125
daxp-DuiLingHua-BiYuZan.xml_2,果然是成佳偶两心欢恋，,8320726.8424143819,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_7,帝王家深宫怨似水流年。,8321172.0849191416,0.0
daxp-WoZhuYe-SiLangTanMu.xml_4,叫番儿忙摆驾银安殿，,8332699.0966637162,0.0
sdxp-WoHeNi-SiLangTanMu.xml_31,一夜之间你怎能回还。,8341271.4347471548,0.25
daeh-NaRiFeng-YuanXiaoMi.xml_7,不如早死命归西。,8342859.3867933908,0.0
daeh-WuDuanQiao-BiYuZan.xml_1,薄命自伤怨红颜。,8391670.2964385487,0.0
daxp-ErTingDe-SuoLinNang.xml_31,救她饥渴胜琼瑶。,8393613.498457998,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_3,贫穷人得了志比富还强。,8429305.5981970374,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_5,莫奈何到荒郊我就来捡芦花。,8440141.4274465181,0.125
daeh-NuZiYou-TouJunBieYao.xml_0,奴自幼在闺阁娇生惯养，,8462655.1721324809,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_5,最可恨鸨儿叫我接客人。,8472690.4970915131,0.125
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_2,想当年桃花马上威风凛凛，,8589850.8651335053,0.0
daxp-DangRiLi-SuoLinNang.xml_11,为什么悲切切哭得可怜。,8637538.6697652098,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_0,老爹爹清晨起前去出前，,8657180.5847112592,0.0
daxp-DangRiLi-SuoLinNang.xml_21,换衣食也够她生活几年。,8660283.8996305559,0.0
daxp-DangRiLi-SuoLinNang.xml_2,在轿中只觉得天昏地暗。,8665323.4572972823,0.0
sdxp-SuLongWei-WuJiaPo.xml_29,府内金银堆如山。,8688948.1343952864,0.0
daxp-MuQinBu-FengHuanChao.xml_2,自古常言道得好，,8754623.3895761818,0.0
daxp-ErTingDe-SuoLinNang.xml_21,她为饥寒我为骄。,8764081.5172197875,0.125
daxp-ErDeFu-HongNiGuan.xml_5,不想到狠心郎一味猖狂。,8767951.5307933744,0.125
daxp-DangRiLi-SuoLinNang.xml_3,耳听得风声断，雨声喧，雷声乱，乐声阑珊，人声呐喊，都道说是大雨倾天。,8773120.6886602324,0.0
sdxp-SuLongWei-WuJiaPo.xml_27,三人对面（就）说分明。,8801295.8478534818,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_6,又谁知平白的闪跌一跤。,8815140.7439223658,0.125
daxp-MengJunZi-ChunQiuPei-1.xml_0,蒙君子至殷勤再三问话，,8874978.8010538146,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_1,有谁知一时错被逐宫廷。,8915094.6947452817,0.125
daxp-ErTingDe-SuoLinNang.xml_24,忙把梅香低声叫，,8930494.6980849281,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_3,我爹爹名姜绍贸易天涯。,8975790.4423880614,0.125
daeh-ZaoBuXing-HeHouMaDian.xml_1,贼昏王篡了位谋乱邦家。,9003873.8346475791,0.0
daxp-ErTingDe-SuoLinNang.xml_1,同遇人为什么这样嚎啕。,9031355.6235202383,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_0,小奴才他一言问住我，,9056586.2796215788,0.25
daeh-NaRiFeng-YuanXiaoMi.xml_0,那日风波平地起，,9057471.3999985363,0.0
daxp-ChunQiuTing-SuoLinNang.xml_32,小小囊儿何足道，,9061792.5731137805,0.0
daeh-LiYanFei-ErJinGong.xml_3,想必是徐杨将进了昭阳。,9101961.5187030025,0.0
daeh-ZiNaRi-ErJinGong.xml_1,独坐在寒宫院闷闷悠悠。,9126168.517637983,0.0
daxp-NiDeFu-FenHeWan.xml_3,不等到日落及早回程。,9129667.420394009,0.0
daxp-ChunQiuTing-SuoLinNang.xml_10,轿内的人儿弹别调，,9135326.9416284636,0.0
daxp-DangRiLi-SuoLinNang.xml_20,这囊儿虽非是千古罕见，,9140039.6090699676,0.0
daeh-WuDuanQiao-BiYuZan.xml_3,落得孤身病恹恹。,9207422.8798808753,0.0
daeh-ZiNaRi-ErJinGong.xml_3,太师爷一心心想篡龙楼。,9230389.6565496903,0.125
daxp-XiRiLiang-LongFengChengXiang.xml_2,暗地堪笑我兄长，,9231262.1753037572,0.125
daxp-LaoDieDie-DaYuShaJia-1.xml_2,将身儿坐至在草堂等候，,9246328.2937608045,0.0
daxp-QiaoLouShang-HuangShanLei.xml_9,看娇儿正酣睡恐被风侵。,9258045.3744065482,0.0
daxp-ErTingDe-SuoLinNang.xml_25,莫把姓名你信口哓。,9271018.6048955433,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_7,贼好比那司马师搅乱中华。,9310022.3321899287,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_0,老爹爹请息怒容儿细讲，,9320680.50210521,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_3,我的父名姜绍贸易天涯。,9349491.6323845051,0.125
dldeh-ShouBiPo-ChunQiuPei.xml_3,奴好比花未开风吹雨打，,9370401.3823296949,0.0
daxp-TingTaYan-ZuoGong.xml_3,他思家乡想骨肉就不能团圆。,9389728.3418715391,0.125
daeh-ZiNaRi-ZhuangYuanMei-1.xml_3,乱军中多亏他救我回还。,9422632.3251202125,0.125
daxp-LaoDieDie-SanJiZhang-1.xml_2,父休笑薛平贵是花郎模样，,9548850.5904314984,0.0
daxp-ErTingDe-SuoLinNang.xml_12,你不该人前逞骄傲，,9560962.4658183549,0.0
sdxp-DangNianHan-SanJiZhang.xml_20,爹爹为何你要退婚？,9562911.4258584511,0.0
daeh-ZuoChunGui-XiShi.xml_0,坐春闺只觉得光明似箭，,9619905.5635732617,0.0
daxp-ChunQiuTing-SuoLinNang.xml_26,忙把梅香低声儿叫，,9670372.5119041372,0.0
daeh-LiYanFei-DaBaoGuo.xml_9,压定了文武臣均要画押。,9693082.6293267906,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_0,老爹爹清晨起前去出首，,9720790.8625818379,0.0
daxp-QiaoLouShang-HuangShanLei.xml_11,又思来又想去越不安宁。,9721684.8978041094,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_2,舅父前来出主意，,9754113.3653911799,0.0
daxp-DangRiLi-SuoLinNang.xml_1,霎时间日色淡似坠西山。,9792399.321232589,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_4,在家中受不过继母拷打，,9820652.819297377,0.0
daxp-QiaoLouShang-HuangShanLei.xml_0,谯楼上二更鼓声声送听，,9821859.8562073037,0.0
daxp-DangRiLi-SuoLinNang.xml_13,怎奈我在轿中赤手空拳。,9849809.9861304406,0.125
sdxp-WoHeNi-SiLangTanMu.xml_33,你也对苍天就表一番。,9854233.9647998996,0.125
daeh-WangChunE-SanNiangJiaoZi.xml_0,王春娥坐草堂自思自叹，,9867066.3133048248,0.0
daxp-QiaoLouShang-HuangShanLei.xml_4,到三更真个是月明人静，,9872707.5889630411,0.0
daxp-ErTingDe-SuoLinNang.xml_6,梅香说话好颠倒，,9891383.7363831066,0.0
daxp-FeiShiWo-TaoHuaCun.xml_11,是不是有人拍巴掌。,9912298.1885251515,0.0
daxp-XiShiNv-XiShi.xml_1,难得有开怀事常锁双眉。,9915668.4810093231,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_11,两旁的文武臣珠泪如麻，,9926675.8556187246,0.0
daxp-DangRiLi-SuoLinNang.xml_18,还有那夜明珠粒粒成串，,9994113.0005721636,0.0
sdxp-DangNianHan-SanJiZhang.xml_11,淮阴漂母救韩信，,10001023.022477232,0.0
daeh-LiYanFei-DaBaoGuo.xml_2,太师爷奏一本进贡年下，,10006758.449180249,0.125
daeh-ZiNaRi-ZhuangYuanMei-2.xml_9,宋天子主婚姻此事成全。,10045024.789924448,0.0
daxp-TingTaYan-ZuoGong.xml_7,不知者不怪罪你的海量放宽。,10102121.866719719,0.0
daxp-ErTingDe-SuoLinNang.xml_26,这都是神话凭空造，,10127914.968991123,0.0
daxp-NiDeFu-FenHeWan.xml_2,把弓带和鱼镖与儿带定，,10202509.614592541,0.0
daxp-FeiShiWo-TaoHuaCun.xml_15,那就是来了我西厢带路的小红娘。,10255780.415515376,0.125
daxp-DiTouLi-NvQiJie.xml_4,哪一位去往南京转，,10280996.514891122,0.125
daxp-ChunQiuTing-SuoLinNang.xml_28,这都是神话凭空造，,10286149.100596607,0.0
daxp-ErDeFu-HongNiGuan.xml_7,又恐怕众将官说短论长。,10296054.775706735,0.0
daxp-DiTouLi-NvQiJie.xml_2,未曾开言我心好惨，,10332854.469991082,0.125
daxp-FeiShiWo-TaoHuaCun.xml_6,鼓打二更准时往，,10356422.165053213,0.0
daxp-ChunQiuTing-SuoLinNang.xml_7,世上何尝尽富豪，,10386611.21961334,0.0
daxp-ChunQiuTing-SuoLinNang.xml_4,吉日良辰当欢笑，,10421356.38435155,0.0
daxp-DangRiLi-SuoLinNang.xml_15,囊虽小却能做续命泉源。,10421693.095068898,0.125
daxp-LaoDieDie-YuZhouFeng.xml_3,观此本免了儿一门祸殃。,10425719.928323705,0.125
daxp-FeiShiWo-TaoHuaCun.xml_3,关系你患难鸳鸯永宿在池塘。,10433601.572049299,0.0
daeh-LiYanFei-ErJinGong.xml_2,耳边厢又听得朝靴响亮，,10446071.408360757,0.0
daeh-WuDuanQiao-BiYuZan.xml_0,无端巧计将人陷，,10490476.409894109,0.0
daxp-ErTingDe-SuoLinNang.xml_13,不该词费又滔滔。,10496736.696344808,0.0
daxp-FeiShiWo-TaoHuaCun.xml_13,响两声你就凑近身旁。,10500771.182439599,0.0
daeh-SunShangXiang-BieHuangGong.xml_7,阿斗儿行中途被子龙追还。,10506841.704715382,0.0
daxp-ErDeFu-HongNiGuan.xml_0,儿的父为国家阵前命丧，,10510281.567614229,0.0
daxp-ErTingDe-SuoLinNang.xml_4,叫梅香你把那好言相告，,10512377.330483649,0.0
daeh-ZiNaRi-ErJinGong.xml_10,耳边厢又听得朝靴响亮，,10513993.367082234,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_11,但愿得杨六郎心如石坚。,10548166.621114923,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_6,你继母心毒狠将你打骂，,10574160.954579575,0.0
daxp-LaoDieDie-YuZhouFeng.xml_2,倘若是有道君皇恩浩荡，,10607838.682188787,0.0
daeh-CanQiQi-WuLongZuo.xml_0,惨凄凄唤苍天天不应响，,10632518.275390908,0.0
daeh-ZiNaRi-ErJinGong.xml_5,竟把我孤儿寡母当做了马牛。,10649055.579014497,0.125
daxp-MuQinBu-FengHuanChao.xml_0,母亲不必心太偏，,10652298.443501011,0.0
daeh-LiYanFei-DaBaoGuo.xml_0,李艳妃设早朝龙书案下，,10670444.111399099,0.0
daxp-QiaoLouShang-HuangShanLei.xml_3,不知他在荒山何处安身。,10755848.77898097,0.0
daxp-ErDeFu-HongNiGuan.xml_3,倒不如与伯党匹配鸾凰。,10792899.886340473,0.0
daxp-ChunQiuTing-SuoLinNang.xml_11,必有隐情在心潮。,10793055.853794791,0.0
daxp-XiShiNv-XiShi.xml_4,怕只怕损玉颜姣容自惜，,10914884.542320091,0.0
daeh-ZuoChunGui-XiShi.xml_2,奴这里心中痛玉颜清减，,10926995.934791084,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_5,因此上到郊外来捡芦花（呀）。,10963238.581897249,0.0
daeh-ZiNaRi-ErJinGong.xml_0,自那日与徐杨决裂以后，,11004852.445400987,0.0
daxp-QiaoLouShang-HuangShanLei.xml_1,父子们去采药未见回程。,11035463.643521812,0.0
daxp-ErTingDe-SuoLinNang.xml_2,莫不是夫郎丑难谐女貌，,11087967.583860822,0.0
daeh-SunShangXiang-BieHuangGong.xml_2,遭不幸父王爷把驾来晏，,11118814.528800838,0.0
daxp-LaoDieDie-YuZhouFeng.xml_5,却为何贪富贵不顾羞惭。,11122285.567914464,0.0
daxp-ChunQiuTing-SuoLinNang.xml_14,莫不是夫郎丑难谐女貌？,11172089.526615078,0.0
daxp-FeiShiWo-TaoHuaCun.xml_16,你把我当做诸葛亮，,11192954.088693401,0.125
daxp-ChunQiuTing-SuoLinNang.xml_27,莫把姓名你信口晓，,11219497.686623881,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_1,儿命苦怎配着状元才郎？,11223393.902451089,0.0
daeh-SunShangXiang-BieHuangGong.xml_6,回荆州未三载诓我回转，,11271087.317784287,0.125
daeh-NaRiFeng-YuanXiaoMi.xml_6,我今绝少人生趣，,11284983.679756045,0.125
daeh-WuDuanQiao-BiYuZan.xml_2,独处闺房愁无限，,11353975.099395575,0.0
daxp-SuSanLi-NvQiJie.xml_6,言说苏三把命断，,11400191.361965185,0.0
daxp-DuiLingHua-BiYuZan.xml_0,对菱花暗地里芳心自转，,11411916.791547552,0.0
daxp-DangRiLi-SuoLinNang.xml_7,哪有这短花帘，旧花幔，参差流苏，残破不全。,11461645.741144894,0.0
daeh-LiYanFei-DaBaoGuo.xml_4,将江山让太师权且代贺，,11466285.409616437,0.0
daxp-ChunQiuTing-SuoLinNang.xml_0,春秋亭外风雨暴，,11469372.384524746,0.0
daxp-MuQinBu-FengHuanChao.xml_5,活在世上也枉然。,11499703.192719204,0.0
daxp-ErTingDe-SuoLinNang.xml_11,难免怀疑在心梢。,11503721.40593766,0.0
daxp-SuSanLi-NvQiJie.xml_3,过往的君子听我言。,11506948.628973985,0.125
sdeh-WenSanNiang-SanNiangJiaoZi.xml_4,背转身来哭嚎啕。,11569917.772331553,0.0
sdxp-DangNianHan-SanJiZhang.xml_14,在六国封相人上人。,11571488.72239136,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_1,受逼迫去捡柴泪如雨下，,11578302.209695812,0.0
daxp-FeiShiWo-TaoHuaCun.xml_17,听我的号令上战场。,11579475.647562061,0.125
daxp-ChunQiuTing-SuoLinNang.xml_1,何处悲声破寂寥。,11587362.38347269,0.0
daxp-QiaoLouShang-HuangShanLei.xml_7,原来是秋风起扫叶之声。,11609652.666339267,0.0
daeh-ZiNaRi-ErJinGong.xml_13,我只得怀抱太子两泪汪汪口口声声哭的是先王！,11634756.786467994,0.125
daxp-ChunQiuTing-SuoLinNang.xml_13,同遇人为什么这样嚎啕？,11648121.557301108,0.0
daeh-SunShangXiang-BieHuangGong.xml_0,孙尚香坐宫院自思自叹，,11683513.970155548,0.0
daxp-FeiShiWo-TaoHuaCun.xml_5,怎能够粗心大意你再荒唐。,11692916.508058105,0.125
daeh-ZaoBuXing-HeHouMaDian.xml_5,贼好比曹阿瞒半点不差，,11713318.607644897,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_3,老薛保好一似浪里舟船。,11731969.509583067,0.125
daxp-DangRiLi-SuoLinNang.xml_9,她泪自弹、声续断、似杜鹃、啼别院、巴峡哀猿动人心弦，好不惨然。,11753859.087459857,0.0
daeh-SunShangXiang-BieHuangGong.xml_5,又谁知弄假成真反配凤鸾。,11756245.787531016,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_13,你叔王不让位再去骂他。,11775128.964529196,0.0
sdxp-SuLongWei-WuJiaPo.xml_33,家人小厮有万千。,11778681.366624018,0.125
daeh-ZaoBuXing-HeHouMaDian.xml_3,反倒说为嫂我拦阻有差，,11780254.901689155,0.125
daxp-FeiShiWo-TaoHuaCun.xml_1,只怪你呆头呆脑慌慌张张。,11814831.542865232,0.0
sdxp-SuLongWei-WuJiaPo.xml_31,命人送到（那）西凉川。,11818505.430898648,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_1,行不安坐不宁情态缠绵。,11849624.831017965,0.0
daxp-ChunQiuTing-SuoLinNang.xml_3,想必是新婚渡鹊桥，,11855401.402635265,0.0
daxp-ChunQiuTing-SuoLinNang.xml_2,在隔帘只见这一花轿，,11901304.021927223,0.125
daeh-LiYanFei-ErJinGong.xml_0,李艳妃坐昭阳自思自想，,11915848.564752189,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_0,老爹爹请息（呀）怒容儿细讲，,11930013.92338714,0.0
daeh-LiYanFei-DaBaoGuo.xml_3,各国的众王侯朝贺中华。,11943734.772330711,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_1,闭口无言王春娥。,11955048.715749957,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_1,行不安坐不宁情态缠绵。,11968616.745682562,0.0
daxp-SuSanLi-NvQiJie.xml_5,与我那三郎把信传。,12006555.644776275,0.125
daxp-ErTingDe-SuoLinNang.xml_0,耳听得悲声惨心中如捣，,12022027.132289864,0.0
daxp-DiTouLi-NvQiJie.xml_6,就说苏三把命断，,12059709.745812746,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_4,这桩事闷得我柔肠百转，,12108758.652433569,0.25
daxp-ChunQiuTing-SuoLinNang.xml_12,耳听得悲声惨心中如捣，,12129056.114817875,0.0
daxp-DangRiLi-SuoLinNang.xml_14,急切里想起了锁麟囊一（呀）件，,12140238.044825951,0.125
daeh-ZiNaRi-ZhuangYuanMei-2.xml_3,乱军中多亏他救我回还。,12144608.647112735,0.125
daxp-ChunQiuTing-SuoLinNang.xml_5,为何鲛珠化泪抛？,12177464.584503055,0.0
daxp-ErTingDe-SuoLinNang.xml_22,分我一枝珊瑚宝，,12178688.713141359,0.25
sdxp-DangNianHan-SanJiZhang.xml_13,商鞅不中苏季子，,12178688.713141359,0.0
daxp-TingTaYan-ZuoGong.xml_2,原来是杨家将把名姓改换，,12200695.113120103,0.0
daxp-SuSanLi-NvQiJie.xml_7,来生变犬马我当报还！,12314858.354545619,0.125
daeh-TanHongYan-HuoXiaoYu.xml_4,枕边泪（呀）共（那）阶前雨，,12324478.975455971,0.0
daxp-WoZhuYe-SiLangTanMu.xml_3,一心心要夺取宋室江山。,12385888.587793287,0.125
daxp-DangRiLi-SuoLinNang.xml_5,隔帘儿我也曾侧目偷观。,12389280.879897121,0.125
sdxp-SuLongWei-WuJiaPo.xml_35,打板子、上夹棍、丢南牢、坐监禁、管叫你思前容易退后难。,12463518.30695186,0.0
daeh-LiYanFei-DaBaoGuo.xml_8,赐你的上方剑朝房问话，,12474307.943695515,0.125
sdxp-SuLongWei-WuJiaPo.xml_39,妻儿老小与奴一般。,12490139.82544218,0.125
daeh-ZiNaRi-ZhuangYuanMei-1.xml_11,但愿得杨六郎心如石坚，,12506878.435284635,0.0
daxp-DangRiLi-SuoLinNang.xml_16,有金珠和珍宝光华灿烂，,12543904.258783581,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_2,家住在罗郡城魁星楼下，,12587338.079116473,0.0
