有生之日责当尽,14,有生之日责当尽，
daxp-ChunQiuTing-SuoLinNang.xml_10,轿内的人儿弹别调，,4124779.1600620183,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_5,那厢流泪这厢啼。,4153599.556038802,0.0
daxp-WoHeNi-SangYuanHui.xml_1,谁认你狼心狗肺的人！,4177846.0828592628,0.0
daxp-ErTingDe-SuoLinNang.xml_21,她为饥寒我为骄。,4293112.6440049978,0.0
daeh-ZiNaRi-ErJinGong.xml_11,想必是徐杨进了昭阳。,4301852.1923453445,0.0
daxp-SuSanLi-NvQiJie.xml_6,言说苏三把命断，,4323008.623640595,0.0
sdxp-DangNianHan-SanJiZhang.xml_21,不能、不能、是万不能！,4350891.4760524621,0.0
daxp-ErTingDe-SuoLinNang.xml_1,同遇人为什么这样嚎啕。,4355770.4337909156,0.0
daeh-LiYanFei-ErJinGong.xml_3,想必是徐杨将进了昭阳。,4388988.7301100641,0.0
daxp-ErTingDe-SuoLinNang.xml_17,满腹骄矜顿雪潇。,4417176.824830275,0.0
daxp-ErTingDe-SuoLinNang.xml_7,不该人前乱解嘲。,4417176.824830275,0.0
daeh-NuZiYou-TouJunBieYao.xml_3,也不枉我二人苦度时光。,4491896.0401796931,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_5,叹一声不由人珠泪如梭。,4498297.2150246557,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_11,两旁的文武臣珠泪如麻，,4512225.6640534727,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_3,等候了爹爹回细问根由。,4600164.8928543609,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_2,舅父前来出主意，,4643141.5387792476,0.0
daxp-DiTouLi-NvQiJie.xml_2,未曾开言我心好惨，,4744972.3194787977,0.0
daxp-QiaoLouShang-HuangShanLei.xml_0,谯楼上二更鼓声声送听，,4782326.8390925601,0.0
sdxp-WoHeNi-SiLangTanMu.xml_28,有心赠你金鈚箭，,4869538.8323625503,0.14285714285714285
daeh-ZuoChunGui-XiShi.xml_3,夜不眠朝慵起又向谁言。,4888255.5084178615,0.0
daxp-ErDeFu-HongNiGuan.xml_5,不想到狠心郎一味猖狂。,4898577.4958252078,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_13,你叔王不让位再去骂他。,4922388.68037776,0.0
daxp-DangRiLi-SuoLinNang.xml_5,隔帘儿我也曾侧目偷观。,4948423.2577324165,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_5,贼好比曹阿瞒半点不差，,5024369.94845038,0.0
daeh-LiYanFei-DaBaoGuo.xml_5,候幼主成了龙原业归家。,5067295.4384243563,0.0
daeh-NuZiYou-TouJunBieYao.xml_2,但愿得去投军功名有望，,5069093.8798927702,0.14285714285714285
daeh-ZuoChunGui-XiShi.xml_1,无限的闲愁恨尽上眉尖。,5098405.9374645483,0.14285714285714285
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_5,寸土怎能够属于他人。,5099993.1065898351,0.0
daxp-DangRiLi-SuoLinNang.xml_20,这囊儿虽非是千古罕见，,5111993.5943541722,0.0
daeh-CanQiQi-WuLongZuo.xml_0,惨凄凄唤苍天天不应响，,5130568.702881977,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_0,老爹爹清晨起前去出首，,5190358.713820003,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_5,每日里在书房苦读圣贤。,5203700.8723600591,0.14285714285714285
daxp-DiTouLi-NvQiJie.xml_6,就说苏三把命断，,5204828.5008728383,0.0
sdxp-DangNianHan-SanJiZhang.xml_14,在六国封相人上人。,5265537.4756783359,0.0
daxp-SuSanLi-NvQiJie.xml_2,未曾开言心内惨，,5278368.6706939302,0.0
sdxp-WoHeNi-SiLangTanMu.xml_29,怕你一去就不回还。,5283287.863788289,0.0
daxp-TingTaYan-ZuoGong.xml_6,早晚间休怪我言语怠慢，,5291960.8052310562,0.0
daxp-ChunQiuTing-SuoLinNang.xml_9,也有失意痛哭嚎啕，,5316187.7506793262,0.14285714285714285
daeh-ZiNaRi-ErJinGong.xml_7,看一看不觉到八月中秋。,5320112.11523192,0.0
sdxp-WoHeNi-SiLangTanMu.xml_33,你也对苍天就表一番。,5350127.6315146517,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_3,反倒说为嫂我拦阻有差，,5370449.0969810076,0.14285714285714285
daxp-ChunQiuTing-SuoLinNang.xml_28,这都是神话凭空造，,5375194.3458648995,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_7,贼好比那司马师搅乱中华。,5382601.4554132679,0.0
daeh-LiYanFei-DaBaoGuo.xml_1,文站东武列西朝贺哀家。,5396472.425440032,0.0
sdxp-SuLongWei-WuJiaPo.xml_37,欺奴犹如欺了天。,5403322.6127757188,0.0
daeh-ZiNaRi-ErJinGong.xml_3,太师爷一心心想篡龙楼。,5404041.2228231002,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_2,父休笑薛平贵是花郎模样，,5455006.6386450836,0.0
daeh-SunShangXiang-BieHuangGong.xml_5,又谁知弄假成真反配凤鸾。,5456474.9897336653,0.0
daxp-ChunQiuTing-SuoLinNang.xml_11,必有隐情在心潮。,5501675.350493188,0.14285714285714285
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_2,想当年桃花马上威风凛凛，,5515772.1598592279,0.14285714285714285
daxp-ChunQiuTing-SuoLinNang.xml_16,叫梅香你把那好言相告，,5516453.2458873307,0.0
daxp-FeiShiWo-TaoHuaCun.xml_16,你把我当做诸葛亮，,5519160.0558641227,0.14285714285714285
daeh-XiaoNuCai-SanNiangJiaoZi.xml_3,等候了你妻子同见阎罗。,5521665.9183251476,0.0
daxp-QiaoLouShang-HuangShanLei.xml_12,数更等交五鼓空房愈冷，,5553890.5342880106,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_11,但愿得杨六郎心如石坚，,5568657.7049699128,0.0
daxp-DangRiLi-SuoLinNang.xml_21,换衣食也够她生活几年。,5607998.1581593249,0.14285714285714285
daxp-QiaoLouShang-HuangShanLei.xml_15,你爹爹到如今未转家门。,5618300.6510052141,0.0
daxp-ErTingDe-SuoLinNang.xml_26,这都是神话凭空造，,5640230.6440151846,0.0
daxp-QiaoLouShang-HuangShanLei.xml_2,对孤灯思远道心神不定，,5640429.5420369366,0.0
daxp-LaoDieDie-YuZhouFeng.xml_0,老爹爹发恩德将本修上，,5645073.631067086,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_1,闭口无言王春娥。,5673868.4952151813,0.0
daeh-SunShangXiang-BieHuangGong.xml_7,阿斗儿行中途被子龙追还。,5692128.3719696365,0.0
daxp-XiRiLi-LongFengChengXiang.xml_5,纵有大事料无妨。,5696675.9799204152,0.14285714285714285
daeh-ZiNaRi-ErJinGong.xml_8,李艳妃坐昭阳自思自想，,5715675.826429639,0.0
sdxp-DangNianHan-SanJiZhang.xml_16,难道说文官他就不丧身？,5718821.8000856703,0.0
daxp-ErTingDe-SuoLinNang.xml_29,积德才生玉树苗。,5743928.6595231127,0.14285714285714285
daxp-MengJunZi-ChunQiuPei-1.xml_0,蒙君子至殷勤再三问话，,5759887.587923931,0.0
daxp-TingTaYan-ZuoGong.xml_2,原来是杨家将把名姓改换，,5761238.3531954037,0.0
daxp-ErTingDe-SuoLinNang.xml_4,叫梅香你把那好言相告，,5771089.2025841223,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_3,老薛保好一似浪里舟船。,5783024.9049626077,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_5,莫奈何到荒郊我就来捡芦花。,5799376.8005751399,0.0
daxp-WoZhuYe-SiLangTanMu.xml_2,众卿随忙挂点亲率官员，,5847600.5641225297,0.0
daeh-TanHongYan-HuoXiaoYu.xml_4,枕边泪（呀）共（那）阶前雨，,5870169.047342483,0.0
sdxp-SuLongWei-WuJiaPo.xml_33,家人小厮有万千。,5878916.384792408,0.14285714285714285
daxp-LaoDieDie-DaYuShaJia-1.xml_2,将身儿坐至在草堂等候，,5910722.7030118173,0.0
daxp-MuQinBu-FengHuanChao.xml_0,母亲不必心太偏，,5924046.9978593271,0.0
daxp-TingTaYan-ZuoGong.xml_3,他思家乡想骨肉就不能团圆。,5933073.4073135592,0.0
daxp-SuSanLi-NvQiJie.xml_3,过往的君子听我言。,5934349.76731095,0.0
daxp-FeiShiWo-TaoHuaCun.xml_3,关系你患难鸳鸯永宿在池塘。,5941762.9145803638,0.0
daxp-LaoDieDie-YuZhouFeng.xml_2,倘若是有道君皇恩浩荡，,5978631.0807876494,0.14285714285714285
daxp-LaoDieDie-DaYuShaJia-1.xml_0,老爹爹清晨起前去出前，,5997026.1787830777,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_3,等候了爹爹回细问根由。,6033111.3045758037,0.0
daxp-ErTingDe-SuoLinNang.xml_2,莫不是夫郎丑难谐女貌，,6036063.7386882883,0.0
daxp-FeiShiWo-TaoHuaCun.xml_1,只怪你呆头呆脑慌慌张张。,6051769.62694724,0.0
daxp-ChunQiuTing-SuoLinNang.xml_14,莫不是夫郎丑难谐女貌？,6061449.6754880622,0.0
sdxp-DangNianHan-SanJiZhang.xml_18,大孝之人也受贫。,6084451.8974058498,0.14285714285714285
daeh-NuZiYou-TouJunBieYao.xml_0,奴自幼在闺阁娇生惯养，,6098985.385662769,0.14285714285714285
daeh-LiYanFei-DaBaoGuo.xml_8,赐你的上方剑朝房问话，,6121900.0160159133,0.0
daxp-DangRiLi-SuoLinNang.xml_8,轿中人必定有一腔幽怨，,6142017.6504203286,0.14285714285714285
daeh-ZiNaRi-ZhuangYuanMei-1.xml_1,行不安坐不宁情态缠绵。,6146784.5368382568,0.0
daxp-ErTingDe-SuoLinNang.xml_6,梅香说话好颠倒，,6149069.1559950477,0.0
daxp-SuSanLi-NvQiJie.xml_5,与我那三郎把信传。,6162505.0160534661,0.0
daxp-DangRiLi-SuoLinNang.xml_19,还有那赤金链，紫瑛簪，白玉环，双凤錾，八宝钗钏一个个宝孕光含。,6167408.3540950771,0.14285714285714285
daeh-ZiNaRi-ZhuangYuanMei-1.xml_9,宋天子主婚姻此事成全。,6193960.7434267569,0.0
daxp-SuSanLi-NvQiJie.xml_7,来生变犬马我当报还！,6196022.2518036226,0.2857142857142857
daxp-XiRiLi-LongFengChengXiang.xml_2,暗地堪笑奴兄长，,6216853.8195800651,0.0
daxp-DiTouLi-NvQiJie.xml_7,来生变犬马我当报还。,6222346.7392608598,0.2857142857142857
sdxp-DangNianHan-SanJiZhang.xml_12,登台拜帅天下闻。,6228298.6793613741,0.0
daxp-FeiShiWo-TaoHuaCun.xml_15,那就是来了我西厢带路的小红娘。,6244385.0042484431,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_3,这样人得了志比父还强。,6260813.0162697611,0.0
daxp-DuiLingHua-BiYuZan.xml_2,果然是成佳偶两心欢恋，,6268713.4437821209,0.0
daxp-FeiShiWo-TaoHuaCun.xml_8,你不要高声不要嚷，,6282079.526186524,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_7,全（呐）不顾你身有病气力不佳。,6289836.0672312817,0.14285714285714285
daxp-ErTingDe-SuoLinNang.xml_11,难免怀疑在心梢。,6318346.2282619001,0.0
daxp-WoDeNiang-XinAnYi.xml_3,却原来母亲到儿未知情。,6320603.370203332,0.0
daeh-SunShangXiang-BieHuangGong.xml_8,恨只恨我兄长把事错办，,6324509.7888436969,0.0
daeh-WuDuanQiao-BiYuZan.xml_7,又怕丑名误流传。,6330787.4787499374,0.0
daxp-ErTingDe-SuoLinNang.xml_9,哪有个袖手旁观在壁上瞧。,6349360.242659363,0.14285714285714285
daeh-LiYanFei-ErJinGong.xml_0,李艳妃坐昭阳自思自想，,6367972.5103714019,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_3,老薛保你不必苦哀告，,6370775.6480326541,0.0
daeh-WuDuanQiao-BiYuZan.xml_0,无端巧计将人陷，,6378677.0921426667,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_0,老爹爹请息（呀）怒容儿细讲，,6389290.2413380323,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_2,将身儿坐至在草堂等候，,6392763.6362285083,0.0
sdxp-WoHeNi-SiLangTanMu.xml_27,你要见高堂母我不阻拦。,6426249.2525117574,0.0
daxp-QiaoLouShang-HuangShanLei.xml_14,我不免唤琏儿到街前探问，,6439296.0763837453,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_1,到叫我桂英儿挂在心头；,6443100.6393248588,0.0
daxp-ChunQiuTing-SuoLinNang.xml_5,为何鲛珠化泪抛？,6485273.8415179057,0.0
daeh-NuZiYou-TouJunBieYao.xml_1,为薛郎我父女断绝情长。,6517900.6765179494,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_9,只骂得贼昏王扭转身驱、闭目合晴、羞羞惭惭一语不发，,6537297.2824071767,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_4,这桩事闷得我柔肠百转，,6537678.1308556851,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_0,那日风波平地起，,6545410.2429798832,0.14285714285714285
daxp-QiaoLouShang-HuangShanLei.xml_11,又思来又想去越不安宁。,6552156.7678702753,0.0
daxp-ChunQiuTing-SuoLinNang.xml_33,救她饥渴胜琼瑶。,6620701.484250986,0.0
daxp-FeiShiWo-TaoHuaCun.xml_10,不但要仔细听、还要仔细想，,6624301.922944461,0.0
daxp-ErTingDe-SuoLinNang.xml_31,救她饥渴胜琼瑶。,6626947.7975367326,0.0
daxp-DangRiLi-SuoLinNang.xml_17,红珊瑚碧翡翠样样倶全。,6661945.5070016831,0.0
daxp-DiTouLi-NvQiJie.xml_4,哪一位去往南京转，,6667643.5101559516,0.0
daxp-FeiShiWo-TaoHuaCun.xml_11,是不是有人拍巴掌。,6675115.623723316,0.14285714285714285
daxp-LaoDieDie-YuZhouFeng.xml_4,老爹爹在朝中官高爵显，,6683915.4013847681,0.0
daxp-ChunQiuTing-SuoLinNang.xml_29,自把珠玉夸富豪，,6713962.3447994124,0.0
daeh-LiYanFei-DaBaoGuo.xml_0,李艳妃设早朝龙书案下，,6766908.874979849,0.0
daeh-LiYanFei-DaBaoGuo.xml_3,各国的众王侯朝贺中华。,6776463.4649143098,0.0
daxp-ChunQiuTing-SuoLinNang.xml_8,亦有饥寒悲怀抱，,6787702.5135184443,0.14285714285714285
sdxp-DangNianHan-SanJiZhang.xml_10,都是安邦定国臣，,6805877.9153773747,0.0
daeh-SunShangXiang-BieHuangGong.xml_6,回荆州未三载诓我回转，,6838758.4991447134,0.0
daxp-FeiShiWo-TaoHuaCun.xml_14,倘若是你响她也响，,6862889.1450461801,0.0
sdxp-SuLongWei-WuJiaPo.xml_29,府内金银堆如山。,6891624.1045728624,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_4,背转身来哭嚎啕。,6904750.5307352422,0.0
daeh-LiYanFei-DaBaoGuo.xml_9,压定了文武臣均要画押。,6915711.4552875441,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_7,帝王家深宫院似水流年。,6916195.6416347232,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_0,小奴才他一言问住我，,6928841.9735656362,0.0
daeh-ZiNaRi-ErJinGong.xml_10,耳边厢又听得朝靴响亮，,6952692.4056784064,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_1,受逼迫去捡柴泪如雨下，,7008923.6591956709,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_1,想起了我老爷好不惨然。,7011788.7735153902,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_8,只骂得贼昏王装聋作哑，,7013000.6551794065,0.0
daeh-WuDuanQiao-BiYuZan.xml_2,独处闺房愁无限，,7031850.5382275898,0.0
daxp-ErTingDe-SuoLinNang.xml_27,自把珠玉夸富豪。,7034304.1641407423,0.0
daxp-ChunQiuTing-SuoLinNang.xml_19,满腹骄矜顿雪潇，,7047183.0078574046,0.0
daeh-WuDuanQiao-BiYuZan.xml_6,一心早想寻短见，,7061213.7403230565,0.0
daeh-WuDuanQiao-BiYuZan.xml_3,落得孤身病恹恹。,7067175.6698463559,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_2,暗地堪笑我兄长，,7120003.4367313785,0.0
daeh-ZuoChunGui-XiShi.xml_0,坐春闺只觉得光明似箭，,7125761.3466761913,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_6,我今绝少人生趣，,7126655.4203221919,0.14285714285714285
daxp-MengJunZi-ChunQiuPei-1.xml_4,在家中受不过继母拷打，,7129926.1007383475,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_10,只骂得贼昏王无言对答。,7133650.6941447249,0.0
daxp-ErDeFu-HongNiGuan.xml_7,又恐怕众将官说短论长。,7139691.2897511628,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_0,陈三两在大堂把话云，,7210100.9693694357,0.0
daxp-NiDeFu-FenHeWan.xml_1,全仗你打雁养娘亲，,7227111.8030626578,0.0
daeh-TanHongYan-HuoXiaoYu.xml_2,薄幸冤家音信无有，,7263527.2140683252,0.14285714285714285
daxp-QiaoLouShang-HuangShanLei.xml_13,果然是晓鸡唱天已黎明。,7270113.6694162441,0.0
daeh-WuDuanQiao-BiYuZan.xml_5,满腹冤屈向谁言。,7285514.5048656408,0.0
daeh-LiYanFei-ErJinGong.xml_2,耳边厢又听得朝靴响亮，,7320910.0131038027,0.0
sdxp-SuLongWei-WuJiaPo.xml_43,落得个孝子的名儿在那天下传。,7334955.5288803242,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_3,奴好比花未开风吹雨打，,7337102.5700496733,0.0
daeh-CanQiQi-WuLongZuo.xml_1,叹红颜多薄命父母双亡。,7360076.2727527749,0.0
daxp-ChunQiuTing-SuoLinNang.xml_7,世上何尝尽富豪，,7361345.2819082271,0.14285714285714285
sdxp-SuLongWei-WuJiaPo.xml_42,买绫罗、做衣衫、买白纸、糊白幡、打首饰、做妆奁，,7363983.5631029382,0.0
daeh-ZiNaRi-ErJinGong.xml_13,我只得怀抱太子两泪汪汪口口声声哭的是先王！,7372645.1289764559,0.0
daeh-CanQiQi-WuLongZuo.xml_3,担几肩头晕转体若筛糠。,7377354.310970109,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_9,宋天子主婚姻此事成全。,7410046.7530329628,0.0
daxp-DuiLingHua-BiYuZan.xml_0,对菱花暗地里芳心自转，,7415623.5399233568,0.0
sdxp-SuLongWei-WuJiaPo.xml_41,与你娘做一个安家钱。,7433762.6639256012,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_15,愿天下从此后国泰民安。,7452221.2114209225,0.0
daeh-ZiNaRi-ErJinGong.xml_0,自那日与徐杨决裂以后，,7475142.9133498101,0.14285714285714285
daxp-DiTouLi-NvQiJie.xml_5,与我那三郎把信传。,7477689.7526757428,0.0
sdxp-WoHeNi-SiLangTanMu.xml_31,一夜之间你怎能回还。,7493455.0979900556,0.14285714285714285
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_5,最可恨鸨儿叫我接客人。,7496913.8619608497,0.0
daxp-ErDeFu-HongNiGuan.xml_0,儿的父为国家阵前命丧，,7511179.4760022275,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_0,王春娥坐草堂自思自叹，,7530700.5574124344,0.0
daeh-TanHongYan-HuoXiaoYu.xml_5,隔着窗儿点滴不休。,7547434.0159776341,0.0
daxp-TingTaYan-ZuoGong.xml_7,不知者不怪罪你的海量放宽。,7549006.7773389863,0.0
daeh-ZiNaRi-ErJinGong.xml_9,想起了老王爷好不惨伤。,7562914.5874013361,0.0
sdxp-SuLongWei-WuJiaPo.xml_31,命人送到（那）西凉川。,7565057.6583326496,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_1,行不安坐不宁情态缠绵。,7570007.9437067462,0.0
daxp-FeiShiWo-TaoHuaCun.xml_17,听我的号令上战场。,7571195.3366270587,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_1,有谁知一时错被逐宫廷。,7592423.8830529759,0.14285714285714285
daeh-TanHongYan-HuoXiaoYu.xml_0,叹红颜薄命前生就，,7612567.4627637314,0.14285714285714285
daxp-DangRiLi-SuoLinNang.xml_10,于归日理应当喜形于面，,7647244.4010305321,0.2857142857142857
daxp-LaoDieDie-SanJiZhang-2.xml_0,老爹爹请息怒容儿细讲，,7663707.8375171525,0.0
daxp-XiShiNv-XiShi.xml_1,难得有开怀事常锁双眉。,7665095.6359257596,0.14285714285714285
dldeh-ShouBiPo-ChunQiuPei.xml_2,病恹恹身无力难以挣扎。,7681350.1886957251,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_4,贼好比王莽贼称孤道寡，,7727860.5587605899,0.0
daxp-ErTingDe-SuoLinNang.xml_19,谁能移动它半分毫。,7755751.627326739,0.0
daxp-ChunQiuTing-SuoLinNang.xml_2,在隔帘只见这一花轿，,7760609.1428030981,0.0
daeh-WuDuanQiao-BiYuZan.xml_1,薄命自伤怨红颜。,7802744.2601620667,0.0
daeh-LiYanFei-ErJinGong.xml_1,想起了朝中事好不惨伤！,7820300.5977741685,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_5,实指望教训他终身有靠，,7827513.2412360338,0.14285714285714285
daeh-ZiNaRi-ZhuangYuanMei-1.xml_3,乱军中多亏他救我回还。,7907324.4603062794,0.0
daeh-LiYanFei-ErJinGong.xml_5,我只得怀抱太子两泪汪汪口口声声哭的是先王。,7915250.2634913158,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_2,我本是被骗进的富春院，,7929759.1709396392,0.0
daxp-DangRiLi-SuoLinNang.xml_1,霎时间日色淡似坠西山。,7948841.7533052629,0.14285714285714285
daxp-DiTouLi-NvQiJie.xml_3,过往的君子听我言。,7955924.8402720978,0.0
daxp-ErTingDe-SuoLinNang.xml_5,问那厢因何故痛哭无聊？,7956191.9877696922,0.0
daxp-MuQinBu-FengHuanChao.xml_5,活在世上也枉然。,7967294.3960281778,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_7,不如早死命归西。,8007665.4885351676,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_0,昨日宫中何等宠幸，,8024458.6235981416,0.14285714285714285
daeh-LiYanFei-DaBaoGuo.xml_6,写文约我且把玉玺打下，,8097895.1689402899,0.0
daxp-ChunQiuTing-SuoLinNang.xml_23,他为饥寒我为娇。,8099103.6717989827,0.0
daeh-SunShangXiang-BieHuangGong.xml_1,想起了已往事心内痛酸。,8123296.8420847831,0.0
daxp-LaoDieDie-YuZhouFeng.xml_5,却为何贪富贵不顾羞惭。,8146391.9521933813,0.0
daxp-QiaoLouShang-HuangShanLei.xml_4,到三更真个是月明人静，,8153680.059391547,0.0
daxp-ChunQiuTing-SuoLinNang.xml_3,想必是新婚渡鹊桥，,8204078.8166069016,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_4,这桩事闷得我柔肠百转，,8263028.9574392838,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_3,贫穷人得了志比富还强。,8266714.3736988744,0.0
daxp-ChunQiuTing-SuoLinNang.xml_26,忙把梅香低声儿叫，,8342998.4403847773,0.0
daeh-LiYanFei-DaBaoGuo.xml_7,宣太师上金殿披红插花。,8343066.4538726034,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_11,但愿得杨六郎心如石坚。,8382125.9248704519,0.0
daeh-SunShangXiang-BieHuangGong.xml_0,孙尚香坐宫院自思自叹，,8394884.7362727243,0.0
daeh-LiYanFei-DaBaoGuo.xml_2,太师爷奏一本进贡年下，,8454761.5199115537,0.0
daxp-QiaoLouShang-HuangShanLei.xml_5,猛听得窗儿外似有人行。,8476102.1460409667,0.14285714285714285
daxp-DangRiLi-SuoLinNang.xml_9,她泪自弹、声续断、似杜鹃、啼别院、巴峡哀猿动人心弦，好不惨然。,8486707.8272520751,0.0
daxp-DuiLingHua-BiYuZan.xml_3,也算得人世间美满姻缘。,8509895.1762491744,0.0
daxp-DangRiLi-SuoLinNang.xml_2,在轿中只觉得天昏地暗。,8575528.9556977004,0.0
daeh-ZuoChunGui-XiShi.xml_2,奴这里心中痛玉颜清减，,8576253.5482471809,0.0
daxp-DangRiLi-SuoLinNang.xml_11,为什么悲切切哭得可怜。,8587946.1668064576,0.0
