为什么鲛珠化泪抛,0,为何鲛珠化泪抛？
daxp-ErDeFu-HongNiGuan.xml_5,不想到狠心郎一味猖狂。,5245350.0816198587,0.0
daxp-MuQinBu-FengHuanChao.xml_1,女儿言来听根源。,5245840.5013567349,0.0
daxp-FeiShiWo-TaoHuaCun.xml_16,你把我当做诸葛亮，,5250698.9135202132,0.0
daeh-NuZiYou-TouJunBieYao.xml_1,为薛郎我父女断绝情长。,5263490.8871099735,0.125
daeh-SunShangXiang-BieHuangGong.xml_4,与周郎定巧计把皇叔来骗，,5286698.7465784829,0.0
sdxp-SuLongWei-WuJiaPo.xml_38,西凉的鞑子将你斩，,5320962.802054815,0.0
daxp-ChunQiuTing-SuoLinNang.xml_9,也有失意痛哭嚎啕，,5341448.8710361924,0.0
daeh-SunShangXiang-BieHuangGong.xml_7,阿斗儿行中途被子龙追还。,5361725.4019384664,0.0
daxp-DangRiLi-SuoLinNang.xml_9,她泪自弹、声续断、似杜鹃、啼别院、巴峡哀猿动人心弦，好不惨然。,5381219.1536643533,0.125
daxp-ChunQiuTing-SuoLinNang.xml_33,救她饥渴胜琼瑶。,5384183.7451633597,0.0
daxp-DangRiLi-SuoLinNang.xml_2,在轿中只觉得天昏地暗。,5414491.7505918369,0.0
daeh-LiYanFei-DaBaoGuo.xml_4,将江山让太师权且代贺，,5430421.7496871762,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_0,自那日与六郎姻缘相见，,5449142.0135203153,0.0
daxp-WoZhuYe-SiLangTanMu.xml_4,叫番儿忙摆驾银安殿，,5515075.8026410723,0.0
daxp-ErTingDe-SuoLinNang.xml_13,不该词费又滔滔。,5556549.4453270109,0.0
daxp-TingTaYan-ZuoGong.xml_7,不知者不怪罪你的海量放宽。,5575816.0010584919,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_0,老爹爹清晨起前去出首，,5579011.6888850145,0.0
daxp-ErTingDe-SuoLinNang.xml_30,小小囊儿何足道，,5595323.3144195052,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_7,等候了薛倚儿转回家园。,5619917.4600430056,0.0
daxp-DiTouLi-NvQiJie.xml_6,就说苏三把命断，,5648386.0517598689,0.0
sdxp-SuLongWei-WuJiaPo.xml_31,命人送到（那）西凉川。,5677753.0699395221,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_8,只骂得贼昏王装聋作哑，,5700045.8675409881,0.0
daxp-ErTingDe-SuoLinNang.xml_31,救她饥渴胜琼瑶。,5707534.7192596495,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_1,受逼迫去捡柴泪如雨下，,5720740.2446955023,0.125
daxp-ChunQiuTing-SuoLinNang.xml_17,问那厢因何故痛哭无聊。,5731995.3591423668,0.0
daeh-SunShangXiang-BieHuangGong.xml_6,回荆州未三载诓我回转，,5734616.1392945079,0.0
daxp-ErTingDe-SuoLinNang.xml_25,莫把姓名你信口哓。,5741680.3119152943,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_5,不知道他与我是否一般。,5764468.5088700643,0.0
daxp-FeiShiWo-TaoHuaCun.xml_8,你不要高声不要嚷，,5764788.4655194413,0.0
sdxp-SuLongWei-WuJiaPo.xml_29,府内金银堆如山。,5781249.5744910464,0.0
daxp-DiTouLi-NvQiJie.xml_4,哪一位去往南京转，,5788771.5815444477,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_2,暗地堪笑我兄长，,5795857.2173470929,0.0
daxp-DangRiLi-SuoLinNang.xml_8,轿中人必定有一腔幽怨，,5811413.3843290247,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_12,搬一把金交椅娘且坐下，,5819928.5998197375,0.0
daxp-TingTaYan-ZuoGong.xml_2,原来是杨家将把名姓改换，,5820906.6738726245,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_4,这桩事闷得我柔肠百转，,5842130.5304529592,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_2,思想起从前事心中悔恨，,5866527.2560551362,0.0
daxp-DangRiLi-SuoLinNang.xml_14,急切里想起了锁麟囊一（呀）件，,5887342.374875172,0.0
daxp-DangRiLi-SuoLinNang.xml_11,为什么悲切切哭得可怜。,5928491.5563076893,0.375
daxp-DuiLingHua-BiYuZan.xml_0,对菱花暗地里芳心自转，,5933355.5550505556,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_10,但愿得令公令婆别无意见，,5943846.7663654638,0.0
daeh-ZiNaRi-ErJinGong.xml_10,耳边厢又听得朝靴响亮，,5971883.2035612762,0.0
daxp-XiRiLi-LongFengChengXiang.xml_2,暗地堪笑奴兄长，,5976932.0740053449,0.0
daxp-QiaoLouShang-HuangShanLei.xml_5,猛听得窗儿外似有人行。,5989127.5673575392,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_0,自那日与六郎阵前相见，,6002738.3397914106,0.0
sdxp-SuLongWei-WuJiaPo.xml_33,家人小厮有万千。,6007832.1159142358,0.0
daeh-LiYanFei-ErJinGong.xml_4,有几句话儿我不好言讲，,6012563.47783536,0.0
daxp-DangRiLi-SuoLinNang.xml_1,霎时间日色淡似坠西山。,6046665.0627456689,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_4,诗书易礼都学会，,6048828.4211856155,0.0
daxp-DiTouLi-NvQiJie.xml_5,与我那三郎把信传。,6099852.425540599,0.0
daxp-ErDeFu-HongNiGuan.xml_4,清早起我和他一度商量，,6115138.5953819826,0.0
daxp-DiTouLi-NvQiJie.xml_7,来生变犬马我当报还。,6122975.9237440825,0.0
daeh-ZuoChunGui-XiShi.xml_3,夜不眠朝慵起又向谁言。,6123241.206739164,0.0
daxp-ChunQiuTing-SuoLinNang.xml_23,他为饥寒我为娇。,6123895.8028659066,0.125
daeh-ZiNaRi-ZhuangYuanMei-1.xml_4,这桩事闷得我柔肠百转，,6144348.6007551849,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_4,贼好比王莽贼称孤道寡，,6155955.378471382,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_0,遭不幸老王爷晏了御驾，,6164701.9214348951,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_0,老爹爹请息怒容儿细讲，,6192040.054669437,0.0
daxp-FeiShiWo-TaoHuaCun.xml_14,倘若是你响她也响，,6195508.2229710221,0.0
daxp-XiShiNv-XiShi.xml_2,只为着守清寒柴门近水，,6196650.2091293111,0.125
daxp-FeiShiWo-TaoHuaCun.xml_11,是不是有人拍巴掌。,6198844.3204904972,0.0
daeh-ZuoChunGui-XiShi.xml_2,奴这里心中痛玉颜清减，,6211986.4222621787,0.0
sdxp-SuLongWei-WuJiaPo.xml_25,苏龙魏虎是内亲。,6226738.741206862,0.0
daxp-ErDeFu-HongNiGuan.xml_0,儿的父为国家阵前命丧，,6292015.4397591827,0.125
daxp-LaoDieDie-SanJiZhang-2.xml_3,这样人得了志比父还强。,6322121.6788943335,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_0,蒙君子至殷勤再三问话，,6325245.5509518888,0.0
daxp-ChunQiuTing-SuoLinNang.xml_10,轿内的人儿弹别调，,6334510.9806463206,0.0
daxp-XiShiNv-XiShi.xml_4,怕只怕损玉颜姣容自惜，,6338316.4963074112,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_4,在家中受不过继母拷打，,6348729.8812503545,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_2,家住在罗郡城魁星楼下，,6380273.7788244896,0.0
daeh-ZiNaRi-ErJinGong.xml_1,独坐在寒宫院闷闷悠悠。,6380767.7858457239,0.0
daxp-ChunQiuTing-SuoLinNang.xml_19,满腹骄矜顿雪潇，,6392484.9720640732,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_1,唤起我破天门状志凌云。,6404791.6366316499,0.0
daeh-WuDuanQiao-BiYuZan.xml_0,无端巧计将人陷，,6407694.8318543881,0.0
daxp-ErTingDe-SuoLinNang.xml_26,这都是神话凭空造，,6430413.3502188437,0.0
daxp-DangRiLi-SuoLinNang.xml_15,囊虽小却能做续命泉源。,6453080.1757329358,0.0
daxp-QiaoLouShang-HuangShanLei.xml_4,到三更真个是月明人静，,6467674.0259033414,0.0
daxp-XiRiLi-LongFengChengXiang.xml_5,纵有大事料无妨。,6473444.2711515352,0.0
daxp-ChunQiuTing-SuoLinNang.xml_21,谁能移动他半分毫。,6482065.048729226,0.0
daeh-LiYanFei-DaBaoGuo.xml_0,李艳妃设早朝龙书案下，,6483153.1039459854,0.0
daxp-MuQinBu-FengHuanChao.xml_3,女儿清白最为先。,6496205.3569636457,0.125
daxp-DangRiLi-SuoLinNang.xml_10,于归日理应当喜形于面，,6521691.3699202733,0.0
sdxp-SuLongWei-WuJiaPo.xml_43,落得个孝子的名儿在那天下传。,6522313.2720004823,0.0
daeh-SunShangXiang-BieHuangGong.xml_0,孙尚香坐宫院自思自叹，,6528434.4762664996,0.0
daxp-ErDeFu-HongNiGuan.xml_7,又恐怕众将官说短论长。,6530236.9421447795,0.0
daxp-WoZhuYe-SiLangTanMu.xml_2,众卿随忙挂点亲率官员，,6532879.0645236382,0.0
daxp-DiTouLi-NvQiJie.xml_1,将身来在大街前。,6562976.7293735491,0.0
daxp-NiDeFu-FenHeWan.xml_0,你的父去投军无音信，,6573049.7708143853,0.0
daxp-QiaoLouShang-HuangShanLei.xml_0,谯楼上二更鼓声声送听，,6585833.8039437421,0.0
daeh-ZiNaRi-ErJinGong.xml_0,自那日与徐杨决裂以后，,6593373.8200417003,0.0
daxp-ChunQiuTing-SuoLinNang.xml_31,积德才生玉树苗，,6599728.3288268913,0.0
daxp-ChunQiuTing-SuoLinNang.xml_29,自把珠玉夸富豪，,6614828.7250485672,0.125
daxp-TingTaYan-ZuoGong.xml_4,我这里走向前再把礼见，,6624181.330369968,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_5,莫奈何到荒郊我就来捡芦花。,6650836.9095394518,0.0
sdxp-DangNianHan-SanJiZhang.xml_14,在六国封相人上人。,6663662.2966549406,0.0
daeh-NuZiYou-TouJunBieYao.xml_3,也不枉我二人苦度时光。,6666158.5445388984,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_1,行不安坐不宁情态缠绵。,6677509.1797943534,0.0
daxp-TingTaYan-ZuoGong.xml_6,早晚间休怪我言语怠慢，,6679558.5987038109,0.0
daxp-ChunQiuTing-SuoLinNang.xml_28,这都是神话凭空造，,6681236.2085313862,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_5,不知道他与我是否一般。,6683171.6820715079,0.0
daeh-ZuoChunGui-XiShi.xml_1,无限的闲愁恨尽上眉尖。,6692739.6764173834,0.0
daxp-ChunQiuTing-SuoLinNang.xml_14,莫不是夫郎丑难谐女貌？,6701074.7061701352,0.0
daxp-XiRiLi-LongFengChengXiang.xml_3,安排虎计害刘王。,6756184.4919726197,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_1,闭口无言王春娥。,6757471.4848497314,0.0
daxp-ErTingDe-SuoLinNang.xml_27,自把珠玉夸富豪。,6786106.0996416081,0.125
daxp-WoDeNiang-XinAnYi.xml_0,我的娘她忘了女生外姓，,6787578.6441138824,0.0
daxp-FeiShiWo-TaoHuaCun.xml_2,今夜晚非比那西厢待月、你懂提防、莫轻狂，,6799637.1152671594,0.0
daxp-ErTingDe-SuoLinNang.xml_14,休要噪且站了，,6806280.3918663654,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_5,那厢流泪这厢啼。,6817478.8301531207,0.125
sdxp-SuLongWei-WuJiaPo.xml_37,欺奴犹如欺了天。,6835060.1386010358,0.0
daxp-TingTaYan-ZuoGong.xml_3,他思家乡想骨肉就不能团圆。,6836495.1275904579,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_2,在潼台被贼擒在命好险，,6837175.1356360363,0.0
daeh-NuZiYou-TouJunBieYao.xml_0,奴自幼在闺阁娇生惯养，,6840604.6419452503,0.0
daxp-LaoDieDie-YuZhouFeng.xml_0,老爹爹发恩德将本修上，,6840748.1184959728,0.0
daeh-LiYanFei-ErJinGong.xml_2,耳边厢又听得朝靴响亮，,6866992.6984240487,0.0
daxp-NiDeFu-FenHeWan.xml_1,全仗你打雁养娘亲，,6880107.2302540531,0.0
daxp-DuiLingHua-BiYuZan.xml_2,果然是成佳偶两心欢恋，,6881232.3724829629,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_5,最可恨鸨儿叫我接客人。,6912884.9407429202,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_8,幸喜得珍珠衫称心如愿，,6920552.6431139167,0.125
daeh-ZuoChunGui-XiShi.xml_0,坐春闺只觉得光明似箭，,6929612.8649655329,0.0
daxp-DangRiLi-SuoLinNang.xml_19,还有那赤金链，紫瑛簪，白玉环，双凤錾，八宝钗钏一个个宝孕光含。,6934451.7930698516,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_6,我今绝少人生趣，,6935678.1505096881,0.0
daxp-ErTingDe-SuoLinNang.xml_19,谁能移动它半分毫。,6946855.2552216351,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_0,那日风波平地起，,6964009.98992055,0.0
sdxp-DangNianHan-SanJiZhang.xml_16,难道说文官他就不丧身？,6981812.9697738979,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_2,哭一声亡故夫在阴曹等我，,6988192.1359921917,0.0
daxp-WoZhuYe-SiLangTanMu.xml_0,我主爷金沙滩早把命丧，,7001319.7140687313,0.0
daxp-ChunQiuTing-SuoLinNang.xml_27,莫把姓名你信口晓，,7005807.6169009805,0.0
sdxp-WoHeNi-SiLangTanMu.xml_24,因何故终日里愁眉不展，,7012849.8084010743,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_3,贫穷人得了志比富还强。,7039716.3404978523,0.0
daxp-WoDeNiang-XinAnYi.xml_3,却原来母亲到儿未知情。,7045703.8913177522,0.0
daeh-CanQiQi-WuLongZuo.xml_0,惨凄凄唤苍天天不应响，,7048061.837195362,0.0
daxp-FeiShiWo-TaoHuaCun.xml_9,你必须眼观六路耳听八方。,7054568.2410967406,0.0
daxp-DiTouLi-NvQiJie.xml_3,过往的君子听我言。,7057732.632044144,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_0,王春娥坐草堂自思自叹，,7062583.3386574099,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_7,不如早死命归西。,7070593.6157936752,0.0
daeh-CanQiQi-WuLongZuo.xml_1,叹红颜多薄命父母双亡。,7093354.8879984226,0.0
daeh-TanHongYan-HuoXiaoYu.xml_4,枕边泪（呀）共（那）阶前雨，,7104711.1484056227,0.125
daxp-LaoDieDie-YuZhouFeng.xml_2,倘若是有道君皇恩浩荡，,7109865.2674039761,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_0,猛听得金鼓响画角声震，,7116613.8649928728,0.0
daxp-ErTingDe-SuoLinNang.xml_28,麟儿哪有神送到，,7160249.6640296206,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_1,到叫我桂英儿挂在心头；,7164820.5664327722,0.0
daxp-ErTingDe-SuoLinNang.xml_4,叫梅香你把那好言相告，,7194935.8246401697,0.0
sdxp-DangNianHan-SanJiZhang.xml_12,登台拜帅天下闻。,7198625.5456172228,0.0
daeh-ZiNaRi-ErJinGong.xml_2,先王爷晏驾后太子年幼，,7245026.1312248008,0.0
daeh-LiYanFei-DaBaoGuo.xml_2,太师爷奏一本进贡年下，,7251640.775966893,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_4,怒气不息在机房闷坐，,7261392.7081400864,0.0
daxp-XiRiLi-LongFengChengXiang.xml_0,昔日里梁鸿配孟光，,7278779.1250406308,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_5,叹一声不由人珠泪如梭。,7295644.43703702,0.25
daxp-XiShiNv-XiShi.xml_5,对清溪时照影自整罗农。,7310564.3066943027,0.0
daxp-ErTingDe-SuoLinNang.xml_12,你不该人前逞骄傲，,7311123.2460306305,0.0
daxp-ChunQiuTing-SuoLinNang.xml_13,同遇人为什么这样嚎啕？,7334677.1474431753,0.375
daxp-XiRiLi-LongFengChengXiang.xml_4,月老本是乔国丈，,7335408.064318141,0.0
daxp-QiaoLouShang-HuangShanLei.xml_9,看娇儿正酣睡恐被风侵。,7335467.3729342995,0.0
daeh-WuDuanQiao-BiYuZan.xml_2,独处闺房愁无限，,7348639.155696244,0.0
daeh-LiYanFei-DaBaoGuo.xml_1,文站东武列西朝贺哀家。,7353028.3871528599,0.0
sdxp-SuLongWei-WuJiaPo.xml_42,买绫罗、做衣衫、买白纸、糊白幡、打首饰、做妆奁，,7355589.4327434944,0.0
daxp-ErTingDe-SuoLinNang.xml_1,同遇人为什么这样嚎啕。,7363730.7054724675,0.375
daxp-WoHeNi-SangYuanHui.xml_0,我和你有什么夫妻的情，,7373292.962971583,0.25
daeh-LiYanFei-DaBaoGuo.xml_9,压定了文武臣均要画押。,7381440.6549138837,0.0
daeh-WuDuanQiao-BiYuZan.xml_1,薄命自伤怨红颜。,7401202.4299485609,0.0
daxp-FeiShiWo-TaoHuaCun.xml_7,桃花村口莫彷徨。,7403504.7569543011,0.0
daxp-NiDeFu-FenHeWan.xml_2,把弓带和鱼镖与儿带定，,7424377.8847960858,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_0,蒙君子至诚心再三问话，,7429112.7393344399,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_11,但愿得杨六郎心如石坚，,7437121.2492735563,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_4,身有病还受那继母拷打，,7450830.9305696422,0.0
daxp-ChunQiuTing-SuoLinNang.xml_16,叫梅香你把那好言相告，,7453978.787261189,0.0
daxp-XiShiNv-XiShi.xml_0,西施女生长在苎萝村里，,7464395.0208080923,0.0
daeh-LiYanFei-ErJinGong.xml_0,李艳妃坐昭阳自思自想，,7466240.1589325396,0.0
daxp-SuSanLi-NvQiJie.xml_7,来生变犬马我当报还！,7475498.2897570664,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_2,病恹恹身无力难以挣扎。,7494773.4682194674,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_1,行不安坐不宁情态缠绵。,7598964.2835485432,0.0
daxp-ErTingDe-SuoLinNang.xml_22,分我一枝珊瑚宝，,7606035.3500615824,0.0
sdxp-DangNianHan-SanJiZhang.xml_13,商鞅不中苏季子，,7606035.3500615824,0.0
daxp-ErTingDe-SuoLinNang.xml_20,我正不足她正少，,7622091.0935977371,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_1,贼昏王篡了位谋乱邦家。,7633975.9239100851,0.0
daxp-ChunQiuTing-SuoLinNang.xml_3,想必是新婚渡鹊桥，,7634239.0913832998,0.0
daxp-ErTingDe-SuoLinNang.xml_2,莫不是夫郎丑难谐女貌，,7649690.59364942,0.0
sdxp-WoHeNi-SiLangTanMu.xml_26,你那里休得要巧言舌辨，,7651626.111270844,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_2,家住在罗郡城魁星楼下，,7653388.8714551888,0.0
daxp-XiShiNv-XiShi.xml_1,难得有开怀事常锁双眉。,7656344.3435969939,0.0
daeh-ZiNaRi-ErJinGong.xml_6,徐小姐把守在宫门口，,7656619.065322848,0.0
sdxp-WoHeNi-SiLangTanMu.xml_22,讲什么夫妻情恩德不浅，,7661357.57068088,0.25
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_3,敌血飞溅石榴裙。,7669159.0573592447,0.0
daxp-FeiShiWo-TaoHuaCun.xml_3,关系你患难鸳鸯永宿在池塘。,7698956.9673280129,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_2,想当年桃花马上威风凛凛，,7702845.9237643816,0.0
daxp-LaoDieDie-YuZhouFeng.xml_4,老爹爹在朝中官高爵显，,7727436.7090217518,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_0,昔日梁鸿配孟光，,7733648.5912584141,0.0
daxp-MuQinBu-FengHuanChao.xml_5,活在世上也枉然。,7734258.7689652042,0.0
daxp-ChunQiuTing-SuoLinNang.xml_30,麟儿那有神送到，,7750779.1242537312,0.0
sdxp-DangNianHan-SanJiZhang.xml_21,不能、不能、是万不能！,7779771.2309820773,0.0
daxp-ErDeFu-HongNiGuan.xml_2,奴这里只把那结婚思量，,7822511.7175861886,0.0
daxp-ChunQiuTing-SuoLinNang.xml_7,世上何尝尽富豪，,7877694.7444714578,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_1,虽然是不相识我就不得不答。,7884057.207239015,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_0,小奴才他一言问住我，,7889113.6455012392,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_2,舅父前来出主意，,7902277.3588529779,0.0
daeh-SunShangXiang-BieHuangGong.xml_8,恨只恨我兄长把事错办，,7908620.9521472286,0.0
daxp-ErTingDe-SuoLinNang.xml_6,梅香说话好颠倒，,7916987.5732356338,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_2,把一个皇太子逼死殿下，,7951402.8542915517,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_7,贼好比那司马师搅乱中华。,7955274.3789905375,0.0
daeh-ZiNaRi-ErJinGong.xml_9,想起了老王爷好不惨伤。,7964589.0891789505,0.0
daxp-DuiLingHua-BiYuZan.xml_1,听她言不由人喜上眉尖。,7973954.2653197236,0.0
sdxp-DangNianHan-SanJiZhang.xml_20,爹爹为何你要退婚？,7977671.6640070789,0.125
daxp-DangRiLi-SuoLinNang.xml_17,红珊瑚碧翡翠样样倶全。,7980050.9561773362,0.0
daxp-QiaoLouShang-HuangShanLei.xml_15,你爹爹到如今未转家门。,7998155.9685983676,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_6,百姓们闺房乐如花美眷，,8022812.9220795203,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_3,但不知何日里再沐圣明。,8023255.8799865926,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_2,将身儿坐至在草堂等候，,8034195.9648909112,0.0
