番王小丑何足论,2,番王小丑何足论，
daxp-ChunQiuTing-SuoLinNang.xml_12,耳听得悲声惨心中如捣，,4522839.5952211618,0.0
daxp-ChunQiuTing-SuoLinNang.xml_18,听薛良一语来相告，,4621053.4878851846,0.0
daxp-XiShiNv-XiShi.xml_0,西施女生长在苎萝村里，,4633569.000243634,0.0
daxp-ErTingDe-SuoLinNang.xml_22,分我一枝珊瑚宝，,4748105.5879967799,0.0
sdxp-DangNianHan-SanJiZhang.xml_13,商鞅不中苏季子，,4748105.5879967799,0.0
daxp-ErTingDe-SuoLinNang.xml_20,我正不足她正少，,4749525.6942748232,0.14285714285714285
daxp-ChunQiuTing-SuoLinNang.xml_15,莫不是强婚配鸦占鸾巢？,4772695.3772025788,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_3,等候了你妻子同见阎罗。,4782640.5457300954,0.0
daxp-ErTingDe-SuoLinNang.xml_3,莫不是强婚配鸦占鸾巢。,4792691.3551996481,0.0
daxp-ChunQiuTing-SuoLinNang.xml_32,小小囊儿何足道，,5070307.6539768204,0.42857142857142855
daxp-LaoDieDie-YuZhouFeng.xml_1,明早朝上金殿面奏吾皇。,5099377.6225057337,0.0
sdxp-SuLongWei-WuJiaPo.xml_28,我父在朝为官宦，,5133152.973117495,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_3,敌血飞溅石榴裙。,5376368.669003712,0.0
sdxp-SuLongWei-WuJiaPo.xml_38,西凉的鞑子将你斩，,5394965.9516088553,0.0
daxp-WoZhuYe-SiLangTanMu.xml_4,叫番儿忙摆驾银安殿，,5458041.3907610588,0.14285714285714285
sdxp-SuLongWei-WuJiaPo.xml_25,苏龙魏虎是内亲。,5473379.1398335956,0.0
daxp-DangRiLi-SuoLinNang.xml_0,当日里好风光忽觉转变，,5489293.3450193135,0.0
daxp-ErTingDe-SuoLinNang.xml_8,怜贫济困是正道，,5577768.618929713,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_4,诗书易礼都学会，,5626912.1803059541,0.0
daeh-SunShangXiang-BieHuangGong.xml_5,又谁知弄假成真反配凤鸾。,5633570.2428232236,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_2,父休笑薛平贵是花郎模样，,5706579.0889501832,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_3,安排巧计害刘王。,5736224.9729769602,0.14285714285714285
daxp-ChunQiuTing-SuoLinNang.xml_6,此时却又明白了，,5756071.8493508566,0.0
daxp-NiDeFu-FenHeWan.xml_3,不等到日落及早回程。,5756845.1862125816,0.0
daxp-QiaoLouShang-HuangShanLei.xml_5,猛听得窗儿外似有人行。,5776624.0224225316,0.0
daxp-QiaoLouShang-HuangShanLei.xml_15,你爹爹到如今未转家门。,5903086.2016747873,0.0
daxp-DangRiLi-SuoLinNang.xml_11,为什么悲切切哭得可怜。,5924314.0579542806,0.0
sdxp-DangNianHan-SanJiZhang.xml_20,爹爹为何你要退婚？,5978327.2150996653,0.14285714285714285
daeh-ZiNaRi-ZhuangYuanMei-2.xml_5,不知道他与我是否一般。,5984330.7569354568,0.0
daxp-ErTingDe-SuoLinNang.xml_30,小小囊儿何足道，,5996718.1067875409,0.42857142857142855
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_5,寸土怎能够属于他人。,6086316.0369272213,0.0
daxp-QiaoLouShang-HuangShanLei.xml_10,我不免引寒机伴奴坐等，,6112405.6518380139,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_4,在家中受不过继母拷打，,6116522.8275749525,0.0
daxp-XiShiNv-XiShi.xml_5,对清溪时照影自整罗农。,6122434.8852614732,0.0
sdxp-SuLongWei-WuJiaPo.xml_34,将你带到官衙内，,6168182.3145765364,0.0
daxp-NiDeFu-FenHeWan.xml_0,你的父去投军无音信，,6170642.0523792896,0.0
daeh-ZiNaRi-ErJinGong.xml_2,先王爷晏驾后太子年幼，,6177522.0443655867,0.14285714285714285
daxp-TingTaYan-ZuoGong.xml_4,我这里走向前再把礼见，,6243621.4600462457,0.0
daeh-ZuoChunGui-XiShi.xml_2,奴这里心中痛玉颜清减，,6245896.9338336186,0.0
daeh-WuDuanQiao-BiYuZan.xml_7,又怕丑名误流传。,6263312.7037791153,0.14285714285714285
daxp-WoZhuYe-SiLangTanMu.xml_0,我主爷金沙滩早把命丧，,6306593.4040640006,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_6,又谁知平白的闪跌一跤。,6311557.8577267416,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_3,等候了爹爹回细问根由。,6319016.5192956077,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_5,最可恨鸨儿叫我接客人。,6324866.2495103478,0.0
daxp-FeiShiWo-TaoHuaCun.xml_0,非是我嘱咐叮咛把话讲，,6374724.9028493781,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_6,百姓们闺房乐如花美眷，,6459825.8571143718,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_0,蒙君子至诚心再三问话，,6464273.1157147018,0.0
daxp-DuiLingHua-BiYuZan.xml_3,也算得人世间美满姻缘。,6473623.1875390634,0.0
daeh-CanQiQi-WuLongZuo.xml_2,千金休哪曾受磨房景况，,6478205.3028080463,0.0
daeh-LiYanFei-DaBaoGuo.xml_5,候幼主成了龙原业归家。,6504151.469798265,0.0
daxp-MuQinBu-FengHuanChao.xml_4,人生不知顾脸面，,6581175.005805972,0.0
daxp-ChunQiuTing-SuoLinNang.xml_5,为何鲛珠化泪抛？,6666354.0575680835,0.14285714285714285
daeh-XiaoNuCai-SanNiangJiaoZi.xml_5,叹一声不由人珠泪如梭。,6687465.6357732946,0.0
daxp-FeiShiWo-TaoHuaCun.xml_10,不但要仔细听、还要仔细想，,6826728.8696059398,0.0
daxp-TingTaYan-ZuoGong.xml_0,听他言吓得我浑身是汗，,6843325.0926334085,0.0
daxp-ErDeFu-HongNiGuan.xml_7,又恐怕众将官说短论长。,6859908.4604693372,0.14285714285714285
dldeh-ShouBiPo-ChunQiuPei.xml_3,奴好比花未开风吹雨打，,7017822.2742256196,0.0
daeh-LiYanFei-ErJinGong.xml_3,想必是徐杨将进了昭阳。,7026617.0720621385,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_5,不知道他与我是否一般。,7075897.3091577133,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_2,思想起从前事心中悔恨，,7103526.2953118607,0.0
daeh-ZiNaRi-ErJinGong.xml_11,想必是徐杨进了昭阳。,7124867.3009259757,0.0
daxp-DangRiLi-SuoLinNang.xml_5,隔帘儿我也曾侧目偷观。,7195473.341667165,0.0
daeh-ZiNaRi-ErJinGong.xml_7,看一看不觉到八月中秋。,7260109.9963600971,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_0,昔日梁鸿配孟光，,7263191.9437480746,0.0
sdxp-SuLongWei-WuJiaPo.xml_31,命人送到（那）西凉川。,7376011.1853484036,0.0
daxp-TingTaYan-ZuoGong.xml_7,不知者不怪罪你的海量放宽。,7377895.5332831079,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_1,有谁知一时错被逐宫廷。,7425008.2666249815,0.0
daeh-TanHongYan-HuoXiaoYu.xml_5,隔着窗儿点滴不休。,7489745.6894990513,0.0
daxp-ChunQiuTing-SuoLinNang.xml_24,分我一枝珊瑚宝，,7491789.1184411822,0.0
daxp-ChunQiuTing-SuoLinNang.xml_22,我在不足他正少，,7491789.1184411822,0.14285714285714285
daxp-XiShiNv-XiShi.xml_1,难得有开怀事常锁双眉。,7545720.8160231607,0.0
daxp-DangRiLi-SuoLinNang.xml_16,有金珠和珍宝光华灿烂，,7546544.8386963038,0.0
daxp-WoDeNiang-XinAnYi.xml_0,我的娘她忘了女生外姓，,7555737.5118512334,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_5,每日里在书房苦读圣贤。,7563849.466709896,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_3,反倒说为嫂我拦阻有差，,7587570.6860660221,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_3,这样人得了志比父还强。,7660524.1404585447,0.0
daxp-XiRiLi-LongFengChengXiang.xml_3,安排虎计害刘王。,7691732.8586972952,0.14285714285714285
daeh-ZaoBuXing-HeHouMaDian.xml_9,只骂得贼昏王扭转身驱、闭目合晴、羞羞惭惭一语不发，,7721526.7228248324,0.14285714285714285
daxp-QiaoLouShang-HuangShanLei.xml_9,看娇儿正酣睡恐被风侵。,7726052.3563392907,0.0
daxp-ErDeFu-HongNiGuan.xml_1,撇下了奴一人好不悲凉。,7727225.149377943,0.0
daxp-ErDeFu-HongNiGuan.xml_2,奴这里只把那结婚思量，,7817860.9042922398,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_5,贼好比曹阿瞒半点不差，,7827807.9079157775,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_5,莫奈何到荒郊我就来捡芦花。,7836697.2815566743,0.14285714285714285
daxp-LaoDieDie-YuZhouFeng.xml_3,观此本免了儿一门祸殃。,7892205.3738160543,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_7,不如早死命归西。,7897595.6354733836,0.0
daxp-XiRiLi-LongFengChengXiang.xml_0,昔日里梁鸿配孟光，,7904101.8255801406,0.0
daxp-ChunQiuTing-SuoLinNang.xml_33,救她饥渴胜琼瑶。,7906676.0200513136,0.0
daxp-QiaoLouShang-HuangShanLei.xml_6,忙移步隔花荫留神听定，,7915245.3288755603,0.0
daeh-ZiNaRi-ErJinGong.xml_4,他那里父女情全然无有，,7950500.4311307669,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_1,虽然是男女别不得不答。,7963838.624818122,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_5,实指望教训他终身有靠，,8005525.1266277758,0.0
daxp-DangRiLi-SuoLinNang.xml_3,耳听得风声断，雨声喧，雷声乱，乐声阑珊，人声呐喊，都道说是大雨倾天。,8019664.7140281014,0.0
daxp-WoHeNi-SangYuanHui.xml_1,谁认你狼心狗肺的人！,8061722.397316738,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_10,但愿得令公令婆别无意见，,8075907.2246027803,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_3,我与母亲两分离。,8077362.3129298128,0.0
sdxp-WoHeNi-SiLangTanMu.xml_24,因何故终日里愁眉不展，,8082776.9505524961,0.14285714285714285
daxp-LaoDieDie-DaYuShaJia-1.xml_1,到叫我桂英儿挂在心头；,8090139.0927571496,0.0
sdxp-WoHeNi-SiLangTanMu.xml_33,你也对苍天就表一番。,8097801.5235430589,0.14285714285714285
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_1,公正的老爷细听分明。,8101032.4783705613,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_0,自那日与六郎姻缘相见，,8115940.8851108374,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_6,百姓们闺房乐如花美眷，,8152300.6524417317,0.0
daxp-QiaoLouShang-HuangShanLei.xml_0,谯楼上二更鼓声声送听，,8153487.0246178648,0.0
sdxp-DangNianHan-SanJiZhang.xml_16,难道说文官他就不丧身？,8178053.4851438347,0.0
daeh-LiYanFei-DaBaoGuo.xml_9,压定了文武臣均要画押。,8178376.0244408213,0.0
daeh-ZiNaRi-ErJinGong.xml_6,徐小姐把守在宫门口，,8242071.2872753609,0.14285714285714285
daxp-WoZhuYe-SiLangTanMu.xml_5,阅兵书看何人前来何安。,8248954.4987431597,0.14285714285714285
daeh-ZiNaRi-ZhuangYuanMei-2.xml_1,行不安坐不宁情态缠绵。,8255395.2957658684,0.0
daxp-DuiLingHua-BiYuZan.xml_1,听她言不由人喜上眉尖。,8261376.6512268931,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_11,两旁的文武臣珠泪如麻，,8271265.1993356105,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_3,贫穷人得了志比富还强。,8282828.5498237116,0.0
sdxp-WoHeNi-SiLangTanMu.xml_23,咱与你隔南北千里姻缘。,8309053.7846756978,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_3,等候了爹爹回细问根由。,8354754.1925018327,0.0
sdxp-SuLongWei-WuJiaPo.xml_29,府内金银堆如山。,8362034.5939570302,0.0
daeh-WuDuanQiao-BiYuZan.xml_3,落得孤身病恹恹。,8372190.3341655061,0.0
daxp-DangRiLi-SuoLinNang.xml_15,囊虽小却能做续命泉源。,8391327.3798081558,0.14285714285714285
daxp-DangRiLi-SuoLinNang.xml_1,霎时间日色淡似坠西山。,8393422.6651757155,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_4,身有病还受那继母拷打，,8425666.3939125147,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_1,死里逃生甚惨凄。,8434040.4448255487,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_12,但愿得状元媒月老引线，,8489759.2768546268,0.0
daxp-WoDeNiang-XinAnYi.xml_3,却原来母亲到儿未知情。,8520429.4255786799,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_0,蒙君子至殷勤再三问话，,8554632.1425616741,0.0
daxp-ErTingDe-SuoLinNang.xml_24,忙把梅香低声叫，,8590907.7905570995,0.0
daxp-ChunQiuTing-SuoLinNang.xml_20,人情冷暖凭天造，,8604669.5191172361,0.0
daxp-ErTingDe-SuoLinNang.xml_17,满腹骄矜顿雪潇。,8627756.1745705828,0.0
daxp-ErTingDe-SuoLinNang.xml_7,不该人前乱解嘲。,8627756.1745705828,0.0
daxp-FeiShiWo-TaoHuaCun.xml_11,是不是有人拍巴掌。,8630538.1658684555,0.0
daxp-WoDeNiang-XinAnYi.xml_2,这几日身不爽心中烦闷，,8637374.9406170789,0.0
daxp-QiaoLouShang-HuangShanLei.xml_2,对孤灯思远道心神不定，,8640015.267106263,0.0
daxp-FeiShiWo-TaoHuaCun.xml_2,今夜晚非比那西厢待月、你懂提防、莫轻狂，,8642007.0875011738,0.0
daeh-SunShangXiang-BieHuangGong.xml_3,留下了孙仲谋执掌江南。,8648993.5163300615,0.0
daxp-ChunQiuTing-SuoLinNang.xml_26,忙把梅香低声儿叫，,8676504.6939744502,0.0
daxp-ErTingDe-SuoLinNang.xml_21,她为饥寒我为骄。,8679230.0862043053,0.0
daxp-XiRiLi-LongFengChengXiang.xml_5,纵有大事料无妨。,8700902.3750015944,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_8,只骂得贼昏王装聋作哑，,8707948.5836383812,0.14285714285714285
daxp-SuSanLi-NvQiJie.xml_7,来生变犬马我当报还！,8802447.2752371728,0.0
daxp-SuSanLi-NvQiJie.xml_4,哪一位去往南京转，,8803002.7969598249,0.0
daxp-ErDeFu-HongNiGuan.xml_4,清早起我和他一度商量，,8821409.6311967243,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_1,倒叫我桂英儿挂在心头。,8827268.5717092175,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_3,老薛保好一似浪里舟船。,8828297.5429864377,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_2,家住在罗郡城魁星楼下，,8853455.8513379805,0.0
daxp-ErDeFu-HongNiGuan.xml_6,奴本当把关印付他执掌，,8876950.8715852574,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_0,昨日宫中何等宠幸，,8907110.1988078244,0.14285714285714285
daeh-LiYanFei-DaBaoGuo.xml_7,宣太师上金殿披红插花。,8925032.5647535827,0.0
daxp-ChunQiuTing-SuoLinNang.xml_0,春秋亭外风雨暴，,8926627.4065468889,0.0
daxp-FeiShiWo-TaoHuaCun.xml_17,听我的号令上战场。,8944316.9177758023,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_2,家住在罗郡城魁星楼下，,8959666.6808134057,0.0
daxp-FeiShiWo-TaoHuaCun.xml_8,你不要高声不要嚷，,8960243.7391746771,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_1,今朝仙女会襄王。,8978534.1307574809,0.14285714285714285
daxp-XiShiNv-XiShi.xml_3,每日里浣纱去又傍清溪。,8989933.5645255595,0.0
daxp-MuQinBu-FengHuanChao.xml_5,活在世上也枉然。,9025845.8791630343,0.0
daxp-DangRiLi-SuoLinNang.xml_10,于归日理应当喜形于面，,9040714.9900723882,0.0
daxp-QiaoLouShang-HuangShanLei.xml_4,到三更真个是月明人静，,9092004.3169692736,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_10,但愿得令公令婆别无异见，,9133189.8538686633,0.0
daxp-DangRiLi-SuoLinNang.xml_2,在轿中只觉得天昏地暗。,9158204.469722813,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_0,老爹爹清晨起前去出首，,9165895.2396324184,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_12,搬一把金交椅娘且坐下，,9183690.2816690728,0.0
daxp-XiShiNv-XiShi.xml_2,只为着守清寒柴门近水，,9203429.5822098125,0.0
daxp-ErTingDe-SuoLinNang.xml_10,蠢才问话太潦草，,9208323.5375576727,0.0
daeh-TanHongYan-HuoXiaoYu.xml_1,美满姻缘付东流。,9296831.9809802435,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_3,乱军中多亏他救我回还。,9315580.1225676145,0.0
daxp-QiaoLouShang-HuangShanLei.xml_8,听画鼓报四更愈添凄冷，,9316620.2319310214,0.0
daxp-ChunQiuTing-SuoLinNang.xml_31,积德才生玉树苗，,9354717.8750748001,0.0
daeh-SunShangXiang-BieHuangGong.xml_6,回荆州未三载诓我回转，,9354823.5759793874,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_7,等候了薛倚儿转回家园。,9383836.6103357244,0.0
sdxp-SuLongWei-WuJiaPo.xml_43,落得个孝子的名儿在那天下传。,9389124.9110181611,0.0
daxp-ChunQiuTing-SuoLinNang.xml_21,谁能移动他半分毫。,9410515.5087938812,0.0
daxp-SuSanLi-NvQiJie.xml_3,过往的君子听我言。,9424875.8046380244,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_2,哭一声亡故夫在阴曹等我，,9510417.3660410289,0.0
daxp-NiDeFu-FenHeWan.xml_2,把弓带和鱼镖与儿带定，,9533159.1221283488,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_0,老爹爹请息（呀）怒容儿细讲，,9562057.3029092439,0.0
daeh-NuZiYou-TouJunBieYao.xml_1,为薛郎我父女断绝情长。,9604518.9597999863,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_0,遭不幸老王爷晏了御驾，,9649460.0997902136,0.14285714285714285
daxp-SuSanLi-NvQiJie.xml_5,与我那三郎把信传。,9671815.2444377169,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_7,全（呐）不顾你身有病气力不佳。,9803837.4461370353,0.0
daeh-NuZiYou-TouJunBieYao.xml_3,也不枉我二人苦度时光。,9809796.5171867181,0.0
daeh-SunShangXiang-BieHuangGong.xml_2,遭不幸父王爷把驾来晏，,9810246.7160600591,0.14285714285714285
daxp-ErTingDe-SuoLinNang.xml_5,问那厢因何故痛哭无聊？,9815342.0196877085,0.14285714285714285
daeh-CanQiQi-WuLongZuo.xml_3,担几肩头晕转体若筛糠。,9835361.9706762899,0.0
daxp-FeiShiWo-TaoHuaCun.xml_3,关系你患难鸳鸯永宿在池塘。,9846347.2036174852,0.0
daxp-ChunQiuTing-SuoLinNang.xml_10,轿内的人儿弹别调，,9890337.5255310871,0.0
daxp-ErTingDe-SuoLinNang.xml_31,救她饥渴胜琼瑶。,9902512.2315369789,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_4,这桩事闷得我柔肠百转，,9905043.9279252347,0.0
daxp-LaoDieDie-YuZhouFeng.xml_0,老爹爹发恩德将本修上，,9971610.0229346026,0.0
daxp-ChunQiuTing-SuoLinNang.xml_23,他为饥寒我为娇。,9973949.5231552348,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_12,但愿得状元媒月老引线，,9975940.0009092316,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_4,这桩事闷得我柔肠百转，,10000724.979978371,0.0
daxp-DangRiLi-SuoLinNang.xml_14,急切里想起了锁麟囊一（呀）件，,10022884.677692972,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_10,只骂得贼昏王无言对答。,10033025.010545334,0.14285714285714285
sdxp-SuLongWei-WuJiaPo.xml_33,家人小厮有万千。,10067470.105209194,0.14285714285714285
daxp-ErDeFu-HongNiGuan.xml_3,倒不如与伯党匹配鸾凰。,10144864.327973237,0.0
daxp-NiDeFu-FenHeWan.xml_1,全仗你打雁养娘亲，,10196714.30007967,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_4,有生之日责当尽，,10201301.408958603,0.0
daxp-ErTingDe-SuoLinNang.xml_25,莫把姓名你信口哓。,10213176.527750546,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_0,自那日与六郎阵前相见，,10233269.407199116,0.0
daxp-ChunQiuTing-SuoLinNang.xml_17,问那厢因何故痛哭无聊。,10252925.550792145,0.14285714285714285
daxp-DangRiLi-SuoLinNang.xml_7,哪有这短花帘，旧花幔，参差流苏，残破不全。,10295606.153249094,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_1,儿命苦怎配着状元才郎？,10314991.468723543,0.0
daxp-DangRiLi-SuoLinNang.xml_17,红珊瑚碧翡翠样样倶全。,10376992.641888691,0.0
daxp-ErTingDe-SuoLinNang.xml_19,谁能移动它半分毫。,10409274.413354415,0.0
daeh-SunShangXiang-BieHuangGong.xml_7,阿斗儿行中途被子龙追还。,10449594.374436695,0.0
daxp-DangRiLi-SuoLinNang.xml_6,虽然是古青庐以朴为俭，,10464776.258253379,0.0
daxp-ErDeFu-HongNiGuan.xml_5,不想到狠心郎一味猖狂。,10611306.513484614,0.0
daxp-QiaoLouShang-HuangShanLei.xml_11,又思来又想去越不安宁。,10625272.445388427,0.0
sdxp-SuLongWei-WuJiaPo.xml_37,欺奴犹如欺了天。,10642603.866434358,0.0
daxp-QiaoLouShang-HuangShanLei.xml_1,父子们去采药未见回程。,10651149.669191997,0.0
sdxp-DangNianHan-SanJiZhang.xml_12,登台拜帅天下闻。,10687696.205717653,0.0
daxp-ChunQiuTing-SuoLinNang.xml_19,满腹骄矜顿雪潇，,10690235.776190056,0.0
daxp-ChunQiuTing-SuoLinNang.xml_11,必有隐情在心潮。,10720148.128205473,0.0
daxp-FeiShiWo-TaoHuaCun.xml_4,已然错请生波浪，,10798608.184536979,0.0
daxp-TingTaYan-ZuoGong.xml_1,十五载到今日才吐真言。,10828599.985191183,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_7,贼好比那司马师搅乱中华。,10914483.072967768,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_0,老爹爹清晨起前去出前，,10921662.259603515,0.0
daxp-DiTouLi-NvQiJie.xml_5,与我那三郎把信传。,10923663.736688752,0.0
daxp-DangRiLi-SuoLinNang.xml_4,那花轿必定是因陋就简，,10967358.602102194,0.0
daeh-LiYanFei-DaBaoGuo.xml_1,文站东武列西朝贺哀家。,10981659.428170888,0.0
daeh-ZuoChunGui-XiShi.xml_3,夜不眠朝慵起又向谁言。,11001567.398246266,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_2,把一个皇太子逼死殿下，,11038930.317208819,0.0
daxp-XiShiNv-XiShi.xml_4,怕只怕损玉颜姣容自惜，,11039521.708772853,0.0
daxp-ChunQiuTing-SuoLinNang.xml_3,想必是新婚渡鹊桥，,11081688.404288298,0.0
daxp-ChunQiuTing-SuoLinNang.xml_9,也有失意痛哭嚎啕，,11090074.072998974,0.0
daxp-ErTingDe-SuoLinNang.xml_18,人情冷暖凭空造，,11124621.373339556,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_3,我的父名姜绍贸易天涯。,11126278.68721207,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_2,暗地堪笑我兄长，,11156577.230709787,0.0
daxp-DangRiLi-SuoLinNang.xml_8,轿中人必定有一腔幽怨，,11212107.939976363,0.0
daxp-DiTouLi-NvQiJie.xml_4,哪一位去往南京转，,11217860.741657024,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_3,我爹爹名姜绍贸易天涯。,11228867.353653554,0.0
daxp-MuQinBu-FengHuanChao.xml_2,自古常言道得好，,11243759.087711038,0.0
