残生一线付惊涛,145,残生一线付惊涛。
daeh-ZiNaRi-ErJinGong.xml_0,自那日与徐杨决裂以后，,5557689.4687726973,0.0
daxp-ZheCaiShi-SuoLinNang.xml_4,柳暗花明休啼笑，,5563194.5805036314,0.0
daxp-GuanShiYin-TianNvSanHua.xml_4,绿柳枝酒甘露三千界上，,5571902.3251903299,0.0
daeh-NuZiYou-TouJunBieYao.xml_2,但愿得去投军功名有望，,5612445.3605453363,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_2,想当年桃花马上威风凛凛，,5707697.4910316262,0.0
daxp-ErTingDe-SuoLinNang.xml_4,叫梅香你把那好言相告，,5752259.723620493,0.0
daxp-QiaoLouShang-HuangShanLei.xml_11,又思来又想去越不安宁。,5771602.2686904976,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_2,暗地堪笑我兄长，,5797770.9542030944,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_7,全（呐）不顾你身有病气力不佳。,5813820.2659600135,0.0
daeh-SunShangXiang-BieHuangGong.xml_8,恨只恨我兄长把事错办，,5815020.7760243928,0.0
daxp-ChunQiuTing-SuoLinNang.xml_16,叫梅香你把那好言相告，,5817670.1657008063,0.0
daeh-ZiNaRi-ErJinGong.xml_3,太师爷一心心想篡龙楼。,5853105.5060693258,0.14285714285714285
daxp-LaoDieDie-YuZhouFeng.xml_2,倘若是有道君皇恩浩荡，,5873493.874691369,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_4,有生之日责当尽，,5888906.3006275175,0.14285714285714285
daeh-ZiNaRi-ZhuangYuanMei-1.xml_4,这桩事闷得我柔肠百转，,5930837.8792217346,0.0
daeh-LiYanFei-DaBaoGuo.xml_0,李艳妃设早朝龙书案下，,5979188.2942143129,0.0
sdxp-DangNianHan-SanJiZhang.xml_21,不能、不能、是万不能！,5991710.176557838,0.0
danbz-BeiJiuChan-ChunGuiMeng.xml_0,被纠缠陡想起婚时情景，,5996144.7239850471,0.0
daxp-DangRiLi-SuoLinNang.xml_20,这囊儿虽非是千古罕见，,6005412.4302845793,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_4,贼好比王莽贼称孤道寡，,6041401.3274862068,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_11,两旁的文武臣珠泪如麻，,6142347.1622737506,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_2,将身儿坐至在草堂等候，,6168906.5233466253,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_3,老薛保你不必苦哀告，,6174275.2708812719,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_0,老爹爹请息（呀）怒容儿细讲，,6204238.080817881,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_6,我今绝少人生趣，,6220854.6462584808,0.14285714285714285
daxp-DangRiLi-SuoLinNang.xml_8,轿中人必定有一腔幽怨，,6329421.6919184923,0.14285714285714285
daxp-ChunQiuTing-SuoLinNang.xml_21,谁能移动他半分毫。,6330005.2640355537,0.0
daeh-TanHongYan-HuoXiaoYu.xml_2,薄幸冤家音信无有，,6382215.7679708367,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_14,愿天下有情人都成姻眷，,6387089.9189747917,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_15,愿邦家从此后国泰民安。,6392115.0806832137,0.0
daeh-WuDuanQiao-BiYuZan.xml_0,无端巧计将人陷，,6468058.767304075,0.0
daeh-LiYanFei-ErJinGong.xml_0,李艳妃坐昭阳自思自想，,6489973.0306996554,0.0
daeh-SunShangXiang-BieHuangGong.xml_5,又谁知弄假成真反配凤鸾。,6490971.3888513558,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_1,受逼迫去捡柴泪如雨下，,6491418.5882108696,0.0
daxp-ChunQiuTing-SuoLinNang.xml_10,轿内的人儿弹别调，,6507131.8621515147,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_0,那日风波平地起，,6526816.8323444817,0.0
daeh-SunShangXiang-BieHuangGong.xml_4,与周郎定巧计把皇叔来骗，,6549613.7514533345,0.0
daxp-FeiShiWo-TaoHuaCun.xml_8,你不要高声不要嚷，,6580349.504111602,0.0
daspd-DuShouKong-WangJiangTing.xml_0,独守空帏暗长叹，,6597689.3344808742,0.0
daxp-QiaoLouShang-HuangShanLei.xml_0,谯楼上二更鼓声声送听，,6621276.3364391197,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_3,反倒说为嫂我拦阻有差，,6658874.6077565039,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_5,寸土怎能够属于他人。,6673300.8746919334,0.0
daxp-DangRiLi-SuoLinNang.xml_17,红珊瑚碧翡翠样样倶全。,6685403.1261061942,0.0
daxp-ErTingDe-SuoLinNang.xml_21,她为饥寒我为骄。,6720394.7997375885,0.0
daxp-ChunQiuTing-SuoLinNang.xml_9,也有失意痛哭嚎啕，,6725689.9536968786,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_0,陈三两在大堂把话云，,6726274.597892317,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_2,舅父前来出主意，,6729631.3286108999,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_1,贼昏王篡了位谋乱邦家。,6733393.0727132373,0.0
daxp-XiRiLi-LongFengChengXiang.xml_2,暗地堪笑奴兄长，,6739017.2156797554,0.0
daeh-CanQiQi-WuLongZuo.xml_0,惨凄凄唤苍天天不应响，,6749300.9539175415,0.0
daxp-ErTingDe-SuoLinNang.xml_30,小小囊儿何足道，,6759782.9721371885,0.0
daxp-ErDeFu-HongNiGuan.xml_0,儿的父为国家阵前命丧，,6761186.0970853269,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_5,贼好比曹阿瞒半点不差，,6842795.9341116641,0.0
daeh-TanHongYan-HuoXiaoYu.xml_4,枕边泪（呀）共（那）阶前雨，,6864947.3328287378,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_14,愿天下有情人都成姻眷，,6872096.6077877712,0.0
danbz-BeiJiuChan-ChunGuiMeng.xml_2,我不免去安排罗衾绣枕，,6952953.1274713492,0.0
daeh-LiYanFei-DaBaoGuo.xml_6,写文约我且把玉玺打下，,6954230.2916942816,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_4,背转身来哭嚎啕。,6979619.659171571,0.0
daxp-ZheCaiShi-SuoLinNang.xml_2,回首繁华如梦渺，,7056629.1263971692,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_4,这桩事闷得我柔肠百转，,7088450.0985387852,0.0
daeh-NuZiYou-TouJunBieYao.xml_0,奴自幼在闺阁娇生惯养，,7139922.2690754477,0.14285714285714285
daxp-SuSanLi-NvQiJie.xml_3,过往的君子听我言。,7192060.4197391616,0.0
daxp-DangRiLi-SuoLinNang.xml_5,隔帘儿我也曾侧目偷观。,7197135.4644435002,0.0
daeh-TanHongYan-HuoXiaoYu.xml_0,叹红颜薄命前生就，,7199471.6419398561,0.14285714285714285
daeh-WangChunE-SanNiangJiaoZi.xml_7,等候了薛倚儿转回家园。,7208295.3864633348,0.0
daeh-ZiNaRi-ErJinGong.xml_8,李艳妃坐昭阳自思自想，,7243093.1872560261,0.0
sdxp-SuLongWei-WuJiaPo.xml_42,买绫罗、做衣衫、买白纸、糊白幡、打首饰、做妆奁，,7261205.4776389133,0.0
daeh-SunShangXiang-BieHuangGong.xml_3,留下了孙仲谋执掌江南。,7263345.6234353185,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_0,蒙君子至殷勤再三问话，,7286373.2202754347,0.0
daxp-ErDeFu-HongNiGuan.xml_5,不想到狠心郎一味猖狂。,7294524.4639112586,0.14285714285714285
daxp-LaoDieDie-DaYuShaJia-1.xml_0,老爹爹清晨起前去出前，,7348750.2441092711,0.0
danbz-BeiJiuChan-ChunGuiMeng.xml_3,莫负他好春宵一刻千金。,7385364.1747996407,0.14285714285714285
daeh-WuDuanQiao-BiYuZan.xml_6,一心早想寻短见，,7393153.284394633,0.14285714285714285
daxp-DuiLingHua-BiYuZan.xml_2,果然是成佳偶两心欢恋，,7399491.9457037374,0.0
daxp-ErTingDe-SuoLinNang.xml_17,满腹骄矜顿雪潇。,7439693.609757483,0.0
daxp-ErTingDe-SuoLinNang.xml_7,不该人前乱解嘲。,7439693.609757483,0.0
daxp-ErTingDe-SuoLinNang.xml_19,谁能移动它半分毫。,7443909.1557183331,0.0
daxp-DiTouLi-NvQiJie.xml_3,过往的君子听我言。,7444738.4983563796,0.0
daxp-DiTouLi-NvQiJie.xml_2,未曾开言我心好惨，,7450432.0984109072,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_7,贼好比那司马师搅乱中华。,7459364.8757453859,0.0
daxp-SuSanLi-NvQiJie.xml_2,未曾开言心内惨，,7472815.0721534798,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_0,老爹爹清晨起前去出首，,7476346.8429280818,0.0
daxp-ChunQiuTing-SuoLinNang.xml_19,满腹骄矜顿雪潇，,7477219.6128661511,0.0
daeh-ZuoChunGui-XiShi.xml_0,坐春闺只觉得光明似箭，,7490284.3772606151,0.0
daxp-ZheCaiShi-SuoLinNang.xml_3,残生一线付惊涛。,7502125.719031197,1.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_9,宋天子主婚姻此事成全。,7517971.8392081447,0.0
daxp-ChunQiuTing-SuoLinNang.xml_28,这都是神话凭空造，,7600916.999162063,0.0
daeh-LiYanFei-ErJinGong.xml_2,耳边厢又听得朝靴响亮，,7619083.6167800492,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_6,将身儿来至在机房织绢，,7679954.0222292291,0.0
daxp-JiaoZhangSheng-HongNiang.xml_0,叫张生隐藏在棋盘之下，,7684499.0112465899,0.14285714285714285
sdxp-WoHeNi-SiLangTanMu.xml_27,你要见高堂母我不阻拦。,7690629.0857114159,0.0
daxp-ChunQiuTing-SuoLinNang.xml_7,世上何尝尽富豪，,7726152.090829161,0.0
daxp-DangRiLi-SuoLinNang.xml_21,换衣食也够她生活几年。,7731778.3755807243,0.14285714285714285
daeh-WangChunE-SanNiangJiaoZi.xml_0,王春娥坐草堂自思自叹，,7748013.0836810619,0.0
daxp-LaoDieDie-YuZhouFeng.xml_4,老爹爹在朝中官高爵显，,7757651.0555845536,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_3,等候了你妻子同见阎罗。,7768157.6491418127,0.0
daxp-SuSanLi-NvQiJie.xml_5,与我那三郎把信传。,7770052.6609242633,0.0
daxp-WoZhuYe-SiLangTanMu.xml_2,众卿随忙挂点亲率官员，,7824710.6368969912,0.0
daxp-DiTouLi-NvQiJie.xml_4,哪一位去往南京转，,7835012.7180984514,0.14285714285714285
daeh-SunShangXiang-BieHuangGong.xml_6,回荆州未三载诓我回转，,7839987.1288999049,0.0
sdxp-DangNianHan-SanJiZhang.xml_12,登台拜帅天下闻。,7860579.7918321304,0.0
daxp-ChunQiuTing-SuoLinNang.xml_23,他为饥寒我为娇。,7870492.8416946782,0.0
daxp-DuiLingHua-BiYuZan.xml_0,对菱花暗地里芳心自转，,7870640.8920356026,0.0
sdxp-SuLongWei-WuJiaPo.xml_41,与你娘做一个安家钱。,7877045.0997760836,0.14285714285714285
daeh-LiYanFei-ErJinGong.xml_4,有几句话儿我不好言讲，,7925137.1275513982,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_11,但愿得杨六郎心如石坚，,7946989.4421809195,0.0
daeh-SunShangXiang-BieHuangGong.xml_7,阿斗儿行中途被子龙追还。,7977634.392341963,0.0
daeh-WuDuanQiao-BiYuZan.xml_2,独处闺房愁无限，,7981915.8313744338,0.0
daxp-DangRiLi-SuoLinNang.xml_4,那花轿必定是因陋就简，,7993901.0559946131,0.0
daeh-LiYanFei-DaBaoGuo.xml_9,压定了文武臣均要画押。,8043536.4560360275,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_10,只骂得贼昏王无言对答。,8079605.645804463,0.0
sdxp-SuLongWei-WuJiaPo.xml_29,府内金银堆如山。,8087308.0739601748,0.0
daxp-ErTingDe-SuoLinNang.xml_26,这都是神话凭空造，,8096913.2915055444,0.0
sdxp-SuLongWei-WuJiaPo.xml_37,欺奴犹如欺了天。,8118563.9196276721,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_8,只骂得贼昏王装聋作哑，,8134828.0036896542,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_4,母女隔断三千里，,8183948.7796732457,0.0
daxp-ChunQiuTing-SuoLinNang.xml_31,积德才生玉树苗，,8190783.9234489687,0.14285714285714285
sdxp-WoHeNi-SiLangTanMu.xml_29,怕你一去就不回还。,8200831.1697632512,0.14285714285714285
daxp-FeiShiWo-TaoHuaCun.xml_1,只怪你呆头呆脑慌慌张张。,8310347.528844093,0.0
daeh-ZuoChunGui-XiShi.xml_1,无限的闲愁恨尽上眉尖。,8370958.2380249277,0.0
daeh-ZiNaRi-ErJinGong.xml_12,有一句话儿不好言讲，,8388923.3302273657,0.14285714285714285
daeh-SunShangXiang-BieHuangGong.xml_0,孙尚香坐宫院自思自叹，,8428743.0350859258,0.0
sdxp-SuLongWei-WuJiaPo.xml_31,命人送到（那）西凉川。,8433295.4249768779,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_5,那厢流泪这厢啼。,8512906.590463087,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_3,老薛保好一似浪里舟船。,8534196.1841751374,0.14285714285714285
daxp-DangRiLi-SuoLinNang.xml_12,那时节奴妆奁不下百万，,8542581.0462440755,0.0
daxp-QiaoLouShang-HuangShanLei.xml_2,对孤灯思远道心神不定，,8549230.3394568358,0.0
daeh-ZiNaRi-ErJinGong.xml_10,耳边厢又听得朝靴响亮，,8570422.3638661057,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_0,老爹爹请息怒容儿细讲，,8608239.8747445084,0.0
daeh-LiYanFei-DaBaoGuo.xml_2,太师爷奏一本进贡年下，,8634060.0773359481,0.14285714285714285
daxp-NiDeFu-FenHeWan.xml_2,把弓带和鱼镖与儿带定，,8640718.0842774715,0.0
daxp-XiRiLi-LongFengChengXiang.xml_5,纵有大事料无妨。,8648780.5786172729,0.0
daeh-ZiNaRi-ErJinGong.xml_1,独坐在寒宫院闷闷悠悠。,8691535.3199613318,0.0
sdxp-DangNianHan-SanJiZhang.xml_16,难道说文官他就不丧身？,8706515.2758019362,0.0
sdxp-SuLongWei-WuJiaPo.xml_33,家人小厮有万千。,8773485.3281157464,0.0
daxp-DangRiLi-SuoLinNang.xml_10,于归日理应当喜形于面，,8803861.959973326,0.0
daxp-FeiShiWo-TaoHuaCun.xml_10,不但要仔细听、还要仔细想，,8829505.8817101289,0.0
daxp-DiTouLi-NvQiJie.xml_7,来生变犬马我当报还。,8839718.3115056846,0.14285714285714285
daeh-WuDuanQiao-BiYuZan.xml_1,薄命自伤怨红颜。,8856403.8910433929,0.0
daxp-XiShiNv-XiShi.xml_2,只为着守清寒柴门近水，,8859396.3781754225,0.0
daxp-WoHeNi-SangYuanHui.xml_1,谁认你狼心狗肺的人！,8909934.043716697,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_0,自那日与六郎姻缘相见，,8916190.0234438628,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_0,小奴才他一言问住我，,8958760.4741492793,0.14285714285714285
daxp-DangRiLi-SuoLinNang.xml_9,她泪自弹、声续断、似杜鹃、啼别院、巴峡哀猿动人心弦，好不惨然。,8990753.9088428505,0.0
daxp-DangRiLi-SuoLinNang.xml_14,急切里想起了锁麟囊一（呀）件，,9039955.5005857255,0.14285714285714285
daxp-LaoDieDie-YuZhouFeng.xml_0,老爹爹发恩德将本修上，,9059820.2689117119,0.0
daxp-DiTouLi-NvQiJie.xml_5,与我那三郎把信传。,9093532.553378623,0.0
daxp-TingTaYan-ZuoGong.xml_7,不知者不怪罪你的海量放宽。,9111402.6132974345,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_2,我本是被骗进的富春院，,9127097.5008837078,0.0
daxp-FeiShiWo-TaoHuaCun.xml_11,是不是有人拍巴掌。,9134912.4672264233,0.0
daeh-NuZiYou-TouJunBieYao.xml_3,也不枉我二人苦度时光。,9144435.4546483997,0.0
daxp-DangRiLi-SuoLinNang.xml_2,在轿中只觉得天昏地暗。,9159599.4555031192,0.0
daeh-ZiNaRi-ErJinGong.xml_11,想必是徐杨进了昭阳。,9175199.4398256186,0.0
daeh-LiYanFei-DaBaoGuo.xml_8,赐你的上方剑朝房问话，,9190149.4005975705,0.0
daxp-XiShiNv-XiShi.xml_4,怕只怕损玉颜姣容自惜，,9232494.5095018838,0.0
daxp-ErDeFu-HongNiGuan.xml_7,又恐怕众将官说短论长。,9252192.8630931117,0.0
daeh-LiYanFei-DaBaoGuo.xml_4,将江山让太师权且代贺，,9265727.7888043318,0.0
daeh-SunShangXiang-BieHuangGong.xml_2,遭不幸父王爷把驾来晏，,9295566.2573565301,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_2,父休笑薛平贵是花郎模样，,9309512.2877199035,0.0
daxp-DangRiLi-SuoLinNang.xml_19,还有那赤金链，紫瑛簪，白玉环，双凤錾，八宝钗钏一个个宝孕光含。,9334135.1095948499,0.14285714285714285
daxp-GuanShiYin-TianNvSanHua.xml_2,菩提树薝卜花千枝掩映，,9375183.7152212337,0.0
daxp-QiaoLouShang-HuangShanLei.xml_15,你爹爹到如今未转家门。,9382377.1940140929,0.0
daxp-ChunQiuTing-SuoLinNang.xml_2,在隔帘只见这一花轿，,9429289.4342255127,0.14285714285714285
daxp-FeiShiWo-TaoHuaCun.xml_15,那就是来了我西厢带路的小红娘。,9501565.6697316058,0.0
daeh-LiYanFei-ErJinGong.xml_3,想必是徐杨将进了昭阳。,9511051.7148714326,0.0
daxp-ZhiJianTa-WangJiangTing.xml_9,相公你为何不歇息？,9535140.2419642024,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_9,宋天子主婚姻此事成全。,9590038.9130624458,0.0
sdxp-DangNianHan-SanJiZhang.xml_14,在六国封相人上人。,9603574.0916396026,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_4,皓月当空，,9609430.2415131759,0.0
daxp-DangRiLi-SuoLinNang.xml_1,霎时间日色淡似坠西山。,9659976.3772277739,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_2,思想起从前事心中悔恨，,9673158.3612681292,0.0
daxp-ZhiJianTa-WangJiangTing.xml_1,长吁短叹语声低。,9680830.0886357874,0.0
danbz-KanDaWang-BaWangBieJi.xml_3,猛抬头见碧落月色清明。,9693611.9495463129,0.0
daxp-ZhiJianTa-WangJiangTing.xml_7,何必独自就暗猜疑。,9699574.5763420854,0.0
sdxp-SuLongWei-WuJiaPo.xml_38,西凉的鞑子将你斩，,9709442.8876688629,0.0
daxp-ChunQiuTing-SuoLinNang.xml_8,亦有饥寒悲怀抱，,9726589.3186684791,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_12,搬一把金交椅娘且坐下，,9869294.1700527649,0.14285714285714285
daxp-LaoDieDie-DaYuShaJia-1.xml_3,等候了爹爹回细问根由。,9876121.2275299393,0.0
daxp-ChunQiuTing-SuoLinNang.xml_5,为何鲛珠化泪抛？,9903839.082844194,0.0
daeh-LiYanFei-DaBaoGuo.xml_3,各国的众王侯朝贺中华。,9996690.9109712821,0.0
daxp-TingTaYan-ZuoGong.xml_4,我这里走向前再把礼见，,10022328.535164226,0.0
daxp-ErTingDe-SuoLinNang.xml_29,积德才生玉树苗。,10046259.710195933,0.14285714285714285
daeh-ZaoBuXing-HeHouMaDian.xml_9,只骂得贼昏王扭转身驱、闭目合晴、羞羞惭惭一语不发，,10074979.302757196,0.14285714285714285
daxp-ZhiJianTa-WangJiangTing.xml_3,害得儿夫犯焦急；,10087343.112009292,0.0
daeh-ZiNaRi-ErJinGong.xml_5,竟把我孤儿寡母当做了马牛。,10163625.897617582,0.0
daxp-ChunQiuTing-SuoLinNang.xml_17,问那厢因何故痛哭无聊。,10202057.234468941,0.0
daeh-ZuoChunGui-XiShi.xml_2,奴这里心中痛玉颜清减，,10280122.069853293,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_2,病恹恹身无力难以挣扎。,10313455.318853544,0.0
daxp-GuanShiYin-TianNvSanHua.xml_5,好似我散天花就纷落十方；,10331724.098288694,0.0
danbz-KanDaWang-BaWangBieJi.xml_1,我这里出帐外且散愁情。,10339640.36904531,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_2,春娥女好一此失群孤雁，,10386822.531074859,0.14285714285714285
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_0,昨日宫中何等宠幸，,10390868.468511172,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_5,实指望教训他终身有靠，,10399072.442992464,0.0
daeh-ZuoChunGui-XiShi.xml_3,夜不眠朝慵起又向谁言。,10409757.493836317,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_1,想起了我老爷好不惨然。,10454672.458546415,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_0,自那日与六郎阵前相见，,10525134.328072546,0.0
daxp-TingTaYan-ZuoGong.xml_1,十五载到今日才吐真言。,10526284.105535606,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_5,莫奈何到荒郊我就来捡芦花。,10535517.315505615,0.0
