我步步行来你步步爬,0,我步步行来你步步爬。
daeh-ZaoBuXing-HeHouMaDian.xml_1,贼昏王篡了位谋乱邦家。,5494235.9377453309,0.0
daxp-QiaoLouShang-HuangShanLei.xml_11,又思来又想去越不安宁。,5506307.7070479896,0.1111111111111111
daxp-MuQinBu-FengHuanChao.xml_5,活在世上也枉然。,5527802.7414117018,0.0
sdxp-WoHeNi-SiLangTanMu.xml_31,一夜之间你怎能回还。,5532842.472873522,0.1111111111111111
daxp-FeiShiWo-TaoHuaCun.xml_17,听我的号令上战场。,5536842.0660606148,0.1111111111111111
daxp-GuanShiYin-TianNvSanHua.xml_2,菩提树薝卜花千枝掩映，,5542071.9305795394,0.0
daxp-WoDeNiang-XinAnYi.xml_0,我的娘她忘了女生外姓，,5545538.4751262795,0.1111111111111111
daeh-LiYanFei-DaBaoGuo.xml_5,候幼主成了龙原业归家。,5554027.7558295429,0.0
daxp-TingTaYan-ZuoGong.xml_1,十五载到今日才吐真言。,5558211.5795224011,0.0
sdxp-SuLongWei-WuJiaPo.xml_31,命人送到（那）西凉川。,5566787.6695670234,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_6,奴似嫦娥离月宫。,5578857.0424280055,0.0
daspd-DuShouKong-WangJiangTing.xml_1,芳心寂寞有谁怜，,5606411.5983454548,0.0
daxp-ChunQiuTing-SuoLinNang.xml_5,为何鲛珠化泪抛？,5608252.2581708943,0.0
daxp-ChunQiuTing-SuoLinNang.xml_21,谁能移动他半分毫。,5615152.3488694392,0.0
daxp-DangRiLi-SuoLinNang.xml_0,当日里好风光忽觉转变，,5615583.0262086904,0.0
sdxp-DangNianHan-SanJiZhang.xml_14,在六国封相人上人。,5647110.8999918438,0.0
daxp-ErTingDe-SuoLinNang.xml_4,叫梅香你把那好言相告，,5654449.1754246186,0.1111111111111111
dldeh-ShouBiPo-ChunQiuPei.xml_1,受逼迫去捡柴泪如雨下，,5675813.319211374,0.0
daxp-MuQinBu-FengHuanChao.xml_1,女儿言来听根源。,5688099.5476844842,0.1111111111111111
daeh-LiYanFei-DaBaoGuo.xml_6,写文约我且把玉玺打下，,5690076.4014585884,0.1111111111111111
sdeh-WenSanNiang-SanNiangJiaoZi.xml_5,实指望教训他终身有靠，,5708135.2125535533,0.0
daxp-ErTingDe-SuoLinNang.xml_11,难免怀疑在心梢。,5710348.5082952194,0.0
daxp-ZheCaiShi-SuoLinNang.xml_1,不想团圆在今朝。,5710348.5082952194,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_2,家住在罗郡城魁星楼下，,5714184.0027896687,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_2,春娥女好一此失群孤雁，,5796706.8544212449,0.0
daxp-ChunQiuTing-SuoLinNang.xml_16,叫梅香你把那好言相告，,5799739.258509092,0.1111111111111111
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_5,寸土怎能够属于他人。,5816582.7331770239,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_1,行不安坐不宁情态缠绵。,5853557.9180158367,0.1111111111111111
daxp-ChunQiuTing-SuoLinNang.xml_1,何处悲声破寂寥。,5863451.1681283489,0.0
daxp-ChunQiuTing-SuoLinNang.xml_3,想必是新婚渡鹊桥，,5865702.4848901387,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_4,诗书易礼都学会，,5890294.9248484047,0.0
daeh-SunShangXiang-BieHuangGong.xml_7,阿斗儿行中途被子龙追还。,5940801.5486323508,0.1111111111111111
sdxp-SuLongWei-WuJiaPo.xml_27,三人对面（就）说分明。,5959125.4136452265,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_0,陈三两在大堂把话云，,5962601.5807337658,0.0
daeh-ZiNaRi-ErJinGong.xml_12,有一句话儿不好言讲，,5965205.879849988,0.0
daeh-ZuoChunGui-XiShi.xml_0,坐春闺只觉得光明似箭，,5976675.7083948143,0.0
daxp-LaoDieDie-YuZhouFeng.xml_4,老爹爹在朝中官高爵显，,5980229.1795153692,0.0
daspd-DuShouKong-WangJiangTing.xml_2,孀居愁苦泪洗面，,5985703.8299441021,0.0
daxp-ChunQiuTing-SuoLinNang.xml_24,分我一枝珊瑚宝，,5991383.6982019525,0.1111111111111111
daxp-ChunQiuTing-SuoLinNang.xml_22,我在不足他正少，,5991383.6982019525,0.1111111111111111
sdxp-DangNianHan-SanJiZhang.xml_16,难道说文官他就不丧身？,6006898.5345203625,0.0
danbz-KanDaWang-BaWangBieJi.xml_1,我这里出帐外且散愁情。,6011584.363652519,0.1111111111111111
daeh-SunShangXiang-BieHuangGong.xml_2,遭不幸父王爷把驾来晏，,6028370.0264636716,0.1111111111111111
daxp-ErTingDe-SuoLinNang.xml_31,救她饥渴胜琼瑶。,6048856.57106198,0.0
daxp-SuSanLi-NvQiJie.xml_1,将身来在大街前。,6065063.4645643458,0.1111111111111111
daeh-ZiNaRi-ErJinGong.xml_4,他那里父女情全然无有，,6096935.0483607957,0.0
daxp-ErTingDe-SuoLinNang.xml_22,分我一枝珊瑚宝，,6140351.5825636564,0.1111111111111111
sdxp-DangNianHan-SanJiZhang.xml_13,商鞅不中苏季子，,6140351.5825636564,0.0
daxp-XiRiLi-LongFengChengXiang.xml_5,纵有大事料无妨。,6152168.3049051361,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_0,老爹爹清晨起前去出首，,6170506.0087298574,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_7,贼好比那司马师搅乱中华。,6172273.7363717668,0.0
daxp-JiaoZhangSheng-HongNiang.xml_3,这件事倒叫我心乱如麻。,6178971.027918227,0.1111111111111111
daxp-QiaoLouShang-HuangShanLei.xml_14,我不免唤琏儿到街前探问，,6209163.0929573802,0.1111111111111111
daxp-WoZhuYe-SiLangTanMu.xml_2,众卿随忙挂点亲率官员，,6258844.3771837922,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_15,愿邦家从此后国泰民安。,6271011.5739728259,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_2,哭一声亡故夫在阴曹等我，,6272143.8926927261,0.1111111111111111
daxp-ErDeFu-HongNiGuan.xml_0,儿的父为国家阵前命丧，,6280138.6633081418,0.0
daxp-NiDeFu-FenHeWan.xml_0,你的父去投军无音信，,6316404.5387682579,0.1111111111111111
daxp-DuiLingHua-BiYuZan.xml_0,对菱花暗地里芳心自转，,6332079.6107825479,0.0
daxp-FeiShiWo-TaoHuaCun.xml_11,是不是有人拍巴掌。,6332317.172739191,0.0
daeh-ZiNaRi-ErJinGong.xml_10,耳边厢又听得朝靴响亮，,6354583.0011307104,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_5,贼好比曹阿瞒半点不差，,6378882.7859028298,0.0
daxp-DuiLingHua-BiYuZan.xml_3,也算得人世间美满姻缘。,6382121.6536254175,0.0
daxp-DangRiLi-SuoLinNang.xml_1,霎时间日色淡似坠西山。,6406478.365333803,0.0
daeh-ZiNaRi-ErJinGong.xml_9,想起了老王爷好不惨伤。,6408820.8873360781,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_2,暗地堪笑我兄长，,6409390.5101833642,0.1111111111111111
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_1,见玉兔（哇）玉兔又早东升。,6449373.7606581552,0.0
daxp-DuiLingHua-BiYuZan.xml_2,果然是成佳偶两心欢恋，,6458603.2919505015,0.0
daxp-ZhiJianTa-WangJiangTing.xml_9,相公你为何不歇息？,6493864.4965525605,0.1111111111111111
daspd-DuShouKong-WangJiangTing.xml_0,独守空帏暗长叹，,6494348.5304102227,0.0
sdxp-SuLongWei-WuJiaPo.xml_35,打板子、上夹棍、丢南牢、坐监禁、管叫你思前容易退后难。,6495372.0706191799,0.1111111111111111
daeh-WuDuanQiao-BiYuZan.xml_6,一心早想寻短见，,6497332.1319418419,0.0
danbz-BeiJiuChan-ChunGuiMeng.xml_2,我不免去安排罗衾绣枕，,6500051.757582658,0.1111111111111111
daeh-ZaoBuXing-HeHouMaDian.xml_13,你叔王不让位再去骂他。,6541068.8515322618,0.1111111111111111
daeh-LiYanFei-DaBaoGuo.xml_9,压定了文武臣均要画押。,6586775.3669939227,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_2,将身儿坐至在草堂等候，,6587567.7612982783,0.0
danbz-KanDaWang-BaWangBieJi.xml_2,轻移步走向前荒郊站定，,6614822.598453599,0.4444444444444444
daxp-FeiShiWo-TaoHuaCun.xml_3,关系你患难鸳鸯永宿在池塘。,6621041.6485822229,0.1111111111111111
daxp-MengJunZi-ChunQiuPei-1.xml_5,莫奈何到荒郊我就来捡芦花。,6628779.3086027764,0.2222222222222222
daeh-NaRiFeng-YuanXiaoMi.xml_6,我今绝少人生趣，,6637159.716248963,0.1111111111111111
daxp-ErDeFu-HongNiGuan.xml_5,不想到狠心郎一味猖狂。,6637275.7193049397,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_4,贼好比王莽贼称孤道寡，,6657225.7570549352,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_1,想起了我老爷好不惨然。,6658950.4181123031,0.1111111111111111
daxp-QiaoLouShang-HuangShanLei.xml_15,你爹爹到如今未转家门。,6669667.6989928586,0.1111111111111111
daxp-FeiShiWo-TaoHuaCun.xml_14,倘若是你响她也响，,6681263.8544037389,0.1111111111111111
daeh-CanQiQi-WuLongZuo.xml_1,叹红颜多薄命父母双亡。,6691783.0946406592,0.0
daeh-TanHongYan-HuoXiaoYu.xml_0,叹红颜薄命前生就，,6695791.3040946731,0.0
daxp-ChunQiuTing-SuoLinNang.xml_13,同遇人为什么这样嚎啕？,6705232.1171500422,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_2,将身儿坐至在草堂等候，,6705584.6838143067,0.0
sdxp-WoHeNi-SiLangTanMu.xml_24,因何故终日里愁眉不展，,6715597.7066733921,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_7,不如早死命归西。,6732385.8175161267,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_2,那冰轮离海岛，,6755781.1634810977,0.0
daxp-ErTingDe-SuoLinNang.xml_28,麟儿哪有神送到，,6756848.9312072117,0.0
daxp-QiaoLouShang-HuangShanLei.xml_8,听画鼓报四更愈添凄冷，,6800076.6601130534,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_6,将身儿来至在机房织绢，,6814290.4718807815,0.1111111111111111
daxp-DangRiLi-SuoLinNang.xml_13,怎奈我在轿中赤手空拳。,6817378.5423984043,0.1111111111111111
daeh-LiYanFei-ErJinGong.xml_1,想起了朝中事好不惨伤！,6822542.5885064173,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_0,昔日梁鸿配孟光，,6829109.8683015024,0.0
daxp-TingTaYan-ZuoGong.xml_7,不知者不怪罪你的海量放宽。,6835191.445788864,0.1111111111111111
daxp-LaoDieDie-SanJiZhang-2.xml_0,老爹爹请息怒容儿细讲，,6835994.9174196701,0.0
daxp-XiShiNv-XiShi.xml_2,只为着守清寒柴门近水，,6842410.4462969676,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_8,只骂得贼昏王装聋作哑，,6843437.5372407651,0.0
daeh-ZiNaRi-ErJinGong.xml_11,想必是徐杨进了昭阳。,6851967.6008104375,0.0
daxp-DangRiLi-SuoLinNang.xml_10,于归日理应当喜形于面，,6854057.9205172965,0.0
daxp-ChunQiuTing-SuoLinNang.xml_10,轿内的人儿弹别调，,6872870.4048281787,0.0
daxp-ErDeFu-HongNiGuan.xml_4,清早起我和他一度商量，,6942912.5036015334,0.1111111111111111
dldeh-ShouBiPo-ChunQiuPei.xml_3,奴好比花未开风吹雨打，,6946413.2265999112,0.0
sdxp-DangNianHan-SanJiZhang.xml_18,大孝之人也受贫。,6948134.2165161474,0.0
daeh-LiYanFei-ErJinGong.xml_5,我只得怀抱太子两泪汪汪口口声声哭的是先王。,6965737.8747685533,0.1111111111111111
daxp-LaoDieDie-DaYuShaJia-1.xml_3,等候了爹爹回细问根由。,6972003.4476838261,0.0
daeh-LiYanFei-ErJinGong.xml_0,李艳妃坐昭阳自思自想，,6993417.0752560003,0.0
daxp-ZhiJianTa-WangJiangTing.xml_2,何人来把书信寄？,7002178.9832101697,0.1111111111111111
sdxp-DangNianHan-SanJiZhang.xml_10,都是安邦定国臣，,7010919.1304757269,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_3,这样人得了志比父还强。,7032583.0728672324,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_6,又谁知平白的闪跌一跤。,7033293.3079883913,0.0
daxp-WoZhuYe-SiLangTanMu.xml_4,叫番儿忙摆驾银安殿，,7066739.3370642215,0.0
daeh-WuDuanQiao-BiYuZan.xml_2,独处闺房愁无限，,7080770.5568066053,0.0
daxp-DangRiLi-SuoLinNang.xml_8,轿中人必定有一腔幽怨，,7088150.9078533305,0.0
daxp-FeiShiWo-TaoHuaCun.xml_16,你把我当做诸葛亮，,7132248.7044018172,0.2222222222222222
daxp-LaoDieDie-SanJiZhang-1.xml_3,贫穷人得了志比富还强。,7145275.8063301183,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_12,但愿得状元媒月老引线，,7147090.0411573239,0.0
daxp-ErTingDe-SuoLinNang.xml_18,人情冷暖凭空造，,7156881.5825498905,0.0
daxp-ErTingDe-SuoLinNang.xml_29,积德才生玉树苗。,7159701.6582904411,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_10,但愿得令公令婆别无意见，,7160252.4356898451,0.0
daeh-ZiNaRi-ErJinGong.xml_1,独坐在寒宫院闷闷悠悠。,7171469.6073815553,0.0
daxp-QiaoLouShang-HuangShanLei.xml_2,对孤灯思远道心神不定，,7190008.0824038461,0.0
daeh-SunShangXiang-BieHuangGong.xml_0,孙尚香坐宫院自思自叹，,7204194.3020345615,0.0
daeh-TanHongYan-HuoXiaoYu.xml_4,枕边泪（呀）共（那）阶前雨，,7212963.3745751632,0.0
daeh-LiYanFei-DaBaoGuo.xml_4,将江山让太师权且代贺，,7229481.7945971293,0.0
daxp-QiaoLouShang-HuangShanLei.xml_0,谯楼上二更鼓声声送听，,7230603.953204222,0.0
daxp-XiRiLi-LongFengChengXiang.xml_2,暗地堪笑奴兄长，,7252630.7323019523,0.0
daeh-LiYanFei-ErJinGong.xml_3,想必是徐杨将进了昭阳。,7298766.713833767,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_3,反倒说为嫂我拦阻有差，,7338921.3753433144,0.1111111111111111
daxp-GuanShiYin-TianNvSanHua.xml_3,白鹦鹉与仙鸟在灵岩神岘上下飞翔；,7341555.1276603211,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_0,王春娥坐草堂自思自叹，,7344632.0922813192,0.0
daeh-ZiNaRi-ErJinGong.xml_13,我只得怀抱太子两泪汪汪口口声声哭的是先王！,7384899.3723938493,0.1111111111111111
daeh-NuZiYou-TouJunBieYao.xml_1,为薛郎我父女断绝情长。,7388305.3096513199,0.1111111111111111
daxp-DangRiLi-SuoLinNang.xml_9,她泪自弹、声续断、似杜鹃、啼别院、巴峡哀猿动人心弦，好不惨然。,7392956.0935849026,0.0
daeh-LiYanFei-DaBaoGuo.xml_8,赐你的上方剑朝房问话，,7393107.2513737762,0.1111111111111111
sdeh-WenSanNiang-SanNiangJiaoZi.xml_3,老薛保你不必苦哀告，,7413565.3524863655,0.1111111111111111
daeh-ZaoBuXing-HeHouMaDian.xml_11,两旁的文武臣珠泪如麻，,7414828.0076487344,0.0
daxp-ZheCaiShi-SuoLinNang.xml_7,愧我当初赠木桃。,7438660.9594811741,0.1111111111111111
daxp-ErDeFu-HongNiGuan.xml_7,又恐怕众将官说短论长。,7439377.3894047877,0.0
daxp-ChunQiuTing-SuoLinNang.xml_33,救她饥渴胜琼瑶。,7443349.3646881133,0.0
daeh-WuDuanQiao-BiYuZan.xml_1,薄命自伤怨红颜。,7498177.7546762135,0.0
daeh-TanHongYan-HuoXiaoYu.xml_2,薄幸冤家音信无有，,7510645.2472152272,0.0
daxp-JiaoZhangSheng-HongNiang.xml_5,听号令且莫要惊动了她。,7547398.3327113781,0.0
daxp-ChunQiuTing-SuoLinNang.xml_6,此时却又明白了，,7549884.5243601697,0.0
daxp-ChunQiuTing-SuoLinNang.xml_4,吉日良辰当欢笑，,7574946.7280264944,0.0
daxp-TingTaYan-ZuoGong.xml_4,我这里走向前再把礼见，,7577417.7637712313,0.1111111111111111
daeh-ZiNaRi-ZhuangYuanMei-2.xml_9,宋天子主婚姻此事成全。,7581135.9576808102,0.0
daxp-ChunQiuTing-SuoLinNang.xml_17,问那厢因何故痛哭无聊。,7603849.0854648827,0.0
daxp-TingTaYan-ZuoGong.xml_2,原来是杨家将把名姓改换，,7614956.9566075932,0.1111111111111111
daxp-LaoDieDie-YuZhouFeng.xml_0,老爹爹发恩德将本修上，,7628233.4195827078,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_14,愿天下有情人都成姻眷，,7662860.7868386712,0.0
daxp-GuanShiYin-TianNvSanHua.xml_5,好似我散天花就纷落十方；,7678087.5223899512,0.1111111111111111
daxp-ZhiJianTa-WangJiangTing.xml_5,隐情不敢实告妻。,7681364.09873462,0.0
daxp-DiTouLi-NvQiJie.xml_1,将身来在大街前。,7683572.1738424981,0.1111111111111111
danbz-BeiJiuChan-ChunGuiMeng.xml_1,算当初曾经得几晌温存。,7689829.4639054937,0.0
sdxp-SuLongWei-WuJiaPo.xml_25,苏龙魏虎是内亲。,7690312.6598369805,0.0
daeh-LiYanFei-ErJinGong.xml_4,有几句话儿我不好言讲，,7738767.1030281577,0.1111111111111111
daeh-WangChunE-SanNiangJiaoZi.xml_5,每日里在书房苦读圣贤。,7742273.3647183934,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_5,叹一声不由人珠泪如梭。,7774881.5114300633,0.0
daxp-WoZhuYe-SiLangTanMu.xml_0,我主爷金沙滩早把命丧，,7800187.537396499,0.1111111111111111
daxp-ZhiJianTa-WangJiangTing.xml_8,出二堂深施礼，,7825609.6821453273,0.0
daxp-QiaoLouShang-HuangShanLei.xml_13,果然是晓鸡唱天已黎明。,7836347.7933185166,0.0
daxp-FeiShiWo-TaoHuaCun.xml_15,那就是来了我西厢带路的小红娘。,7838843.196749554,0.2222222222222222
daxp-ChunQiuTing-SuoLinNang.xml_2,在隔帘只见这一花轿，,7839596.9529119665,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_3,我与母亲两分离。,7843682.8375741402,0.1111111111111111
daeh-ZiNaRi-ZhuangYuanMei-1.xml_7,帝王家深宫院似水流年。,7858394.4519385053,0.0
daxp-ErTingDe-SuoLinNang.xml_1,同遇人为什么这样嚎啕。,7870422.6744829072,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_0,蒙君子至殷勤再三问话，,7874447.811315611,0.0
daeh-ZiNaRi-ErJinGong.xml_8,李艳妃坐昭阳自思自想，,7893909.4002219634,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_4,母女隔断三千里，,7918476.3579140278,0.0
daxp-XiShiNv-XiShi.xml_0,西施女生长在苎萝村里，,7927335.3979439661,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_12,但愿得状元媒月老引线，,7962369.5457135653,0.0
daxp-LaoDieDie-YuZhouFeng.xml_3,观此本免了儿一门祸殃。,7963017.4592952793,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_3,等候了你妻子同见阎罗。,7978949.9692134503,0.1111111111111111
daeh-NaRiFeng-YuanXiaoMi.xml_0,那日风波平地起，,8030796.9456110522,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_15,愿天下从此后国泰民安。,8038671.1888710633,0.0
daxp-FeiShiWo-TaoHuaCun.xml_2,今夜晚非比那西厢待月、你懂提防、莫轻狂，,8057508.1773459353,0.1111111111111111
daxp-XiRiLi-LongFengChengXiang.xml_0,昔日里梁鸿配孟光，,8068699.9476846587,0.0
daxp-DangRiLi-SuoLinNang.xml_18,还有那夜明珠粒粒成串，,8152985.3802589439,0.0
daeh-LiYanFei-DaBaoGuo.xml_2,太师爷奏一本进贡年下，,8158317.2304581208,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_0,蒙君子至诚心再三问话，,8160425.9263738776,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_1,死里逃生甚惨凄。,8169367.060959613,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_4,皓月当空，,8177132.6543341037,0.0
