催祥云驾瑞彩速赴佛场,0,催祥云驾瑞彩速赴佛场。
daeh-LiYanFei-DaBaoGuo.xml_1,文站东武列西朝贺哀家。,6442816.4367991434,0.0
daeh-ZiNaRi-ErJinGong.xml_7,看一看不觉到八月中秋。,6451247.9199830433,0.0
sdxp-SuLongWei-WuJiaPo.xml_28,我父在朝为官宦，,6475304.5485439496,0.0
daxp-ZheCaiShi-SuoLinNang.xml_0,这才是人生难预料，,6481224.0192167107,0.0
daeh-NuZiYou-TouJunBieYao.xml_3,也不枉我二人苦度时光。,6481509.4658743553,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_2,病恹恹身无力难以挣扎。,6486792.4082946619,0.0
daxp-SuSanLi-NvQiJie.xml_0,苏三离了洪洞县，,6522308.3711907547,0.0
sdxp-DangNianHan-SanJiZhang.xml_17,仙女配的是董永，,6522308.3711907547,0.0
daxp-DiTouLi-NvQiJie.xml_0,低头离了洪洞县，,6524720.4432208948,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_3,敌血飞溅石榴裙。,6537820.8257349422,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_3,这样人得了志比父还强。,6594823.5725874556,0.0
daeh-ZiNaRi-ErJinGong.xml_11,想必是徐杨进了昭阳。,6652335.2747812346,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_7,不如早死命归西。,6666751.7301672064,0.0
sdxp-WoHeNi-SiLangTanMu.xml_30,宋营离此路途远，,6720719.0878546499,0.0
daxp-LaoDieDie-YuZhouFeng.xml_1,明早朝上金殿面奏吾皇。,6729799.0038842708,0.0
daxp-QiaoLouShang-HuangShanLei.xml_15,你爹爹到如今未转家门。,6753299.3609015169,0.0
daxp-GuanShiYin-TianNvSanHua.xml_0,观世音满月面珠开妙相，,6753603.717350496,0.0
daxp-TingTaYan-ZuoGong.xml_5,尊一声驸马爷细听咱言。,6756604.9275574386,0.0
daxp-ChunQiuTing-SuoLinNang.xml_0,春秋亭外风雨暴，,6768585.1096419543,0.0
daeh-CanQiQi-WuLongZuo.xml_3,担几肩头晕转体若筛糠。,6825676.3648495125,0.0
daxp-JiaoZhangSheng-HongNiang.xml_0,叫张生隐藏在棋盘之下，,6834923.5876744101,0.0
daxp-XiRiLi-LongFengChengXiang.xml_5,纵有大事料无妨。,6878644.1895770542,0.0
daeh-ZuoChunGui-XiShi.xml_3,夜不眠朝慵起又向谁言。,6890826.2754624207,0.0
daxp-QiaoLouShang-HuangShanLei.xml_9,看娇儿正酣睡恐被风侵。,6913775.9247201057,0.0
daxp-ErTingDe-SuoLinNang.xml_0,耳听得悲声惨心中如捣，,6930753.4758103173,0.0
daxp-NiDeFu-FenHeWan.xml_0,你的父去投军无音信，,6966594.0579414172,0.0
daxp-NiDeFu-FenHeWan.xml_3,不等到日落及早回程。,7002717.1395529583,0.0
daxp-DangRiLi-SuoLinNang.xml_15,囊虽小却能做续命泉源。,7021363.8951445585,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_5,莫奈何到荒郊我就来捡芦花。,7041917.6289732512,0.0
danbz-BeiJiuChan-ChunGuiMeng.xml_4,原来是不耐烦已经睡困，,7058566.1429009354,0.0
daxp-ChunQiuTing-SuoLinNang.xml_32,小小囊儿何足道，,7092874.2628038833,0.0
sdxp-WoHeNi-SiLangTanMu.xml_32,适才叫咱盟誓愿，,7109703.3589220569,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_3,但不知何日里再沐圣明。,7132022.660111839,0.0
sdxp-DangNianHan-SanJiZhang.xml_9,当年韩信与苏秦，,7142912.2275028862,0.0
daxp-ErTingDe-SuoLinNang.xml_24,忙把梅香低声叫，,7156631.502877064,0.0
daxp-WoZhuYe-SiLangTanMu.xml_0,我主爷金沙滩早把命丧，,7161530.7217051154,0.0
daxp-ChunQiuTing-SuoLinNang.xml_18,听薛良一语来相告，,7163541.628978611,0.0
daxp-DuiLingHua-BiYuZan.xml_3,也算得人世间美满姻缘。,7174723.7076504668,0.0
daxp-ChunQiuTing-SuoLinNang.xml_12,耳听得悲声惨心中如捣，,7181981.5001072781,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_3,安排巧计害刘王。,7192812.2138315896,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_6,又谁知平白的闪跌一跤。,7194030.9924398614,0.0
daxp-ChunQiuTing-SuoLinNang.xml_26,忙把梅香低声儿叫，,7228764.3112474922,0.0
daxp-ErTingDe-SuoLinNang.xml_20,我正不足她正少，,7244065.4762928095,0.0
daxp-ErTingDe-SuoLinNang.xml_16,听薛良一语来相告，,7309444.066860659,0.0
daxp-FeiShiWo-TaoHuaCun.xml_7,桃花村口莫彷徨。,7395429.1397003382,0.0
daxp-FeiShiWo-TaoHuaCun.xml_0,非是我嘱咐叮咛把话讲，,7401782.6400815723,0.0
daxp-WoHeNi-SangYuanHui.xml_1,谁认你狼心狗肺的人！,7412636.9495687503,0.0
daxp-WoDeNiang-XinAnYi.xml_0,我的娘她忘了女生外姓，,7429684.2050095666,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_8,幸喜得珍珠衫称心如愿，,7466544.2596544763,0.0
daeh-ZuoChunGui-XiShi.xml_1,无限的闲愁恨尽上眉尖。,7482090.1763793072,0.0
daxp-ChunQiuTing-SuoLinNang.xml_30,麟儿那有神送到，,7485938.1888602022,0.0
daspd-DuShouKong-WangJiangTing.xml_3,为避狂徒到此间。,7495179.5501971105,0.0
daxp-ErTingDe-SuoLinNang.xml_30,小小囊儿何足道，,7507520.3324623695,0.0
daeh-NuZiYou-TouJunBieYao.xml_1,为薛郎我父女断绝情长。,7526125.8931845389,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_1,想起了我老爷好不惨然。,7542348.9813748654,0.0
daxp-TingTaYan-ZuoGong.xml_0,听他言吓得我浑身是汗，,7559163.8980862945,0.0
daeh-ZiNaRi-ErJinGong.xml_2,先王爷晏驾后太子年幼，,7607392.4789542034,0.1
daxp-QiaoLouShang-HuangShanLei.xml_6,忙移步隔花荫留神听定，,7616971.7711463757,0.0
daxp-ErDeFu-HongNiGuan.xml_7,又恐怕众将官说短论长。,7693764.6774293007,0.0
daxp-WoZhuYe-SiLangTanMu.xml_4,叫番儿忙摆驾银安殿，,7753072.3091818551,0.1
daxp-MengJunZi-ChunQiuPei-2.xml_0,蒙君子至诚心再三问话，,7792350.3996975059,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_3,等候了你妻子同见阎罗。,7806897.9227160597,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_0,昔日梁鸿配孟光，,7810963.3851814186,0.0
sdxp-DangNianHan-SanJiZhang.xml_19,非是女儿言不逊，,7811021.3340278659,0.0
daeh-SunShangXiang-BieHuangGong.xml_1,想起了已往事心内痛酸。,7867701.8731485074,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_1,行不安坐不宁情态缠绵。,7869418.7349674199,0.0
daxp-JiaoZhangSheng-HongNiang.xml_5,听号令且莫要惊动了她。,7901925.4446298424,0.0
sdxp-DangNianHan-SanJiZhang.xml_15,未央宫斩的是韩信，,7925627.9667051239,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_3,我的父名姜绍贸易天涯。,7927786.6490092808,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_5,不知道他与我是否一般。,7938736.4294847474,0.0
daxp-MuQinBu-FengHuanChao.xml_5,活在世上也枉然。,7944631.9459204711,0.0
sdxp-WoHeNi-SiLangTanMu.xml_22,讲什么夫妻情恩德不浅，,7953149.5876279883,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_1,死里逃生甚惨凄。,7997371.4885824667,0.0
sdxp-SuLongWei-WuJiaPo.xml_25,苏龙魏虎是内亲。,8010693.8020408731,0.0
daxp-ErDeFu-HongNiGuan.xml_6,奴本当把关印付他执掌，,8018101.6780388821,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_4,诗书易礼都学会，,8020686.4875561418,0.0
daxp-DangRiLi-SuoLinNang.xml_5,隔帘儿我也曾侧目偷观。,8021360.5326067228,0.0
daxp-ChunQiuTing-SuoLinNang.xml_6,此时却又明白了，,8066495.4717025878,0.0
daxp-ErDeFu-HongNiGuan.xml_1,撇下了奴一人好不悲凉。,8067625.3332547341,0.0
daeh-CanQiQi-WuLongZuo.xml_1,叹红颜多薄命父母双亡。,8071181.723808513,0.0
daxp-DangRiLi-SuoLinNang.xml_13,怎奈我在轿中赤手空拳。,8100294.5760878688,0.0
daeh-LiYanFei-ErJinGong.xml_3,想必是徐杨将进了昭阳。,8104625.0951946219,0.0
daxp-XiShiNv-XiShi.xml_1,难得有开怀事常锁双眉。,8151840.1215129457,0.0
daeh-SunShangXiang-BieHuangGong.xml_5,又谁知弄假成真反配凤鸾。,8156708.3415137213,0.0
daxp-ZhiJianTa-WangJiangTing.xml_5,隐情不敢实告妻。,8204957.8989158152,0.0
daeh-CanQiQi-WuLongZuo.xml_2,千金休哪曾受磨房景况，,8206170.6341434205,0.0
daxp-ZhiJianTa-WangJiangTing.xml_0,只见他一封书信握手里，,8239668.3778699208,0.0
daxp-QiaoLouShang-HuangShanLei.xml_0,谯楼上二更鼓声声送听，,8301687.4413968278,0.0
daxp-SuSanLi-NvQiJie.xml_4,哪一位去往南京转，,8328496.557477966,0.0
daxp-DangRiLi-SuoLinNang.xml_8,轿中人必定有一腔幽怨，,8329369.2694729129,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_2,父休笑薛平贵是花郎模样，,8338119.1658791341,0.0
daeh-SunShangXiang-BieHuangGong.xml_3,留下了孙仲谋执掌江南。,8347558.0954227475,0.0
daxp-LaoDieDie-YuZhouFeng.xml_0,老爹爹发恩德将本修上，,8379796.4987173891,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_1,儿命苦怎配着状元才郎？,8387928.5755806714,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_4,身有病还受那继母拷打，,8409119.7534398958,0.0
daxp-ChunQiuTing-SuoLinNang.xml_17,问那厢因何故痛哭无聊。,8484085.540179871,0.0
danbz-KanDaWang-BaWangBieJi.xml_2,轻移步走向前荒郊站定，,8510299.2140163742,0.0
daxp-FeiShiWo-TaoHuaCun.xml_2,今夜晚非比那西厢待月、你懂提防、莫轻狂，,8523271.1751849595,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_6,百姓们闺房乐如花美眷，,8530414.3184429221,0.0
daxp-ErTingDe-SuoLinNang.xml_31,救她饥渴胜琼瑶。,8532603.5330800805,0.0
daxp-DangRiLi-SuoLinNang.xml_0,当日里好风光忽觉转变，,8587211.1544319522,0.0
daxp-WoHeNi-SangYuanHui.xml_0,我和你有什么夫妻的情，,8590228.9979293197,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_7,等候了薛倚儿转回家园。,8610010.0657492299,0.0
daxp-ErDeFu-HongNiGuan.xml_3,倒不如与伯党匹配鸾凰。,8645127.1995384488,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_2,思想起从前事心中悔恨，,8651792.2582724448,0.0
daxp-ErDeFu-HongNiGuan.xml_5,不想到狠心郎一味猖狂。,8758021.774859909,0.0
daxp-DangRiLi-SuoLinNang.xml_2,在轿中只觉得天昏地暗。,8798608.220321957,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_5,恰便似嫦娥离月宫，,8802494.1182224844,0.0
danbz-BeiJiuChan-ChunGuiMeng.xml_0,被纠缠陡想起婚时情景，,8805495.819467552,0.0
daxp-ChunQiuTing-SuoLinNang.xml_24,分我一枝珊瑚宝，,8818507.7872426081,0.0
daxp-ChunQiuTing-SuoLinNang.xml_22,我在不足他正少，,8818507.7872426081,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_1,有谁知一时错被逐宫廷。,8837194.3352863509,0.0
daxp-QiaoLouShang-HuangShanLei.xml_7,原来是秋风起扫叶之声。,8839606.410482835,0.0
daeh-ZiNaRi-ErJinGong.xml_1,独坐在寒宫院闷闷悠悠。,8860991.7775871437,0.0
daxp-ErTingDe-SuoLinNang.xml_15,薛良与我去问一遭。,8936336.2983348612,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_5,实指望教训他终身有靠，,8937419.514780812,0.0
daxp-DiTouLi-NvQiJie.xml_4,哪一位去往南京转，,8939150.069381576,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_3,奴好比花未开风吹雨打，,8945001.7163832262,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_1,虽然是男女别不得不答。,8992037.9743675776,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_0,蒙君子至殷勤再三问话，,9034232.3132184539,0.0
daxp-WoZhuYe-SiLangTanMu.xml_3,一心心要夺取宋室江山。,9034910.4508568514,0.0
daxp-DangRiLi-SuoLinNang.xml_6,虽然是古青庐以朴为俭，,9042147.8873455618,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_3,我与母亲两分离。,9047336.3331367522,0.0
daeh-ZuoChunGui-XiShi.xml_2,奴这里心中痛玉颜清减，,9047556.7783243135,0.0
daxp-QiaoLouShang-HuangShanLei.xml_1,父子们去采药未见回程。,9053232.4659780189,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_4,这桩事闷得我柔肠百转，,9066140.2485426646,0.0
daxp-WoDeNiang-XinAnYi.xml_1,奴年交十九岁还守闺门。,9113298.6062479746,0.0
daxp-FeiShiWo-TaoHuaCun.xml_11,是不是有人拍巴掌。,9119609.0975579079,0.0
daxp-ErTingDe-SuoLinNang.xml_3,莫不是强婚配鸦占鸾巢。,9128960.8691289052,0.0
daeh-SunShangXiang-BieHuangGong.xml_6,回荆州未三载诓我回转，,9197184.4438818675,0.0
sdxp-WoHeNi-SiLangTanMu.xml_24,因何故终日里愁眉不展，,9198394.2095441893,0.0
daxp-JiaoZhangSheng-HongNiang.xml_3,这件事倒叫我心乱如麻。,9231297.4507666267,0.0
daxp-TingTaYan-ZuoGong.xml_7,不知者不怪罪你的海量放宽。,9251595.3097983561,0.0
daxp-QiaoLouShang-HuangShanLei.xml_3,不知他在荒山何处安身。,9271676.3732882254,0.0
danbz-BeiJiuChan-ChunGuiMeng.xml_1,算当初曾经得几晌温存。,9283216.5866374001,0.0
daxp-ChunQiuTing-SuoLinNang.xml_15,莫不是强婚配鸦占鸾巢？,9289580.3837478869,0.0
daxp-QiaoLouShang-HuangShanLei.xml_2,对孤灯思远道心神不定，,9294489.2425451819,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_6,百姓们闺房乐如花美眷，,9323058.5265804548,0.0
daspd-DuShouKong-WangJiangTing.xml_1,芳心寂寞有谁怜，,9342407.8005883023,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_4,想亲娘和老父心乱如麻。,9377969.4754603505,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_1,贼昏王篡了位谋乱邦家。,9383931.8410927225,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_10,但愿得令公令婆别无意见，,9389348.5627189241,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_1,见玉兔（哇）玉兔又早东升。,9411067.8378650509,0.0
daeh-LiYanFei-DaBaoGuo.xml_7,宣太师上金殿披红插花。,9415626.7480274346,0.0
sdxp-SuLongWei-WuJiaPo.xml_39,妻儿老小与奴一般。,9420696.6363607049,0.0
daxp-ErDeFu-HongNiGuan.xml_4,清早起我和他一度商量，,9434805.6331696697,0.0
daxp-ErTingDe-SuoLinNang.xml_5,问那厢因何故痛哭无聊？,9450266.1742553376,0.0
daxp-QiaoLouShang-HuangShanLei.xml_8,听画鼓报四更愈添凄冷，,9450280.832552569,0.0
sdxp-SuLongWei-WuJiaPo.xml_34,将你带到官衙内，,9454616.543005133,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_1,今朝仙女会襄王。,9455231.7256021518,0.0
daxp-DangRiLi-SuoLinNang.xml_7,哪有这短花帘，旧花幔，参差流苏，残破不全。,9484028.752118893,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_2,哭一声亡故夫在阴曹等我，,9556379.7065042332,0.0
daxp-ZhiJianTa-WangJiangTing.xml_9,相公你为何不歇息？,9574509.9988231286,0.0
daxp-FeiShiWo-TaoHuaCun.xml_8,你不要高声不要嚷，,9585622.6584180109,0.0
daxp-ErDeFu-HongNiGuan.xml_2,奴这里只把那结婚思量，,9620812.4745900258,0.0
daxp-GuanShiYin-TianNvSanHua.xml_6,满眼中清妙景灵光万丈，,9634884.3143237047,0.0
daxp-NiDeFu-FenHeWan.xml_2,把弓带和鱼镖与儿带定，,9636555.6738505736,0.0
daxp-DangRiLi-SuoLinNang.xml_17,红珊瑚碧翡翠样样倶全。,9660806.8882225417,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_5,因此上到郊外来捡芦花（呀）。,9693307.7061564159,0.0
daxp-XiRiLi-LongFengChengXiang.xml_3,安排虎计害刘王。,9715533.7809537053,0.0
daxp-WoZhuYe-SiLangTanMu.xml_2,众卿随忙挂点亲率官员，,9740314.3647939265,0.0
daxp-FeiShiWo-TaoHuaCun.xml_10,不但要仔细听、还要仔细想，,9746026.1324458756,0.0
daeh-WuDuanQiao-BiYuZan.xml_1,薄命自伤怨红颜。,9768182.5347563028,0.0
daxp-MuQinBu-FengHuanChao.xml_4,人生不知顾脸面，,9780674.6280500069,0.0
daxp-WoZhuYe-SiLangTanMu.xml_5,阅兵书看何人前来何安。,9810824.2785566058,0.0
daxp-LaoDieDie-YuZhouFeng.xml_2,倘若是有道君皇恩浩荡，,9847039.1992726568,0.0
daxp-ZhiJianTa-WangJiangTing.xml_6,低下头心生计，,9870998.7586637214,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_2,家住在罗郡城魁星楼下，,9880606.2563751619,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_2,暗地堪笑我兄长，,9893077.726178281,0.0
daeh-LiYanFei-DaBaoGuo.xml_9,压定了文武臣均要画押。,9897074.1810178589,0.0
daspd-DuShouKong-WangJiangTing.xml_0,独守空帏暗长叹，,9924948.1830068827,0.0
sdxp-SuLongWei-WuJiaPo.xml_31,命人送到（那）西凉川。,9929617.3436471615,0.0
daxp-QiaoLouShang-HuangShanLei.xml_4,到三更真个是月明人静，,9950081.9473027587,0.0
daxp-XiShiNv-XiShi.xml_4,怕只怕损玉颜姣容自惜，,9961042.8286897428,0.0
daxp-FeiShiWo-TaoHuaCun.xml_17,听我的号令上战场。,9963843.6289681867,0.1
daxp-XiRiLi-LongFengChengXiang.xml_0,昔日里梁鸿配孟光，,9964212.4403093178,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_4,这桩事闷得我柔肠百转，,10058424.181999097,0.0
daeh-TanHongYan-HuoXiaoYu.xml_1,美满姻缘付东流。,10079456.079120344,0.0
danbz-KanDaWang-BaWangBieJi.xml_3,猛抬头见碧落月色清明。,10087142.02213479,0.0
daxp-ErTingDe-SuoLinNang.xml_17,满腹骄矜顿雪潇。,10090594.800205311,0.0
daxp-ErTingDe-SuoLinNang.xml_7,不该人前乱解嘲。,10090594.800205311,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_5,那厢流泪这厢啼。,10108697.791598869,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_0,昨日宫中何等宠幸，,10128529.464684924,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_3,乱军中多亏他救我回还。,10136440.794285107,0.0
daeh-LiYanFei-DaBaoGuo.xml_2,太师爷奏一本进贡年下，,10141560.680790624,0.0
sdxp-SuLongWei-WuJiaPo.xml_30,本利算来有多少，,10179894.641026665,0.0
daxp-TingTaYan-ZuoGong.xml_4,我这里走向前再把礼见，,10228159.433465729,0.0
daxp-QiaoLouShang-HuangShanLei.xml_12,数更等交五鼓空房愈冷，,10242004.437495738,0.0
daeh-SunShangXiang-BieHuangGong.xml_2,遭不幸父王爷把驾来晏，,10276439.14007324,0.1
sdxp-DangNianHan-SanJiZhang.xml_10,都是安邦定国臣，,10318614.687126664,0.0
sdxp-SuLongWei-WuJiaPo.xml_27,三人对面（就）说分明。,10324637.892017301,0.0
daxp-DuiLingHua-BiYuZan.xml_1,听她言不由人喜上眉尖。,10346177.818831757,0.0
sdxp-SuLongWei-WuJiaPo.xml_33,家人小厮有万千。,10350214.922464354,0.0
daxp-JiaoZhangSheng-HongNiang.xml_1,我步步行来你步步爬。,10375209.230667861,0.0
daxp-ChunQiuTing-SuoLinNang.xml_10,轿内的人儿弹别调，,10378206.505360628,0.0
daxp-ChunQiuTing-SuoLinNang.xml_5,为何鲛珠化泪抛？,10379146.445393361,0.0
daxp-ErTingDe-SuoLinNang.xml_8,怜贫济困是正道，,10426017.09291137,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_3,我爹爹名姜绍贸易天涯。,10440851.469656346,0.0
daeh-LiYanFei-ErJinGong.xml_2,耳边厢又听得朝靴响亮，,10455020.680011664,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_2,将身儿坐至在草堂等候，,10474584.524601562,0.0
daxp-GuanShiYin-TianNvSanHua.xml_3,白鹦鹉与仙鸟在灵岩神岘上下飞翔；,10500586.993238468,0.0
daxp-ErTingDe-SuoLinNang.xml_19,谁能移动它半分毫。,10506467.647092614,0.0
daeh-LiYanFei-DaBaoGuo.xml_5,候幼主成了龙原业归家。,10512392.22641073,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_3,老薛保好一似浪里舟船。,10515807.595024336,0.0
sdxp-SuLongWei-WuJiaPo.xml_29,府内金银堆如山。,10522183.162168933,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_5,每日里在书房苦读圣贤。,10522207.738302791,0.0
daxp-FeiShiWo-TaoHuaCun.xml_3,关系你患难鸳鸯永宿在池塘。,10534933.323809734,0.0
daxp-QiaoLouShang-HuangShanLei.xml_10,我不免引寒机伴奴坐等，,10620249.422573773,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_4,有生之日责当尽，,10620322.066902842,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_1,公正的老爷细听分明。,10625938.356897732,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_5,寸土怎能够属于他人。,10629557.738220321,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_4,薛倚儿他好比无弓之箭，,10638021.526670057,0.0
daxp-ErTingDe-SuoLinNang.xml_21,她为饥寒我为骄。,10657524.168591177,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_11,两旁的文武臣珠泪如麻，,10661833.58510489,0.0
daeh-WuDuanQiao-BiYuZan.xml_3,落得孤身病恹恹。,10686305.685766334,0.0
daxp-XiRiLi-LongFengChengXiang.xml_1,今朝仙女会襄王。,10708221.643345315,0.0
daxp-ChunQiuTing-SuoLinNang.xml_31,积德才生玉树苗，,10736430.256101254,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_0,那日风波平地起，,10743561.614093192,0.0
daxp-ZhiJianTa-WangJiangTing.xml_8,出二堂深施礼，,10752143.703607617,0.0
