我一剑能挡百万的兵,0,我一剑能挡百万兵。
sdxp-WoHeNi-SiLangTanMu.xml_31,一夜之间你怎能回还。,7145441.1027119607,0.2222222222222222
dldeh-ShouBiPo-ChunQiuPei.xml_2,病恹恹身无力难以挣扎。,7161159.4216325898,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_2,暗地堪笑我兄长，,7165065.7955135172,0.1111111111111111
daxp-LaoDieDie-DaYuShaJia-1.xml_0,老爹爹清晨起前去出前，,7171926.8098463928,0.0
daeh-NuZiYou-TouJunBieYao.xml_1,为薛郎我父女断绝情长。,7213257.7274825452,0.1111111111111111
daeh-WuDuanQiao-BiYuZan.xml_0,无端巧计将人陷，,7213954.2393621067,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_0,蒙君子至殷勤再三问话，,7232872.845330839,0.0
daeh-SunShangXiang-BieHuangGong.xml_3,留下了孙仲谋执掌江南。,7244882.998572126,0.0
daxp-DiTouLi-NvQiJie.xml_5,与我那三郎把信传。,7247396.9628355876,0.1111111111111111
daxp-ErTingDe-SuoLinNang.xml_5,问那厢因何故痛哭无聊？,7256703.3305720929,0.0
daxp-ErTingDe-SuoLinNang.xml_25,莫把姓名你信口哓。,7265827.4340838743,0.0
daxp-ChunQiuTing-SuoLinNang.xml_11,必有隐情在心潮。,7295493.6701450031,0.0
daxp-WoDeNiang-XinAnYi.xml_3,却原来母亲到儿未知情。,7301358.165549228,0.0
daxp-DuiLingHua-BiYuZan.xml_2,果然是成佳偶两心欢恋，,7327550.7540166583,0.0
sdxp-SuLongWei-WuJiaPo.xml_29,府内金银堆如山。,7371799.8146628281,0.0
daeh-LiYanFei-DaBaoGuo.xml_9,压定了文武臣均要画押。,7387341.1158923376,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_3,奴好比花未开风吹雨打，,7396542.2007899201,0.0
daxp-DuiLingHua-BiYuZan.xml_3,也算得人世间美满姻缘。,7419876.4107254799,0.0
daxp-SuSanLi-NvQiJie.xml_5,与我那三郎把信传。,7429368.0301485099,0.1111111111111111
daeh-CanQiQi-WuLongZuo.xml_3,担几肩头晕转体若筛糠。,7431046.8369921632,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_7,贼好比那司马师搅乱中华。,7466634.1635465156,0.0
sdxp-DangNianHan-SanJiZhang.xml_11,淮阴漂母救韩信，,7524598.3579422152,0.0
daxp-ChunQiuTing-SuoLinNang.xml_25,安他半世凤凰巢。,7532710.0161806783,0.0
daxp-ErTingDe-SuoLinNang.xml_23,安她半世凤凰剿。,7532710.0161806783,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_5,最可恨鸨儿叫我接客人。,7558593.8650113111,0.1111111111111111
daxp-ErDeFu-HongNiGuan.xml_5,不想到狠心郎一味猖狂。,7583508.9342654198,0.1111111111111111
daxp-DangRiLi-SuoLinNang.xml_18,还有那夜明珠粒粒成串，,7594475.5818624441,0.0
daxp-WoZhuYe-SiLangTanMu.xml_4,叫番儿忙摆驾银安殿，,7603442.6124754073,0.0
daxp-ErTingDe-SuoLinNang.xml_12,你不该人前逞骄傲，,7609879.7604203988,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_5,莫奈何到荒郊我就来捡芦花。,7654739.4443707764,0.1111111111111111
daeh-WangChunE-SanNiangJiaoZi.xml_1,想起了我老爷好不惨然。,7668912.2634354001,0.1111111111111111
daeh-ZaoBuXing-HeHouMaDian.xml_5,贼好比曹阿瞒半点不差，,7669952.070575146,0.0
daxp-ErTingDe-SuoLinNang.xml_6,梅香说话好颠倒，,7680614.152874019,0.0
daxp-ChunQiuTing-SuoLinNang.xml_8,亦有饥寒悲怀抱，,7700509.8618439725,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_3,但不知何日里再沐圣明。,7717072.3720990391,0.0
daeh-WuDuanQiao-BiYuZan.xml_1,薄命自伤怨红颜。,7726563.1072836537,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_7,不如早死命归西。,7737879.0978032742,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_0,那日风波平地起，,7764804.8930003336,0.0
daeh-NuZiYou-TouJunBieYao.xml_0,奴自幼在闺阁娇生惯养，,7771123.1113289883,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_3,贫穷人得了志比富还强。,7777358.5477548391,0.0
daxp-FeiShiWo-TaoHuaCun.xml_11,是不是有人拍巴掌。,7792483.0794379609,0.0
daxp-ErTingDe-SuoLinNang.xml_4,叫梅香你把那好言相告，,7800811.495894813,0.0
daxp-ChunQiuTing-SuoLinNang.xml_27,莫把姓名你信口晓，,7834664.7545773769,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_11,但愿得杨六郎心如石坚。,7847467.9445663057,0.0
daxp-DangRiLi-SuoLinNang.xml_11,为什么悲切切哭得可怜。,7892721.3959184466,0.0
daeh-CanQiQi-WuLongZuo.xml_1,叹红颜多薄命父母双亡。,7895204.4335345421,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_2,想当年桃花马上威风凛凛，,7895483.9955595238,0.0
daxp-QiaoLouShang-HuangShanLei.xml_9,看娇儿正酣睡恐被风侵。,7915109.0728482334,0.0
daxp-DiTouLi-NvQiJie.xml_7,来生变犬马我当报还。,7926487.5702834083,0.1111111111111111
daxp-ChunQiuTing-SuoLinNang.xml_3,想必是新婚渡鹊桥，,7935351.744654201,0.0
daeh-WuDuanQiao-BiYuZan.xml_5,满腹冤屈向谁言。,7944919.5565584525,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_7,帝王家深宫怨似水流年。,7965892.908773914,0.0
daeh-WuDuanQiao-BiYuZan.xml_7,又怕丑名误流传。,7992130.5183714665,0.0
daxp-QiaoLouShang-HuangShanLei.xml_0,谯楼上二更鼓声声送听，,8009735.6891051792,0.0
daeh-SunShangXiang-BieHuangGong.xml_2,遭不幸父王爷把驾来晏，,8020711.5348616317,0.0
daeh-LiYanFei-ErJinGong.xml_3,想必是徐杨将进了昭阳。,8070274.6138536604,0.0
daeh-LiYanFei-DaBaoGuo.xml_3,各国的众王侯朝贺中华。,8102308.2345004631,0.1111111111111111
daeh-SunShangXiang-BieHuangGong.xml_1,想起了已往事心内痛酸。,8116724.1016942384,0.0
daxp-QiaoLouShang-HuangShanLei.xml_2,对孤灯思远道心神不定，,8119700.7497325754,0.0
daxp-QiaoLouShang-HuangShanLei.xml_11,又思来又想去越不安宁。,8121961.6824895749,0.0
daxp-SuSanLi-NvQiJie.xml_7,来生变犬马我当报还！,8130000.3291558288,0.1111111111111111
daeh-XiaoNuCai-SanNiangJiaoZi.xml_0,小奴才他一言问住我，,8141687.9380049454,0.2222222222222222
daeh-LiYanFei-DaBaoGuo.xml_2,太师爷奏一本进贡年下，,8166611.5717593711,0.1111111111111111
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_1,唤起我破天门状志凌云。,8167701.7643431695,0.1111111111111111
daxp-FeiShiWo-TaoHuaCun.xml_3,关系你患难鸳鸯永宿在池塘。,8227655.1967797745,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_2,将身儿坐至在草堂等候，,8257811.3741361946,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_1,到叫我桂英儿挂在心头；,8355776.5107161254,0.1111111111111111
sdxp-SuLongWei-WuJiaPo.xml_27,三人对面（就）说分明。,8378142.4810346281,0.0
daeh-ZiNaRi-ErJinGong.xml_1,独坐在寒宫院闷闷悠悠。,8406601.5355127547,0.0
daeh-ZiNaRi-ErJinGong.xml_3,太师爷一心心想篡龙楼。,8457372.2893715352,0.1111111111111111
daxp-SuSanLi-NvQiJie.xml_2,未曾开言心内惨，,8467249.1051158272,0.0
daxp-ErTingDe-SuoLinNang.xml_13,不该词费又滔滔。,8497268.8900712151,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_1,贼昏王篡了位谋乱邦家。,8519577.6606882401,0.0
daxp-FeiShiWo-TaoHuaCun.xml_6,鼓打二更准时往，,8535948.0340240374,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_3,老薛保好一似浪里舟船。,8600073.8756772876,0.1111111111111111
daeh-ZiNaRi-ZhuangYuanMei-1.xml_11,但愿得杨六郎心如石坚，,8614623.0064603034,0.0
daeh-TanHongYan-HuoXiaoYu.xml_5,隔着窗儿点滴不休。,8623189.5336352158,0.0
daxp-DangRiLi-SuoLinNang.xml_20,这囊儿虽非是千古罕见，,8629079.1456093341,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_3,反倒说为嫂我拦阻有差，,8639384.6145456657,0.1111111111111111
daeh-CanQiQi-WuLongZuo.xml_0,惨凄凄唤苍天天不应响，,8639946.643066559,0.0
daxp-ChunQiuTing-SuoLinNang.xml_5,为何鲛珠化泪抛？,8653375.8912503086,0.0
sdxp-WoHeNi-SiLangTanMu.xml_33,你也对苍天就表一番。,8689120.2242847364,0.1111111111111111
daxp-DangRiLi-SuoLinNang.xml_1,霎时间日色淡似坠西山。,8720818.6583019774,0.0
sdxp-SuLongWei-WuJiaPo.xml_31,命人送到（那）西凉川。,8728585.8727618884,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_1,倒叫我桂英儿挂在心头。,8750719.2208048441,0.1111111111111111
daxp-DiTouLi-NvQiJie.xml_4,哪一位去往南京转，,8754695.4250780996,0.1111111111111111
daeh-NaRiFeng-YuanXiaoMi.xml_6,我今绝少人生趣，,8820746.3284363691,0.1111111111111111
sdeh-WenSanNiang-SanNiangJiaoZi.xml_6,又谁知平白的闪跌一跤。,8841084.4713963289,0.2222222222222222
daxp-LaoDieDie-SanJiZhang-2.xml_0,老爹爹请息怒容儿细讲，,8846792.4378307462,0.0
daxp-FeiShiWo-TaoHuaCun.xml_13,响两声你就凑近身旁。,8869029.2130240258,0.0
daxp-DangRiLi-SuoLinNang.xml_2,在轿中只觉得天昏地暗。,8901316.6705079973,0.0
daeh-ZuoChunGui-XiShi.xml_0,坐春闺只觉得光明似箭，,8907235.7078088094,0.0
daxp-ErTingDe-SuoLinNang.xml_1,同遇人为什么这样嚎啕。,8923743.0311581101,0.0
daxp-XiShiNv-XiShi.xml_1,难得有开怀事常锁双眉。,8940144.3184677064,0.0
daeh-ZiNaRi-ErJinGong.xml_9,想起了老王爷好不惨伤。,8950500.4050335027,0.0
daeh-ZiNaRi-ErJinGong.xml_10,耳边厢又听得朝靴响亮，,8974186.1366515215,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_2,父休笑薛平贵是花郎模样，,8974423.1470457502,0.0
daeh-LiYanFei-ErJinGong.xml_2,耳边厢又听得朝靴响亮，,8977878.3014734946,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_5,每日里在书房苦读圣贤。,8985605.9948415961,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_4,这桩事闷得我柔肠百转，,8998304.1704072263,0.2222222222222222
daxp-DangRiLi-SuoLinNang.xml_21,换衣食也够她生活几年。,9029486.1492009684,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_2,舅父前来出主意，,9044314.0696701724,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_0,老爹爹清晨起前去出首，,9055675.6371996477,0.0
daeh-SunShangXiang-BieHuangGong.xml_5,又谁知弄假成真反配凤鸾。,9114726.6020391807,0.0
daeh-LiYanFei-DaBaoGuo.xml_5,候幼主成了龙原业归家。,9165353.8261586502,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_3,等候了爹爹回细问根由。,9168532.7845240142,0.0
daxp-ChunQiuTing-SuoLinNang.xml_13,同遇人为什么这样嚎啕？,9181517.3916917779,0.0
daxp-FeiShiWo-TaoHuaCun.xml_17,听我的号令上战场。,9182960.8579347469,0.2222222222222222
daxp-ChunQiuTing-SuoLinNang.xml_16,叫梅香你把那好言相告，,9228875.7017653976,0.0
daeh-SunShangXiang-BieHuangGong.xml_7,阿斗儿行中途被子龙追还。,9237073.1285214871,0.0
daeh-LiYanFei-DaBaoGuo.xml_0,李艳妃设早朝龙书案下，,9253427.4574936032,0.0
daeh-ZuoChunGui-XiShi.xml_2,奴这里心中痛玉颜清减，,9275345.3781356998,0.0
daxp-NiDeFu-FenHeWan.xml_3,不等到日落及早回程。,9279813.6941686738,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_2,春娥女好一此失群孤雁，,9298148.0698036309,0.1111111111111111
daxp-DuiLingHua-BiYuZan.xml_0,对菱花暗地里芳心自转，,9312931.7337123547,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_2,我本是被骗进的富春院，,9316872.5189471766,0.2222222222222222
daxp-WoZhuYe-SiLangTanMu.xml_5,阅兵书看何人前来何安。,9346657.2398277465,0.1111111111111111
daxp-FeiShiWo-TaoHuaCun.xml_16,你把我当做诸葛亮，,9366511.9793701544,0.1111111111111111
daxp-ErTingDe-SuoLinNang.xml_26,这都是神话凭空造，,9370479.2433468364,0.0
daxp-MuQinBu-FengHuanChao.xml_0,母亲不必心太偏，,9389936.9933801666,0.0
daeh-LiYanFei-ErJinGong.xml_0,李艳妃坐昭阳自思自想，,9410306.3708766177,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_9,宋天子主婚姻此事成全。,9425448.2559642326,0.0
daxp-DangRiLi-SuoLinNang.xml_15,囊虽小却能做续命泉源。,9445879.1664880421,0.1111111111111111
daxp-ChunQiuTing-SuoLinNang.xml_28,这都是神话凭空造，,9456640.5071621239,0.0
daxp-NiDeFu-FenHeWan.xml_2,把弓带和鱼镖与儿带定，,9470006.3906061407,0.0
daeh-WuDuanQiao-BiYuZan.xml_3,落得孤身病恹恹。,9483782.3192209229,0.0
daxp-ErDeFu-HongNiGuan.xml_0,儿的父为国家阵前命丧，,9484909.9333335906,0.1111111111111111
daeh-ZiNaRi-ZhuangYuanMei-1.xml_1,行不安坐不宁情态缠绵。,9485574.0604016446,0.0
daxp-TingTaYan-ZuoGong.xml_7,不知者不怪罪你的海量放宽。,9510108.9729432538,0.1111111111111111
daxp-LaoDieDie-YuZhouFeng.xml_2,倘若是有道君皇恩浩荡，,9540241.5152831823,0.0
daeh-SunShangXiang-BieHuangGong.xml_0,孙尚香坐宫院自思自叹，,9563437.2902124189,0.0
daxp-ChunQiuTing-SuoLinNang.xml_14,莫不是夫郎丑难谐女貌？,9582921.773405496,0.0
daeh-WuDuanQiao-BiYuZan.xml_2,独处闺房愁无限，,9585570.948458394,0.0
daxp-ErDeFu-HongNiGuan.xml_7,又恐怕众将官说短论长。,9589181.8650017641,0.0
daxp-ChunQiuTing-SuoLinNang.xml_1,何处悲声破寂寥。,9594365.0044782311,0.0
daxp-DangRiLi-SuoLinNang.xml_9,她泪自弹、声续断、似杜鹃、啼别院、巴峡哀猿动人心弦，好不惨然。,9603043.2684104629,0.0
daeh-ZiNaRi-ErJinGong.xml_0,自那日与徐杨决裂以后，,9615710.8462617565,0.0
daxp-FeiShiWo-TaoHuaCun.xml_5,怎能够粗心大意你再荒唐。,9640691.0875364468,0.1111111111111111
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_1,有谁知一时错被逐宫廷。,9673593.2032433804,0.1111111111111111
daxp-ErTingDe-SuoLinNang.xml_11,难免怀疑在心梢。,9696901.0441777892,0.0
daxp-TingTaYan-ZuoGong.xml_2,原来是杨家将把名姓改换，,9712345.9881707486,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_1,受逼迫去捡柴泪如雨下，,9730306.8072636425,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_4,想亲娘和老父心乱如麻。,9802073.7582888529,0.0
sdxp-SuLongWei-WuJiaPo.xml_43,落得个孝子的名儿在那天下传。,9845292.1557498761,0.1111111111111111
daxp-DangRiLi-SuoLinNang.xml_3,耳听得风声断，雨声喧，雷声乱，乐声阑珊，人声呐喊，都道说是大雨倾天。,9864536.187443085,0.0
daxp-SuSanLi-NvQiJie.xml_6,言说苏三把命断，,9877214.2840216942,0.0
daxp-MuQinBu-FengHuanChao.xml_5,活在世上也枉然。,9894198.67891936,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_0,王春娥坐草堂自思自叹，,9914509.9223115407,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_1,行不安坐不宁情态缠绵。,9964043.9272590335,0.0
daxp-DangRiLi-SuoLinNang.xml_5,隔帘儿我也曾侧目偷观。,9972704.6931677442,0.1111111111111111
daeh-LiYanFei-DaBaoGuo.xml_8,赐你的上方剑朝房问话，,9985738.6550251469,0.2222222222222222
daxp-ErTingDe-SuoLinNang.xml_2,莫不是夫郎丑难谐女貌，,10005557.891240865,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_4,这桩事闷得我柔肠百转，,10009702.15048518,0.2222222222222222
daxp-DangRiLi-SuoLinNang.xml_0,当日里好风光忽觉转变，,10038828.375719775,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_3,乱军中多亏他救我回还。,10047857.496347044,0.1111111111111111
daxp-LaoDieDie-SanJiZhang-1.xml_0,老爹爹请息（呀）怒容儿细讲，,10059456.312738772,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_3,我爹爹名姜绍贸易天涯。,10063291.603045674,0.1111111111111111
sdeh-WenSanNiang-SanNiangJiaoZi.xml_4,背转身来哭嚎啕。,10094925.282291893,0.0
daxp-QiaoLouShang-HuangShanLei.xml_13,果然是晓鸡唱天已黎明。,10140245.529254051,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_2,思想起从前事心中悔恨，,10145000.662755359,0.0
daeh-LiYanFei-ErJinGong.xml_1,想起了朝中事好不惨伤！,10180725.030452186,0.0
daeh-ZiNaRi-ErJinGong.xml_13,我只得怀抱太子两泪汪汪口口声声哭的是先王！,10232143.699887801,0.2222222222222222
daxp-XiShiNv-XiShi.xml_4,怕只怕损玉颜姣容自惜，,10238391.11493141,0.0
daxp-DiTouLi-NvQiJie.xml_6,就说苏三把命断，,10258715.214797605,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_9,宋天子主婚姻此事成全。,10289961.591984147,0.0
daeh-SunShangXiang-BieHuangGong.xml_6,回荆州未三载诓我回转，,10316952.123437718,0.1111111111111111
daxp-QiaoLouShang-HuangShanLei.xml_14,我不免唤琏儿到街前探问，,10321213.78221483,0.1111111111111111
daxp-DangRiLi-SuoLinNang.xml_13,怎奈我在轿中赤手空拳。,10334619.957172012,0.1111111111111111
daxp-ChunQiuTing-SuoLinNang.xml_24,分我一枝珊瑚宝，,10352997.135524197,0.2222222222222222
daxp-ChunQiuTing-SuoLinNang.xml_22,我在不足他正少，,10352997.135524197,0.1111111111111111
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_5,寸土怎能够属于他人。,10359798.951751884,0.1111111111111111
daxp-MengJunZi-ChunQiuPei-1.xml_3,我的父名姜绍贸易天涯。,10369945.119422998,0.2222222222222222
daxp-ChunQiuTing-SuoLinNang.xml_9,也有失意痛哭嚎啕，,10392293.158420537,0.0
daxp-LaoDieDie-YuZhouFeng.xml_5,却为何贪富贵不顾羞惭。,10505148.367618371,0.0
daxp-FeiShiWo-TaoHuaCun.xml_4,已然错请生波浪，,10525491.277984887,0.0
daxp-FeiShiWo-TaoHuaCun.xml_14,倘若是你响她也响，,10525544.204240594,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_1,闭口无言王春娥。,10534696.24809265,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_13,你叔王不让位再去骂他。,10554168.434330318,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_0,陈三两在大堂把话云，,10565699.480980566,0.0
