可算得是一段风流佳话,54,这也算是一段风流佳话，
daspd-DuShouKong-WangJiangTing.xml_2,孀居愁苦泪洗面，,5151163.1416222882,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_2,思想起从前事心中悔恨，,5168307.1854332425,0.0
daspd-DuShouKong-WangJiangTing.xml_1,芳心寂寞有谁怜，,5205588.8073154818,0.0
sdxp-SuLongWei-WuJiaPo.xml_33,家人小厮有万千。,5208827.6589426687,0.0
daxp-ChunQiuTing-SuoLinNang.xml_6,此时却又明白了，,5290555.8048019735,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_0,自那日与六郎姻缘相见，,5353285.6396860853,0.0
sdxp-SuLongWei-WuJiaPo.xml_37,欺奴犹如欺了天。,5379067.4227800928,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_4,身有病还受那继母拷打，,5399786.3095491994,0.0
sdxp-WoHeNi-SiLangTanMu.xml_25,有什么心腹事你只管明言。,5404408.6341104703,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_4,薛倚儿他好比无弓之箭，,5410026.4579241779,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_10,但愿得令公令婆别无意见，,5439672.047264657,0.1
sdxp-SuLongWei-WuJiaPo.xml_35,打板子、上夹棍、丢南牢、坐监禁、管叫你思前容易退后难。,5533082.5471320776,0.0
daxp-ChunQiuTing-SuoLinNang.xml_13,同遇人为什么这样嚎啕？,5579699.9968443187,0.0
sdxp-DangNianHan-SanJiZhang.xml_12,登台拜帅天下闻。,5596712.3713263813,0.0
daxp-DiTouLi-NvQiJie.xml_5,与我那三郎把信传。,5615698.5635154489,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_0,自那日与六郎阵前相见，,5627891.656720493,0.0
sdxp-WoHeNi-SiLangTanMu.xml_24,因何故终日里愁眉不展，,5630653.1601110911,0.0
daxp-DiTouLi-NvQiJie.xml_7,来生变犬马我当报还。,5643052.8230413944,0.0
daxp-NiDeFu-FenHeWan.xml_0,你的父去投军无音信，,5647059.6474915445,0.0
daeh-SunShangXiang-BieHuangGong.xml_0,孙尚香坐宫院自思自叹，,5660806.2011540709,0.0
daeh-LiYanFei-DaBaoGuo.xml_6,写文约我且把玉玺打下，,5667884.6537682135,0.0
sdxp-SuLongWei-WuJiaPo.xml_29,府内金银堆如山。,5687546.8333295397,0.0
daeh-TanHongYan-HuoXiaoYu.xml_0,叹红颜薄命前生就，,5691610.8137827916,0.0
daxp-ChunQiuTing-SuoLinNang.xml_19,满腹骄矜顿雪潇，,5701173.507094699,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_12,但愿得状元媒月老引线，,5720810.3696221914,0.1
daxp-XiRiLiang-LongFengChengXiang.xml_0,昔日梁鸿配孟光，,5766815.0930989441,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_3,敌血飞溅石榴裙。,5828800.7674449971,0.0
daxp-ChunQiuTing-SuoLinNang.xml_23,他为饥寒我为娇。,5844606.4078315739,0.0
daeh-ZiNaRi-ErJinGong.xml_9,想起了老王爷好不惨伤。,5858330.5180378407,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_7,我一剑能挡百万兵。,5877810.5317002628,0.1
daxp-JiaoZhangSheng-HongNiang.xml_4,这也算是一段风流佳话，,5883054.7872252427,0.8
daeh-WuDuanQiao-BiYuZan.xml_6,一心早想寻短见，,5941687.0608823802,0.1
daeh-ZaoBuXing-HeHouMaDian.xml_11,两旁的文武臣珠泪如麻，,6025203.0654150639,0.0
daxp-ErTingDe-SuoLinNang.xml_4,叫梅香你把那好言相告，,6059219.0324466843,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_6,奴似嫦娥离月宫。,6065596.4207488466,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_5,贼好比曹阿瞒半点不差，,6073186.1649293229,0.0
daxp-ErTingDe-SuoLinNang.xml_20,我正不足她正少，,6090097.6702589272,0.0
daxp-QiaoLouShang-HuangShanLei.xml_14,我不免唤琏儿到街前探问，,6107760.410427317,0.0
daeh-SunShangXiang-BieHuangGong.xml_2,遭不幸父王爷把驾来晏，,6118376.0991052464,0.0
daxp-JiaoZhangSheng-HongNiang.xml_2,放大胆忍气吞声休害怕，,6124367.1926768888,0.0
daxp-WoDeNiang-XinAnYi.xml_0,我的娘她忘了女生外姓，,6195558.594571026,0.0
daxp-DiTouLi-NvQiJie.xml_2,未曾开言我心好惨，,6222490.3153015496,0.0
danbz-KanDaWang-BaWangBieJi.xml_3,猛抬头见碧落月色清明。,6225995.0067525897,0.0
daxp-GuanShiYin-TianNvSanHua.xml_3,白鹦鹉与仙鸟在灵岩神岘上下飞翔；,6246319.3166086543,0.0
daeh-ZiNaRi-ErJinGong.xml_4,他那里父女情全然无有，,6247461.3215437261,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_1,死里逃生甚惨凄。,6292657.7027636888,0.0
daxp-ChunQiuTing-SuoLinNang.xml_24,分我一枝珊瑚宝，,6429754.1433266364,0.1
daxp-ChunQiuTing-SuoLinNang.xml_22,我在不足他正少，,6429754.1433266364,0.0
daxp-ChunQiuTing-SuoLinNang.xml_30,麟儿那有神送到，,6432113.5510819694,0.0
daeh-TanHongYan-HuoXiaoYu.xml_4,枕边泪（呀）共（那）阶前雨，,6434223.9011120312,0.0
daxp-ErTingDe-SuoLinNang.xml_1,同遇人为什么这样嚎啕。,6449472.8307941817,0.0
daeh-ZuoChunGui-XiShi.xml_0,坐春闺只觉得光明似箭，,6458656.2781922724,0.1
daxp-ChunQiuTing-SuoLinNang.xml_11,必有隐情在心潮。,6463457.6247872366,0.0
daxp-SuSanLi-NvQiJie.xml_4,哪一位去往南京转，,6469637.1967366124,0.1
daxp-DangRiLi-SuoLinNang.xml_18,还有那夜明珠粒粒成串，,6522783.5625690604,0.0
daeh-ZiNaRi-ErJinGong.xml_12,有一句话儿不好言讲，,6545444.9627010068,0.2
daeh-LiYanFei-DaBaoGuo.xml_3,各国的众王侯朝贺中华。,6565408.175153818,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_12,但愿得状元媒月老引线，,6583602.6523565827,0.1
sdxp-SuLongWei-WuJiaPo.xml_30,本利算来有多少，,6600840.7967580585,0.1
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_5,寸土怎能够属于他人。,6666448.5105100553,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_0,猛听得金鼓响画角声震，,6676763.3623348307,0.1
daeh-LiYanFei-DaBaoGuo.xml_0,李艳妃设早朝龙书案下，,6677242.5205203015,0.0
daxp-TingTaYan-ZuoGong.xml_4,我这里走向前再把礼见，,6683049.8970869835,0.0
daxp-FeiShiWo-TaoHuaCun.xml_2,今夜晚非比那西厢待月、你懂提防、莫轻狂，,6713868.9156434415,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_3,反倒说为嫂我拦阻有差，,6714833.7934590532,0.0
daeh-WuDuanQiao-BiYuZan.xml_0,无端巧计将人陷，,6759644.1925495965,0.0
daeh-NuZiYou-TouJunBieYao.xml_2,但愿得去投军功名有望，,6790124.9689751873,0.1
daxp-DangRiLi-SuoLinNang.xml_1,霎时间日色淡似坠西山。,6790992.754642725,0.0
daeh-NuZiYou-TouJunBieYao.xml_0,奴自幼在闺阁娇生惯养，,6806136.0764131695,0.0
daxp-ChunQiuTing-SuoLinNang.xml_31,积德才生玉树苗，,6807533.7421560856,0.0
sdxp-DangNianHan-SanJiZhang.xml_14,在六国封相人上人。,6812817.4626999302,0.0
daxp-JiaoZhangSheng-HongNiang.xml_3,这件事倒叫我心乱如麻。,6822661.3474262673,0.0
daeh-SunShangXiang-BieHuangGong.xml_4,与周郎定巧计把皇叔来骗，,6852280.00600377,0.0
daxp-GuanShiYin-TianNvSanHua.xml_0,观世音满月面珠开妙相，,6853463.4041027017,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_1,唤起我破天门状志凌云。,6864802.43954904,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_0,老爹爹请息（呀）怒容儿细讲，,6880183.8282332988,0.0
daxp-ChunQiuTing-SuoLinNang.xml_16,叫梅香你把那好言相告，,6903819.3594910474,0.0
daxp-TingTaYan-ZuoGong.xml_2,原来是杨家将把名姓改换，,6932339.7292676689,0.1
daeh-ZiNaRi-ZhuangYuanMei-1.xml_11,但愿得杨六郎心如石坚，,6935174.6006619148,0.1
daeh-ZaoBuXing-HeHouMaDian.xml_6,贼好比秦赵高指鹿为马，,6935559.8294258611,0.0
daeh-WuDuanQiao-BiYuZan.xml_4,今生若被郎轻贱，,6945104.3395361006,0.0
daxp-ErTingDe-SuoLinNang.xml_12,你不该人前逞骄傲，,6984213.9042496393,0.0
sdxp-SuLongWei-WuJiaPo.xml_31,命人送到（那）西凉川。,7012405.0906702597,0.0
daxp-DiTouLi-NvQiJie.xml_3,过往的君子听我言。,7020371.3219868252,0.0
daeh-CanQiQi-WuLongZuo.xml_0,惨凄凄唤苍天天不应响，,7027377.9118263796,0.0
sdxp-WoHeNi-SiLangTanMu.xml_28,有心赠你金鈚箭，,7031752.5595706785,0.0
sdxp-SuLongWei-WuJiaPo.xml_34,将你带到官衙内，,7044349.8464599233,0.0
daxp-TingTaYan-ZuoGong.xml_0,听他言吓得我浑身是汗，,7049286.0168845281,0.2
daeh-XiaoNuCai-SanNiangJiaoZi.xml_4,怒气不息在机房闷坐，,7112205.6265583988,0.0
daeh-LiYanFei-ErJinGong.xml_1,想起了朝中事好不惨伤！,7143105.5282765077,0.0
daxp-FeiShiWo-TaoHuaCun.xml_11,是不是有人拍巴掌。,7146220.3725256082,0.1
daxp-MengJunZi-ChunQiuPei-2.xml_0,蒙君子至诚心再三问话，,7205600.4913570704,0.1
daxp-DangRiLi-SuoLinNang.xml_20,这囊儿虽非是千古罕见，,7219581.5716420161,0.1
daxp-ChunQiuTing-SuoLinNang.xml_25,安他半世凤凰巢。,7224513.2016813532,0.0
daxp-ErTingDe-SuoLinNang.xml_23,安她半世凤凰剿。,7224513.2016813532,0.0
danbz-KanDaWang-BaWangBieJi.xml_1,我这里出帐外且散愁情。,7236104.8741833502,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_0,昨日宫中何等宠幸，,7251874.2071388308,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_5,每日里在书房苦读圣贤。,7259061.3790251147,0.0
danbz-KanDaWang-BaWangBieJi.xml_2,轻移步走向前荒郊站定，,7263024.0372443749,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_2,把一个皇太子逼死殿下，,7267818.2282388695,0.1
daxp-ErTingDe-SuoLinNang.xml_6,梅香说话好颠倒，,7349204.4724696111,0.1
daeh-ZaoBuXing-HeHouMaDian.xml_10,只骂得贼昏王无言对答。,7392339.0499653174,0.1
daxp-LaoDieDie-DaYuShaJia-1.xml_2,将身儿坐至在草堂等候，,7430473.8858317453,0.0
daxp-ChunQiuTing-SuoLinNang.xml_3,想必是新婚渡鹊桥，,7496844.3514299942,0.1
daxp-MengJunZi-ChunQiuPei-2.xml_2,家住在罗郡城魁星楼下，,7498702.9506150978,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_0,王春娥坐草堂自思自叹，,7532387.9351284718,0.0
daeh-LiYanFei-ErJinGong.xml_4,有几句话儿我不好言讲，,7541814.0286308257,0.1
daeh-ZaoBuXing-HeHouMaDian.xml_8,只骂得贼昏王装聋作哑，,7565483.4233497409,0.1
daxp-ErTingDe-SuoLinNang.xml_28,麟儿哪有神送到，,7569314.6296609957,0.0
daxp-XiRiLi-LongFengChengXiang.xml_0,昔日里梁鸿配孟光，,7580758.9653414711,0.0
daxp-DangRiLi-SuoLinNang.xml_0,当日里好风光忽觉转变，,7583018.8002880309,0.1
daeh-ZiNaRi-ZhuangYuanMei-2.xml_4,这桩事闷得我柔肠百转，,7641991.3684575604,0.1
daeh-WuDuanQiao-BiYuZan.xml_2,独处闺房愁无限，,7668195.3910546051,0.0
daxp-ErDeFu-HongNiGuan.xml_5,不想到狠心郎一味猖狂。,7738016.235991166,0.1
dldeh-ShouBiPo-ChunQiuPei.xml_1,受逼迫去捡柴泪如雨下，,7757108.9727416877,0.0
sdxp-DangNianHan-SanJiZhang.xml_16,难道说文官他就不丧身？,7777076.9138156269,0.0
daxp-ChunQiuTing-SuoLinNang.xml_5,为何鲛珠化泪抛？,7777880.1790575245,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_4,贼好比王莽贼称孤道寡，,7782368.2689552121,0.0
daxp-DuiLingHua-BiYuZan.xml_2,果然是成佳偶两心欢恋，,7796820.0413615089,0.2
daxp-GuanShiYin-TianNvSanHua.xml_4,绿柳枝酒甘露三千界上，,7797924.5720911762,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_4,这桩事闷得我柔肠百转，,7818434.9343928965,0.1
dldeh-ShouBiPo-ChunQiuPei.xml_3,奴好比花未开风吹雨打，,7837883.6123592453,0.1
daeh-ZiNaRi-ZhuangYuanMei-2.xml_6,百姓们闺房乐如花美眷，,7840854.2122498937,0.0
daxp-ErTingDe-SuoLinNang.xml_21,她为饥寒我为骄。,7851560.0145991053,0.0
daxp-QiaoLouShang-HuangShanLei.xml_0,谯楼上二更鼓声声送听，,7859074.9940061951,0.0
daxp-XiShiNv-XiShi.xml_0,西施女生长在苎萝村里，,7861661.2094336236,0.0
daeh-TanHongYan-HuoXiaoYu.xml_2,薄幸冤家音信无有，,7876498.9167809105,0.0
daxp-ChunQiuTing-SuoLinNang.xml_10,轿内的人儿弹别调，,7887738.5532071954,0.0
daeh-LiYanFei-DaBaoGuo.xml_9,压定了文武臣均要画押。,7890260.464452331,0.0
daxp-MuQinBu-FengHuanChao.xml_1,女儿言来听根源。,7904677.0975087937,0.0
daxp-ZhiJianTa-WangJiangTing.xml_3,害得儿夫犯焦急；,7935813.6882537678,0.1
daxp-SuSanLi-NvQiJie.xml_7,来生变犬马我当报还！,7950120.784933066,0.0
daxp-ErTingDe-SuoLinNang.xml_17,满腹骄矜顿雪潇。,7956221.3509139055,0.0
daxp-ErTingDe-SuoLinNang.xml_7,不该人前乱解嘲。,7956221.3509139055,0.0
daxp-MuQinBu-FengHuanChao.xml_3,女儿清白最为先。,7959788.615257265,0.0
daeh-SunShangXiang-BieHuangGong.xml_8,恨只恨我兄长把事错办，,8023516.1684127431,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_2,暗地堪笑我兄长，,8025060.9168066569,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_9,宋天子主婚姻此事成全。,8044258.7920941059,0.0
daxp-ErDeFu-HongNiGuan.xml_7,又恐怕众将官说短论长。,8047473.8431042312,0.0
daxp-DangRiLi-SuoLinNang.xml_9,她泪自弹、声续断、似杜鹃、啼别院、巴峡哀猿动人心弦，好不惨然。,8048465.6666173059,0.0
daxp-DuiLingHua-BiYuZan.xml_0,对菱花暗地里芳心自转，,8050656.986623791,0.0
daxp-MuQinBu-FengHuanChao.xml_5,活在世上也枉然。,8057475.628048826,0.0
daxp-FeiShiWo-TaoHuaCun.xml_10,不但要仔细听、还要仔细想，,8063857.1207299149,0.0
daxp-ChunQiuTing-SuoLinNang.xml_29,自把珠玉夸富豪，,8063931.988184806,0.0
daxp-ErDeFu-HongNiGuan.xml_0,儿的父为国家阵前命丧，,8066766.6864149729,0.0
daeh-ZiNaRi-ErJinGong.xml_0,自那日与徐杨决裂以后，,8083150.5012957584,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_3,老薛保你不必苦哀告，,8091382.1410923786,0.0
daxp-JiaoZhangSheng-HongNiang.xml_5,听号令且莫要惊动了她。,8093993.8796331314,0.0
daxp-ErTingDe-SuoLinNang.xml_8,怜贫济困是正道，,8112931.5622021966,0.1
sdxp-DangNianHan-SanJiZhang.xml_21,不能、不能、是万不能！,8119362.9134588856,0.1
daxp-XiShiNv-XiShi.xml_2,只为着守清寒柴门近水，,8128010.2199241119,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_12,搬一把金交椅娘且坐下，,8149366.8599640615,0.1
daeh-LiYanFei-ErJinGong.xml_0,李艳妃坐昭阳自思自想，,8161580.3762970911,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_7,贼好比那司马师搅乱中华。,8170223.5486906758,0.0
daxp-FeiShiWo-TaoHuaCun.xml_5,怎能够粗心大意你再荒唐。,8170472.5709284674,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_6,百姓们闺房乐如花美眷，,8183630.4158820864,0.0
daxp-QiaoLouShang-HuangShanLei.xml_11,又思来又想去越不安宁。,8230515.1216101386,0.0
daeh-LiYanFei-DaBaoGuo.xml_8,赐你的上方剑朝房问话，,8251177.101947898,0.1
daxp-ErDeFu-HongNiGuan.xml_2,奴这里只把那结婚思量，,8267014.9110342842,0.0
daxp-WoZhuYe-SiLangTanMu.xml_2,众卿随忙挂点亲率官员，,8267374.0911419084,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_14,愿天下有情人都成姻眷，,8288353.0531426612,0.0
daxp-XiRiLi-LongFengChengXiang.xml_4,月老本是乔国丈，,8306234.1186191719,0.1
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_6,番王小丑何足论，,8306603.9450943237,0.0
sdxp-WoHeNi-SiLangTanMu.xml_27,你要见高堂母我不阻拦。,8333410.186126248,0.0
daxp-FeiShiWo-TaoHuaCun.xml_16,你把我当做诸葛亮，,8375283.0216832282,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_0,遭不幸老王爷晏了御驾，,8439199.1961475387,0.0
daxp-WoZhuYe-SiLangTanMu.xml_4,叫番儿忙摆驾银安殿，,8458055.0796261858,0.0
daxp-ErTingDe-SuoLinNang.xml_13,不该词费又滔滔。,8479968.3828627449,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_6,我今绝少人生趣，,8491322.1496917251,0.0
daxp-DangRiLi-SuoLinNang.xml_15,囊虽小却能做续命泉源。,8493568.576724086,0.0
daeh-ZiNaRi-ErJinGong.xml_8,李艳妃坐昭阳自思自想，,8523817.8673119731,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_3,等候了爹爹回细问根由。,8537264.836582141,0.0
daxp-FeiShiWo-TaoHuaCun.xml_17,听我的号令上战场。,8544656.5671728086,0.0
daeh-ZiNaRi-ErJinGong.xml_13,我只得怀抱太子两泪汪汪口口声声哭的是先王！,8593660.3318040781,0.2
daxp-WoZhuYe-SiLangTanMu.xml_0,我主爷金沙滩早把命丧，,8611692.6523345578,0.0
daxp-DiTouLi-NvQiJie.xml_1,将身来在大街前。,8633624.1290282588,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_3,这样人得了志比父还强。,8643144.1835879888,0.1
daxp-FeiShiWo-TaoHuaCun.xml_3,关系你患难鸳鸯永宿在池塘。,8660182.6483524628,0.0
daxp-ErTingDe-SuoLinNang.xml_14,休要噪且站了，,8660650.5514091142,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_1,行不安坐不宁情态缠绵。,8680328.4678232651,0.0
daxp-WoHeNi-SangYuanHui.xml_1,谁认你狼心狗肺的人！,8701696.3608233389,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_7,不如早死命归西。,8727539.5753461178,0.0
daxp-FeiShiWo-TaoHuaCun.xml_6,鼓打二更准时往，,8770246.374236146,0.0
danbz-BeiJiuChan-ChunGuiMeng.xml_5,待我来搀扶（哇）你重订鸳盟。,8774413.9886873066,0.0
daxp-ChunQiuTing-SuoLinNang.xml_4,吉日良辰当欢笑，,8801547.1117416807,0.0
daxp-ZhiJianTa-WangJiangTing.xml_8,出二堂深施礼，,8803031.3858967479,0.0
daxp-DiTouLi-NvQiJie.xml_4,哪一位去往南京转，,8803739.8854203913,0.1
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_2,那冰轮离海岛，,8835398.4574000109,0.0
daxp-DuiLingHua-BiYuZan.xml_1,听她言不由人喜上眉尖。,8893265.0363177769,0.0
daxp-FeiShiWo-TaoHuaCun.xml_4,已然错请生波浪，,8912391.3931221124,0.0
daxp-ErTingDe-SuoLinNang.xml_9,哪有个袖手旁观在壁上瞧。,8913964.9134197962,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_3,老薛保好一似浪里舟船。,8923764.2536764201,0.1
sdxp-DangNianHan-SanJiZhang.xml_9,当年韩信与苏秦，,8958469.5144754723,0.0
daxp-ZhiJianTa-WangJiangTing.xml_1,长吁短叹语声低。,8966642.5893364809,0.0
daxp-SuSanLi-NvQiJie.xml_1,将身来在大街前。,8998518.9074561838,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_4,皓月当空，,9013486.3660985678,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_0,陈三两在大堂把话云，,9046607.444948731,0.1
daxp-MengJunZi-ChunQiuPei-1.xml_0,蒙君子至殷勤再三问话，,9047793.5968746375,0.1
daeh-TanHongYan-HuoXiaoYu.xml_3,啼花泣月在暗里（呀）添愁。,9065860.0333443284,0.0
danbz-BeiJiuChan-ChunGuiMeng.xml_2,我不免去安排罗衾绣枕，,9070220.9486861508,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_11,但愿得杨六郎心如石坚。,9089195.4636953976,0.1
daxp-XiRiLi-LongFengChengXiang.xml_5,纵有大事料无妨。,9091882.8425547071,0.0
daeh-LiYanFei-ErJinGong.xml_5,我只得怀抱太子两泪汪汪口口声声哭的是先王。,9139784.9130177852,0.2
daspd-DuShouKong-WangJiangTing.xml_0,独守空帏暗长叹，,9146237.1492333803,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_3,我与母亲两分离。,9186017.0303146783,0.0
daxp-ErTingDe-SuoLinNang.xml_2,莫不是夫郎丑难谐女貌，,9206834.2630075384,0.1
daxp-ZheCaiShi-SuoLinNang.xml_5,善果心花可自豪。,9231433.4901366439,0.1
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_2,我本是被骗进的富春院，,9232674.5720385034,0.1
daxp-JiaoZhangSheng-HongNiang.xml_0,叫张生隐藏在棋盘之下，,9239431.0670322571,0.0
daxp-FeiShiWo-TaoHuaCun.xml_8,你不要高声不要嚷，,9263275.7046211455,0.0
daxp-GuanShiYin-TianNvSanHua.xml_1,有善才和龙女站立两厢；,9269455.1492520254,0.0
danbz-KanDaWang-BaWangBieJi.xml_0,看大王在帐中和衣睡稳，,9276500.7595229838,0.0
daxp-QiaoLouShang-HuangShanLei.xml_13,果然是晓鸡唱天已黎明。,9279323.7050726637,0.1
daxp-QiaoLouShang-HuangShanLei.xml_8,听画鼓报四更愈添凄冷，,9283679.4584055748,0.0
daxp-ErDeFu-HongNiGuan.xml_4,清早起我和他一度商量，,9294083.91560583,0.1
daxp-ZhiJianTa-WangJiangTing.xml_5,隐情不敢实告妻。,9302472.9159551188,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_6,将身儿来至在机房织绢，,9326970.1929868739,0.0
daxp-XiRiLi-LongFengChengXiang.xml_3,安排虎计害刘王。,9343005.0682869796,0.0
daxp-ZhiJianTa-WangJiangTing.xml_6,低下头心生计，,9350552.1236504968,0.0
daxp-ErTingDe-SuoLinNang.xml_27,自把珠玉夸富豪。,9373883.8121753987,0.0
sdxp-WoHeNi-SiLangTanMu.xml_31,一夜之间你怎能回还。,9404984.9377624746,0.1
sdxp-SuLongWei-WuJiaPo.xml_27,三人对面（就）说分明。,9434269.1327430382,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_0,老爹爹清晨起前去出前，,9444041.1932906434,0.0
sdxp-DangNianHan-SanJiZhang.xml_20,爹爹为何你要退婚？,9477756.8264000472,0.0
sdxp-SuLongWei-WuJiaPo.xml_43,落得个孝子的名儿在那天下传。,9529662.5790167861,0.1
daxp-LaoDieDie-SanJiZhang-2.xml_0,老爹爹请息怒容儿细讲，,9546353.6297652572,0.0
daxp-LaoDieDie-YuZhouFeng.xml_4,老爹爹在朝中官高爵显，,9567773.860120384,0.0
daxp-TingTaYan-ZuoGong.xml_6,早晚间休怪我言语怠慢，,9573858.9368686136,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_5,叹一声不由人珠泪如梭。,9618572.896856159,0.1
sdeh-WenSanNiang-SanNiangJiaoZi.xml_6,又谁知平白的闪跌一跤。,9655847.3917988651,0.1
daxp-ZheCaiShi-SuoLinNang.xml_4,柳暗花明休啼笑，,9658364.2653105501,0.0
daxp-ErTingDe-SuoLinNang.xml_11,难免怀疑在心梢。,9690655.092777092,0.0
daxp-ZheCaiShi-SuoLinNang.xml_1,不想团圆在今朝。,9690655.092777092,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_5,最可恨鸨儿叫我接客人。,9690926.4594055433,0.1
daxp-NiDeFu-FenHeWan.xml_1,全仗你打雁养娘亲，,9704045.7039475497,0.0
daxp-FeiShiWo-TaoHuaCun.xml_15,那就是来了我西厢带路的小红娘。,9711768.1527765822,0.1
danbz-BeiJiuChan-ChunGuiMeng.xml_0,被纠缠陡想起婚时情景，,9716761.6340369713,0.0
daxp-ZheCaiShi-SuoLinNang.xml_6,种福得福如此报，,9800363.6807932183,0.1
