敌血飞溅石榴裙,0,敌血飞溅石榴裙。
sdxp-WoHeNi-SiLangTanMu.xml_24,因何故终日里愁眉不展，,4042974.7606319054,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_3,安排巧计害刘王。,4074015.9304045122,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_5,寸土怎能够属于他人。,4104038.0337000261,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_6,番王小丑何足论，,4124412.3814313151,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_3,这样人得了志比父还强。,4203058.6370879458,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_3,贫穷人得了志比富还强。,4239660.1193199735,0.0
daxp-ErDeFu-HongNiGuan.xml_5,不想到狠心郎一味猖狂。,4389736.9711991334,0.0
daxp-TingTaYan-ZuoGong.xml_7,不知者不怪罪你的海量放宽。,4391693.1405417509,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_2,思想起从前事心中悔恨，,4461913.5785109391,0.0
daeh-ZiNaRi-ErJinGong.xml_7,看一看不觉到八月中秋。,4464081.2177706771,0.0
sdxp-WoHeNi-SiLangTanMu.xml_22,讲什么夫妻情恩德不浅，,4505216.0975543382,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_3,但不知何日里再沐圣明。,4507839.4201430855,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_3,奴好比花未开风吹雨打，,4516296.7948834291,0.0
daxp-ErTingDe-SuoLinNang.xml_17,满腹骄矜顿雪潇。,4528452.2283340562,0.0
daxp-ErTingDe-SuoLinNang.xml_7,不该人前乱解嘲。,4528452.2283340562,0.0
daxp-ChunQiuTing-SuoLinNang.xml_33,救她饥渴胜琼瑶。,4574377.1105932193,0.0
daxp-TingTaYan-ZuoGong.xml_1,十五载到今日才吐真言。,4586744.4704556707,0.0
daxp-FeiShiWo-TaoHuaCun.xml_10,不但要仔细听、还要仔细想，,4640777.5521960733,0.0
daxp-XiShiNv-XiShi.xml_0,西施女生长在苎萝村里，,4705112.1112339078,0.0
daxp-DuiLingHua-BiYuZan.xml_1,听她言不由人喜上眉尖。,4713344.4450362893,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_2,暗地堪笑我兄长，,4714981.7139954818,0.0
daxp-LaoDieDie-YuZhouFeng.xml_1,明早朝上金殿面奏吾皇。,4715229.3619236145,0.0
daxp-ErTingDe-SuoLinNang.xml_21,她为饥寒我为骄。,4729559.2376475148,0.0
sdxp-DangNianHan-SanJiZhang.xml_9,当年韩信与苏秦，,4743387.7222109521,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_6,又谁知平白的闪跌一跤。,4743633.5001049405,0.0
sdxp-SuLongWei-WuJiaPo.xml_37,欺奴犹如欺了天。,4751358.6286077704,0.0
daxp-ErTingDe-SuoLinNang.xml_14,休要噪且站了，,4775858.1199035374,0.0
sdxp-SuLongWei-WuJiaPo.xml_33,家人小厮有万千。,4786781.4223191869,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_0,蒙君子至殷勤再三问话，,4786985.3561134748,0.0
daxp-SuSanLi-NvQiJie.xml_7,来生变犬马我当报还！,4800650.7079427755,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_7,不如早死命归西。,4802753.3479645317,0.0
daeh-WuDuanQiao-BiYuZan.xml_7,又怕丑名误流传。,4809761.5960050514,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_1,公正的老爷细听分明。,4813398.5286320327,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_5,每日里在书房苦读圣贤。,4814047.7786535099,0.0
daxp-FeiShiWo-TaoHuaCun.xml_17,听我的号令上战场。,4815926.3581269514,0.0
daxp-ChunQiuTing-SuoLinNang.xml_0,春秋亭外风雨暴，,4831930.0923924251,0.0
daxp-LaoDieDie-YuZhouFeng.xml_3,观此本免了儿一门祸殃。,4831993.4544250527,0.0
sdxp-SuLongWei-WuJiaPo.xml_27,三人对面（就）说分明。,4839561.3223745031,0.0
daeh-LiYanFei-DaBaoGuo.xml_9,压定了文武臣均要画押。,4888160.0925124222,0.0
daxp-TingTaYan-ZuoGong.xml_4,我这里走向前再把礼见，,4898308.3039133037,0.0
daxp-ChunQiuTing-SuoLinNang.xml_12,耳听得悲声惨心中如捣，,4944131.1903735921,0.0
daxp-ErTingDe-SuoLinNang.xml_0,耳听得悲声惨心中如捣，,4964031.8201934425,0.0
daxp-ErTingDe-SuoLinNang.xml_22,分我一枝珊瑚宝，,4987774.8148304336,0.0
sdxp-DangNianHan-SanJiZhang.xml_13,商鞅不中苏季子，,4987774.8148304336,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_11,两旁的文武臣珠泪如麻，,5009948.7587534338,0.0
daxp-ChunQiuTing-SuoLinNang.xml_6,此时却又明白了，,5013999.0704607153,0.0
daxp-DiTouLi-NvQiJie.xml_5,与我那三郎把信传。,5015654.6208093707,0.0
daxp-NiDeFu-FenHeWan.xml_1,全仗你打雁养娘亲，,5031657.3094726363,0.0
daxp-ErTingDe-SuoLinNang.xml_27,自把珠玉夸富豪。,5035090.9319774397,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_2,哭一声亡故夫在阴曹等我，,5088244.6073971149,0.0
daxp-ChunQiuTing-SuoLinNang.xml_10,轿内的人儿弹别调，,5091087.4803220043,0.0
daeh-SunShangXiang-BieHuangGong.xml_2,遭不幸父王爷把驾来晏，,5091279.5979545116,0.0
daxp-ErDeFu-HongNiGuan.xml_4,清早起我和他一度商量，,5109122.3760306416,0.0
daxp-FeiShiWo-TaoHuaCun.xml_2,今夜晚非比那西厢待月、你懂提防、莫轻狂，,5136604.1845269976,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_10,但愿得令公令婆别无意见，,5139191.9203814697,0.0
daxp-DangRiLi-SuoLinNang.xml_3,耳听得风声断，雨声喧，雷声乱，乐声阑珊，人声呐喊，都道说是大雨倾天。,5141480.0543960948,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_1,儿命苦怎配着状元才郎？,5148283.4293632666,0.0
daxp-QiaoLouShang-HuangShanLei.xml_8,听画鼓报四更愈添凄冷，,5162933.2807321865,0.0
daeh-NuZiYou-TouJunBieYao.xml_3,也不枉我二人苦度时光。,5175567.2721552989,0.0
daeh-ZiNaRi-ErJinGong.xml_4,他那里父女情全然无有，,5182698.8302116049,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_2,家住在罗郡城魁星楼下，,5196683.4238656862,0.0
daxp-DangRiLi-SuoLinNang.xml_17,红珊瑚碧翡翠样样倶全。,5257502.9049744913,0.0
daxp-FeiShiWo-TaoHuaCun.xml_4,已然错请生波浪，,5268345.1199790025,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_5,实指望教训他终身有靠，,5284588.6416961616,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_9,只骂得贼昏王扭转身驱、闭目合晴、羞羞惭惭一语不发，,5306891.1126685729,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_8,幸喜得珍珠衫称心如愿，,5309541.9650805807,0.0
daxp-ErTingDe-SuoLinNang.xml_31,救她饥渴胜琼瑶。,5310218.316795514,0.0
daxp-ChunQiuTing-SuoLinNang.xml_30,麟儿那有神送到，,5358661.6027706396,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_0,猛听得金鼓响画角声震，,5377326.2475981098,0.0
sdxp-DangNianHan-SanJiZhang.xml_14,在六国封相人上人。,5381505.9734474635,0.0
sdxp-WoHeNi-SiLangTanMu.xml_33,你也对苍天就表一番。,5419964.1172798136,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_5,贼好比曹阿瞒半点不差，,5421243.3025337672,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_0,昨日宫中何等宠幸，,5431613.6346088937,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_0,昔日梁鸿配孟光，,5436188.0833347356,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_3,反倒说为嫂我拦阻有差，,5436697.0637954036,0.0
daxp-QiaoLouShang-HuangShanLei.xml_0,谯楼上二更鼓声声送听，,5487095.0938125411,0.0
daxp-FeiShiWo-TaoHuaCun.xml_0,非是我嘱咐叮咛把话讲，,5492110.8066719044,0.0
daxp-ErDeFu-HongNiGuan.xml_3,倒不如与伯党匹配鸾凰。,5509437.0716478862,0.0
daxp-QiaoLouShang-HuangShanLei.xml_1,父子们去采药未见回程。,5512888.8695458332,0.0
sdxp-DangNianHan-SanJiZhang.xml_10,都是安邦定国臣，,5521381.8911061483,0.0
daxp-ChunQiuTing-SuoLinNang.xml_5,为何鲛珠化泪抛？,5532473.5040211836,0.0
daxp-DuiLingHua-BiYuZan.xml_2,果然是成佳偶两心欢恋，,5539804.3968404504,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_0,老爹爹清晨起前去出前，,5573313.6642092103,0.0
daeh-ZiNaRi-ErJinGong.xml_2,先王爷晏驾后太子年幼，,5580589.4363192925,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_4,这桩事闷得我柔肠百转，,5582133.9180086367,0.0
daxp-ErDeFu-HongNiGuan.xml_2,奴这里只把那结婚思量，,5609835.5976783093,0.0
daeh-LiYanFei-DaBaoGuo.xml_5,候幼主成了龙原业归家。,5666385.8328467812,0.0
daxp-DiTouLi-NvQiJie.xml_4,哪一位去往南京转，,5668208.2129141046,0.0
daxp-DiTouLi-NvQiJie.xml_7,来生变犬马我当报还。,5676205.1954014534,0.0
daeh-LiYanFei-DaBaoGuo.xml_3,各国的众王侯朝贺中华。,5677452.2219137009,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_1,死里逃生甚惨凄。,5710178.1945406143,0.0
daxp-ErTingDe-SuoLinNang.xml_15,薛良与我去问一遭。,5720678.895751033,0.0
daxp-DangRiLi-SuoLinNang.xml_7,哪有这短花帘，旧花幔，参差流苏，残破不全。,5739594.6047682622,0.0
sdxp-WoHeNi-SiLangTanMu.xml_32,适才叫咱盟誓愿，,5754364.6575852102,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_1,虽然是不相识我就不得不答。,5759930.8732084613,0.0
daxp-ErTingDe-SuoLinNang.xml_5,问那厢因何故痛哭无聊？,5794448.208949809,0.0
daxp-ChunQiuTing-SuoLinNang.xml_11,必有隐情在心潮。,5832374.1349885175,0.0
daxp-ChunQiuTing-SuoLinNang.xml_7,世上何尝尽富豪，,5851692.6584091512,0.0
daxp-DangRiLi-SuoLinNang.xml_11,为什么悲切切哭得可怜。,5852771.4010537518,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_1,到叫我桂英儿挂在心头；,5889026.5162783107,0.0
sdxp-SuLongWei-WuJiaPo.xml_30,本利算来有多少，,5906649.6856523128,0.0
daxp-ChunQiuTing-SuoLinNang.xml_3,想必是新婚渡鹊桥，,5925079.4692783244,0.0
daeh-NuZiYou-TouJunBieYao.xml_1,为薛郎我父女断绝情长。,5955734.8186688842,0.0
daxp-QiaoLouShang-HuangShanLei.xml_11,又思来又想去越不安宁。,5957068.1761582233,0.0
daeh-LiYanFei-DaBaoGuo.xml_2,太师爷奏一本进贡年下，,5973290.0193415396,0.0
daxp-WoZhuYe-SiLangTanMu.xml_4,叫番儿忙摆驾银安殿，,5981901.9663284002,0.0
daeh-ZiNaRi-ErJinGong.xml_11,想必是徐杨进了昭阳。,5990721.5604098001,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_4,这桩事闷得我柔肠百转，,5997644.3549753884,0.0
daxp-WoDeNiang-XinAnYi.xml_3,却原来母亲到儿未知情。,5999805.4645615183,0.0
sdxp-DangNianHan-SanJiZhang.xml_12,登台拜帅天下闻。,6002507.8800925892,0.0
daeh-TanHongYan-HuoXiaoYu.xml_3,啼花泣月在暗里（呀）添愁。,6015690.6169809084,0.0
daxp-ChunQiuTing-SuoLinNang.xml_1,何处悲声破寂寥。,6017777.8613350634,0.0
daeh-LiYanFei-DaBaoGuo.xml_4,将江山让太师权且代贺，,6024703.6035286812,0.0
daxp-ChunQiuTing-SuoLinNang.xml_17,问那厢因何故痛哭无聊。,6026218.9158723289,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_0,遭不幸老王爷晏了御驾，,6063459.2081990521,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_3,等候了爹爹回细问根由。,6086812.8883041646,0.0
sdxp-SuLongWei-WuJiaPo.xml_39,妻儿老小与奴一般。,6089238.8344465438,0.0
daxp-FeiShiWo-TaoHuaCun.xml_8,你不要高声不要嚷，,6111146.7925409013,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_1,倒叫我桂英儿挂在心头。,6125061.2099147383,0.0
daeh-ZuoChunGui-XiShi.xml_2,奴这里心中痛玉颜清减，,6127559.1551356129,0.0
daeh-LiYanFei-DaBaoGuo.xml_1,文站东武列西朝贺哀家。,6135402.7912263013,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_0,老爹爹请息怒容儿细讲，,6137378.0427324986,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_3,等候了你妻子同见阎罗。,6149552.5384148685,0.0
daxp-XiRiLi-LongFengChengXiang.xml_0,昔日里梁鸿配孟光，,6164143.2725340482,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_4,诗书易礼都学会，,6167520.0003218884,0.0
daxp-QiaoLouShang-HuangShanLei.xml_2,对孤灯思远道心神不定，,6171415.29246285,0.0
daxp-ErDeFu-HongNiGuan.xml_0,儿的父为国家阵前命丧，,6176188.0926620755,0.0
daxp-FeiShiWo-TaoHuaCun.xml_1,只怪你呆头呆脑慌慌张张。,6222375.0464835344,0.0
daxp-SuSanLi-NvQiJie.xml_4,哪一位去往南京转，,6231343.3522960842,0.0
daxp-LaoDieDie-YuZhouFeng.xml_4,老爹爹在朝中官高爵显，,6232884.8426244725,0.0
daxp-WoDeNiang-XinAnYi.xml_0,我的娘她忘了女生外姓，,6237235.6706891172,0.0
daeh-CanQiQi-WuLongZuo.xml_2,千金休哪曾受磨房景况，,6258101.1357048368,0.0
daeh-ZuoChunGui-XiShi.xml_0,坐春闺只觉得光明似箭，,6287423.4669282809,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_3,老薛保好一似浪里舟船。,6297686.3875314752,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_11,但愿得杨六郎心如石坚，,6298370.8876563217,0.14285714285714285
daxp-ErTingDe-SuoLinNang.xml_29,积德才生玉树苗。,6304408.4787786053,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_3,我的父名姜绍贸易天涯。,6305556.5625987109,0.0
daeh-LiYanFei-ErJinGong.xml_3,想必是徐杨将进了昭阳。,6312829.6689366158,0.0
daxp-WoZhuYe-SiLangTanMu.xml_2,众卿随忙挂点亲率官员，,6321760.2432713918,0.0
daxp-DangRiLi-SuoLinNang.xml_2,在轿中只觉得天昏地暗。,6338019.9647995122,0.0
daeh-SunShangXiang-BieHuangGong.xml_6,回荆州未三载诓我回转，,6342159.4441839652,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_10,但愿得令公令婆别无异见，,6346937.6241293289,0.0
daxp-FeiShiWo-TaoHuaCun.xml_16,你把我当做诸葛亮，,6385778.2859396497,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_7,我一剑能挡百万兵。,6435033.6669789115,0.0
daxp-LaoDieDie-YuZhouFeng.xml_0,老爹爹发恩德将本修上，,6439308.3136645779,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_9,宋天子主婚姻此事成全。,6446755.0964607093,0.0
daeh-SunShangXiang-BieHuangGong.xml_1,想起了已往事心内痛酸。,6454091.050202515,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_2,将身儿坐至在草堂等候，,6459911.0302867824,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_7,贼好比那司马师搅乱中华。,6487536.6279223217,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_1,想起了我老爷好不惨然。,6509074.825469072,0.0
daxp-DangRiLi-SuoLinNang.xml_9,她泪自弹、声续断、似杜鹃、啼别院、巴峡哀猿动人心弦，好不惨然。,6513821.6578522045,0.0
daeh-ZiNaRi-ErJinGong.xml_9,想起了老王爷好不惨伤。,6527479.4332316415,0.0
daeh-ZiNaRi-ErJinGong.xml_3,太师爷一心心想篡龙楼。,6540774.8348037312,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_3,我爹爹名姜绍贸易天涯。,6572457.8959845258,0.0
daxp-WoZhuYe-SiLangTanMu.xml_5,阅兵书看何人前来何安。,6577065.2110669445,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_0,老爹爹清晨起前去出首，,6581052.9199515134,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_0,老爹爹请息（呀）怒容儿细讲，,6589581.4687655428,0.0
daxp-DangRiLi-SuoLinNang.xml_14,急切里想起了锁麟囊一（呀）件，,6627390.5390516259,0.0
daxp-QiaoLouShang-HuangShanLei.xml_7,原来是秋风起扫叶之声。,6647083.389988983,0.0
daxp-ErTingDe-SuoLinNang.xml_19,谁能移动它半分毫。,6648880.7828858504,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_5,不知道他与我是否一般。,6660141.2640521973,0.0
daxp-MuQinBu-FengHuanChao.xml_4,人生不知顾脸面，,6673280.7217213437,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_4,在家中受不过继母拷打，,6676896.615295249,0.0
daxp-QiaoLouShang-HuangShanLei.xml_5,猛听得窗儿外似有人行。,6691232.3079243302,0.0
daeh-SunShangXiang-BieHuangGong.xml_7,阿斗儿行中途被子龙追还。,6693188.6676690755,0.0
daeh-SunShangXiang-BieHuangGong.xml_5,又谁知弄假成真反配凤鸾。,6703012.6264359178,0.0
daxp-XiShiNv-XiShi.xml_2,只为着守清寒柴门近水，,6720024.3088534018,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_10,只骂得贼昏王无言对答。,6726614.5035579093,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_11,但愿得杨六郎心如石坚。,6743691.9645768432,0.14285714285714285
daxp-ChunQiuTing-SuoLinNang.xml_29,自把珠玉夸富豪，,6756421.269578997,0.0
daxp-ErDeFu-HongNiGuan.xml_1,撇下了奴一人好不悲凉。,6782435.4433024591,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_9,宋天子主婚姻此事成全。,6793909.6373214573,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_12,搬一把金交椅娘且坐下，,6805777.8266254263,0.0
daeh-CanQiQi-WuLongZuo.xml_3,担几肩头晕转体若筛糠。,6812430.1716187773,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_6,百姓们闺房乐如花美眷，,6830733.3620272549,0.0
daxp-DangRiLi-SuoLinNang.xml_10,于归日理应当喜形于面，,6832985.3933099974,0.0
daxp-DuiLingHua-BiYuZan.xml_0,对菱花暗地里芳心自转，,6847246.2810230758,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_4,薛倚儿他好比无弓之箭，,6847649.52103817,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_3,乱军中多亏他救我回还。,6849027.3364890674,0.0
daeh-WuDuanQiao-BiYuZan.xml_2,独处闺房愁无限，,6855988.6992163667,0.0
daeh-ZiNaRi-ErJinGong.xml_13,我只得怀抱太子两泪汪汪口口声声哭的是先王！,6868825.5600100337,0.0
daxp-WoDeNiang-XinAnYi.xml_1,奴年交十九岁还守闺门。,6916988.5841944199,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_1,虽然是男女别不得不答。,6948529.3298220122,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_6,你继母心毒狠将你打骂，,6954763.3709761333,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_5,不知道他与我是否一般。,6990444.0446260609,0.0
daxp-NiDeFu-FenHeWan.xml_2,把弓带和鱼镖与儿带定，,7038345.7834724681,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_8,只骂得贼昏王装聋作哑，,7042632.6020918088,0.0
daxp-ErTingDe-SuoLinNang.xml_11,难免怀疑在心梢。,7042996.9564964287,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_1,我立志不嫁那状元才郎。,7050233.5569476029,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_1,贼昏王篡了位谋乱邦家。,7074776.9519286584,0.0
daeh-LiYanFei-ErJinGong.xml_2,耳边厢又听得朝靴响亮，,7074831.8525265967,0.0
daxp-TingTaYan-ZuoGong.xml_3,他思家乡想骨肉就不能团圆。,7116671.995731405,0.0
sdxp-SuLongWei-WuJiaPo.xml_35,打板子、上夹棍、丢南牢、坐监禁、管叫你思前容易退后难。,7118401.6524512684,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_2,父休笑薛平贵是花郎模样，,7154578.5264511742,0.0
daxp-DangRiLi-SuoLinNang.xml_8,轿中人必定有一腔幽怨，,7183602.2585523874,0.0
sdxp-SuLongWei-WuJiaPo.xml_40,这锭银子奴不要，,7210786.1872472968,0.0
sdxp-SuLongWei-WuJiaPo.xml_32,我进相府对父言，,7210786.1872472968,0.0
daeh-ZiNaRi-ErJinGong.xml_1,独坐在寒宫院闷闷悠悠。,7234952.2448225664,0.0
sdxp-WoHeNi-SiLangTanMu.xml_26,你那里休得要巧言舌辨，,7239064.0375318574,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_2,病恹恹身无力难以挣扎。,7249519.4672443466,0.0
daxp-MuQinBu-FengHuanChao.xml_3,女儿清白最为先。,7250464.25351342,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_0,王春娥坐草堂自思自叹，,7323115.2475206172,0.0
sdxp-SuLongWei-WuJiaPo.xml_43,落得个孝子的名儿在那天下传。,7334829.8037190475,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_0,自那日与六郎姻缘相见，,7342756.4422045937,0.0
sdxp-SuLongWei-WuJiaPo.xml_34,将你带到官衙内，,7346179.0011456273,0.0
daxp-ChunQiuTing-SuoLinNang.xml_21,谁能移动他半分毫。,7356975.0322746495,0.0
daxp-ChunQiuTing-SuoLinNang.xml_9,也有失意痛哭嚎啕，,7385061.1856677243,0.0
daeh-SunShangXiang-BieHuangGong.xml_0,孙尚香坐宫院自思自叹，,7408666.2475952702,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_0,小奴才他一言问住我，,7423628.4575916193,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_1,有谁知一时错被逐宫廷。,7434200.3356723385,0.0
daeh-CanQiQi-WuLongZuo.xml_1,叹红颜多薄命父母双亡。,7434505.4767354056,0.0
daeh-ZiNaRi-ErJinGong.xml_10,耳边厢又听得朝靴响亮，,7451952.5370426802,0.0
daeh-ZuoChunGui-XiShi.xml_1,无限的闲愁恨尽上眉尖。,7469687.180879063,0.0
