种富得富如此报,7,种福得福如此报，
daxp-TingTaYan-ZuoGong.xml_7,不知者不怪罪你的海量放宽。,9273882.8995342124,0.0
daeh-LiYanFei-DaBaoGuo.xml_8,赐你的上方剑朝房问话，,9276160.3873450831,0.0
daxp-ChunQiuTing-SuoLinNang.xml_10,轿内的人儿弹别调，,9276544.2669111118,0.0
daeh-ZiNaRi-ErJinGong.xml_3,太师爷一心心想篡龙楼。,9330313.4346311335,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_1,倒叫我桂英儿挂在心头。,9385600.5748860724,0.0
daxp-ErDeFu-HongNiGuan.xml_7,又恐怕众将官说短论长。,9404369.9559540451,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_6,你继母心毒狠将你打骂，,9492431.6114866901,0.0
daxp-DangRiLi-SuoLinNang.xml_18,还有那夜明珠粒粒成串，,9554430.8682851456,0.0
daxp-QiaoLouShang-HuangShanLei.xml_9,看娇儿正酣睡恐被风侵。,9601202.3073014803,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_3,乱军中多亏他救我回还。,9611638.4602472093,0.0
daxp-NiDeFu-FenHeWan.xml_1,全仗你打雁养娘亲，,9617742.885590665,0.0
daxp-ErTingDe-SuoLinNang.xml_24,忙把梅香低声叫，,9624332.4726695102,0.0
daxp-QiaoLouShang-HuangShanLei.xml_13,果然是晓鸡唱天已黎明。,9625400.600967966,0.0
sdxp-SuLongWei-WuJiaPo.xml_39,妻儿老小与奴一般。,9654562.2023530453,0.0
daxp-ZhiJianTa-WangJiangTing.xml_7,何必独自就暗猜疑。,9663349.6680151448,0.0
daeh-LiYanFei-DaBaoGuo.xml_9,压定了文武臣均要画押。,9672118.5797764044,0.0
daxp-ErTingDe-SuoLinNang.xml_1,同遇人为什么这样嚎啕。,9676218.2765750308,0.0
daxp-MuQinBu-FengHuanChao.xml_1,女儿言来听根源。,9676667.0689216293,0.0
daxp-DangRiLi-SuoLinNang.xml_5,隔帘儿我也曾侧目偷观。,9708654.5073578861,0.0
daxp-ErTingDe-SuoLinNang.xml_4,叫梅香你把那好言相告，,9713581.078436017,0.0
daxp-QiaoLouShang-HuangShanLei.xml_12,数更等交五鼓空房愈冷，,9726755.2958140187,0.0
daxp-ErTingDe-SuoLinNang.xml_14,休要噪且站了，,9768258.4175478276,0.0
daeh-ZiNaRi-ErJinGong.xml_6,徐小姐把守在宫门口，,9768376.8552725352,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_5,莫奈何到荒郊我就来捡芦花。,9794366.7724834885,0.0
daeh-LiYanFei-ErJinGong.xml_0,李艳妃坐昭阳自思自想，,9816552.8843170851,0.0
daxp-NiDeFu-FenHeWan.xml_2,把弓带和鱼镖与儿带定，,9833879.9651189465,0.0
daxp-FeiShiWo-TaoHuaCun.xml_10,不但要仔细听、还要仔细想，,9837776.4234615359,0.0
daxp-ChunQiuTing-SuoLinNang.xml_8,亦有饥寒悲怀抱，,9888958.408221582,0.0
daxp-ChunQiuTing-SuoLinNang.xml_13,同遇人为什么这样嚎啕？,9900409.1200867146,0.0
daeh-ZuoChunGui-XiShi.xml_1,无限的闲愁恨尽上眉尖。,9930985.5812933538,0.0
daxp-DuiLingHua-BiYuZan.xml_3,也算得人世间美满姻缘。,9935245.173943039,0.14285714285714285
daeh-WuDuanQiao-BiYuZan.xml_3,落得孤身病恹恹。,9972346.1300062165,0.14285714285714285
danbz-BeiJiuChan-ChunGuiMeng.xml_4,原来是不耐烦已经睡困，,10012022.69883702,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_7,帝王家深宫院似水流年。,10017981.651769402,0.0
sdxp-SuLongWei-WuJiaPo.xml_26,你我同把相府进，,10028795.345986161,0.0
daxp-ZhiJianTa-WangJiangTing.xml_1,长吁短叹语声低。,10085461.785870211,0.0
daeh-WuDuanQiao-BiYuZan.xml_2,独处闺房愁无限，,10130909.551994735,0.0
daeh-NuZiYou-TouJunBieYao.xml_2,但愿得去投军功名有望，,10131308.737460488,0.14285714285714285
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_3,乾坤分外明，,10179060.209441401,0.0
daxp-GuanShiYin-TianNvSanHua.xml_6,满眼中清妙景灵光万丈，,10192552.301932916,0.0
sdxp-WoHeNi-SiLangTanMu.xml_27,你要见高堂母我不阻拦。,10265622.54814164,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_3,反倒说为嫂我拦阻有差，,10273476.581240039,0.0
daeh-LiYanFei-ErJinGong.xml_2,耳边厢又听得朝靴响亮，,10315756.65668262,0.14285714285714285
daxp-DangRiLi-SuoLinNang.xml_8,轿中人必定有一腔幽怨，,10322663.056217456,0.0
daeh-LiYanFei-DaBaoGuo.xml_2,太师爷奏一本进贡年下，,10324156.035298118,0.0
daxp-ChunQiuTing-SuoLinNang.xml_29,自把珠玉夸富豪，,10367629.776450342,0.2857142857142857
daxp-LaoDieDie-DaYuShaJia-2.xml_3,等候了爹爹回细问根由。,10371909.697482839,0.0
daeh-CanQiQi-WuLongZuo.xml_1,叹红颜多薄命父母双亡。,10408777.264579529,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_1,行不安坐不宁情态缠绵。,10447136.623264227,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_0,老爹爹请息（呀）怒容儿细讲，,10486469.172589144,0.0
daxp-XiRiLi-LongFengChengXiang.xml_5,纵有大事料无妨。,10499410.272749946,0.0
sdxp-WoHeNi-SiLangTanMu.xml_32,适才叫咱盟誓愿，,10515732.565840991,0.0
daeh-LiYanFei-DaBaoGuo.xml_5,候幼主成了龙原业归家。,10572115.778499326,0.0
daeh-LiYanFei-ErJinGong.xml_1,想起了朝中事好不惨伤！,10627223.659279535,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_5,贼好比曹阿瞒半点不差，,10644087.527676763,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_0,那日风波平地起，,10665669.699393509,0.0
daxp-DangRiLi-SuoLinNang.xml_3,耳听得风声断，雨声喧，雷声乱，乐声阑珊，人声呐喊，都道说是大雨倾天。,10666943.99782023,0.14285714285714285
daeh-ZaoBuXing-HeHouMaDian.xml_8,只骂得贼昏王装聋作哑，,10689704.182201164,0.14285714285714285
daxp-DangRiLi-SuoLinNang.xml_6,虽然是古青庐以朴为俭，,10699107.561912781,0.0
daxp-ZhiJianTa-WangJiangTing.xml_9,相公你为何不歇息？,10744949.777979821,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_2,将身儿坐至在草堂等候，,10759383.683408935,0.0
daxp-ErTingDe-SuoLinNang.xml_27,自把珠玉夸富豪。,10787388.003323955,0.2857142857142857
daeh-WuDuanQiao-BiYuZan.xml_5,满腹冤屈向谁言。,10843965.042651871,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_9,只骂得贼昏王扭转身驱、闭目合晴、羞羞惭惭一语不发，,10857623.371779704,0.14285714285714285
daxp-DuiLingHua-BiYuZan.xml_2,果然是成佳偶两心欢恋，,10873915.480779085,0.0
daeh-ZiNaRi-ErJinGong.xml_8,李艳妃坐昭阳自思自想，,10893947.506972907,0.0
daxp-TingTaYan-ZuoGong.xml_2,原来是杨家将把名姓改换，,10909856.640406508,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_3,乱军中多亏他救我回还。,10935693.434936576,0.0
daxp-SuSanLi-NvQiJie.xml_1,将身来在大街前。,10941763.456421852,0.0
daxp-DangRiLi-SuoLinNang.xml_1,霎时间日色淡似坠西山。,10953733.827194443,0.0
daeh-ZiNaRi-ErJinGong.xml_1,独坐在寒宫院闷闷悠悠。,10963291.468312368,0.0
daxp-ChunQiuTing-SuoLinNang.xml_5,为何鲛珠化泪抛？,11007421.698158521,0.0
daxp-FeiShiWo-TaoHuaCun.xml_3,关系你患难鸳鸯永宿在池塘。,11060709.014473889,0.0
daeh-WuDuanQiao-BiYuZan.xml_1,薄命自伤怨红颜。,11070169.675381497,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_2,暗地堪笑我兄长，,11129881.190506622,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_0,老爹爹请息怒容儿细讲，,11130214.404645722,0.0
daeh-CanQiQi-WuLongZuo.xml_2,千金休哪曾受磨房景况，,11158537.771117331,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_2,病恹恹身无力难以挣扎。,11163589.633357555,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_3,老薛保你不必苦哀告，,11216873.334121751,0.0
daeh-TanHongYan-HuoXiaoYu.xml_4,枕边泪（呀）共（那）阶前雨，,11229605.837100137,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_2,将身儿坐至在草堂等候，,11230631.06219277,0.0
daeh-NuZiYou-TouJunBieYao.xml_0,奴自幼在闺阁娇生惯养，,11317039.185417132,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_7,不如早死命归西。,11332354.890975708,0.14285714285714285
daeh-ZaoBuXing-HeHouMaDian.xml_10,只骂得贼昏王无言对答。,11360446.808962515,0.14285714285714285
daxp-DangRiLi-SuoLinNang.xml_15,囊虽小却能做续命泉源。,11370371.502824098,0.0
daxp-GuanShiYin-TianNvSanHua.xml_3,白鹦鹉与仙鸟在灵岩神岘上下飞翔；,11376492.486648973,0.0
daeh-LiYanFei-DaBaoGuo.xml_4,将江山让太师权且代贺，,11399976.029174544,0.0
daxp-SuSanLi-NvQiJie.xml_7,来生变犬马我当报还！,11421144.136345668,0.14285714285714285
daxp-LaoDieDie-DaYuShaJia-1.xml_0,老爹爹清晨起前去出前，,11452121.522592859,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_6,我今绝少人生趣，,11467262.182449918,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_1,到叫我桂英儿挂在心头；,11488000.257480653,0.0
daeh-ZuoChunGui-XiShi.xml_3,夜不眠朝慵起又向谁言。,11521248.829415007,0.0
daxp-ErTingDe-SuoLinNang.xml_9,哪有个袖手旁观在壁上瞧。,11529242.192848431,0.0
daeh-SunShangXiang-BieHuangGong.xml_9,叹一声不由人珠泪涟涟。,11543363.137210654,0.0
daeh-CanQiQi-WuLongZuo.xml_0,惨凄凄唤苍天天不应响，,11564134.803461034,0.0
daxp-FeiShiWo-TaoHuaCun.xml_17,听我的号令上战场。,11567854.836646153,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_7,帝王家深宫怨似水流年。,11610712.109059945,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_6,番王小丑何足论，,11628311.1221334,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_4,皓月当空，,11631419.200332951,0.0
sdxp-DangNianHan-SanJiZhang.xml_20,爹爹为何你要退婚？,11664582.735553557,0.0
sdxp-DangNianHan-SanJiZhang.xml_18,大孝之人也受贫。,11667800.227247484,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_0,陈三两在大堂把话云，,11721688.757914521,0.0
sdxp-DangNianHan-SanJiZhang.xml_14,在六国封相人上人。,11794455.34131901,0.0
daeh-ZuoChunGui-XiShi.xml_0,坐春闺只觉得光明似箭，,11859421.004117964,0.14285714285714285
danbz-BeiJiuChan-ChunGuiMeng.xml_2,我不免去安排罗衾绣枕，,11903142.769284483,0.0
daxp-ChunQiuTing-SuoLinNang.xml_19,满腹骄矜顿雪潇，,11925710.103844738,0.0
danbz-BeiJiuChan-ChunGuiMeng.xml_3,莫负他好春宵一刻千金。,12022553.77790577,0.0
daxp-ZhiJianTa-WangJiangTing.xml_5,隐情不敢实告妻。,12053403.208921736,0.0
danbz-KanDaWang-BaWangBieJi.xml_0,看大王在帐中和衣睡稳，,12078490.256539002,0.0
daxp-DangRiLi-SuoLinNang.xml_9,她泪自弹、声续断、似杜鹃、啼别院、巴峡哀猿动人心弦，好不惨然。,12116370.619578954,0.0
daxp-GuanShiYin-TianNvSanHua.xml_4,绿柳枝酒甘露三千界上，,12135755.544752674,0.0
daxp-ErTingDe-SuoLinNang.xml_6,梅香说话好颠倒，,12174561.536072718,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_11,但愿得杨六郎心如石坚，,12176464.021587837,0.2857142857142857
daeh-ZiNaRi-ErJinGong.xml_10,耳边厢又听得朝靴响亮，,12214872.8408166,0.14285714285714285
daxp-LaoDieDie-SanJiZhang-2.xml_3,这样人得了志比父还强。,12230612.373554574,0.14285714285714285
daxp-WoZhuYe-SiLangTanMu.xml_0,我主爷金沙滩早把命丧，,12241866.935878215,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_6,又谁知平白的闪跌一跤。,12248308.247782018,0.0
daxp-ErDeFu-HongNiGuan.xml_0,儿的父为国家阵前命丧，,12251019.726022262,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_13,但愿得八主贤王从中周旋，早成姻眷，扫狼烟，叫那胡儿不敢进犯保叔王锦绣江山。,12261390.969676165,0.14285714285714285
