善果心花可自豪,0,善果心花可自豪。
daxp-MuQinBu-FengHuanChao.xml_0,母亲不必心太偏，,4240965.2029000688,0.14285714285714285
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_4,有生之日责当尽，,4242421.3885678165,0.0
daxp-GuanShiYin-TianNvSanHua.xml_5,好似我散天花就纷落十方；,4267622.8572574789,0.14285714285714285
daxp-FeiShiWo-TaoHuaCun.xml_8,你不要高声不要嚷，,4279794.4818136413,0.0
daxp-MuQinBu-FengHuanChao.xml_2,自古常言道得好，,4305514.3421836235,0.14285714285714285
daeh-NuZiYou-TouJunBieYao.xml_2,但愿得去投军功名有望，,4344922.5132205226,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_5,不知道他与我是否一般。,4365079.7985808607,0.0
daxp-FeiShiWo-TaoHuaCun.xml_9,你必须眼观六路耳听八方。,4416059.052968476,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_4,皓月当空，,4484895.3945954461,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_2,舅父前来出主意，,4489243.4788676631,0.0
daxp-DangRiLi-SuoLinNang.xml_20,这囊儿虽非是千古罕见，,4537963.5235926751,0.0
daxp-ChunQiuTing-SuoLinNang.xml_19,满腹骄矜顿雪潇，,4559959.8560750149,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_0,陈三两在大堂把话云，,4581489.8066607062,0.0
daxp-ChunQiuTing-SuoLinNang.xml_7,世上何尝尽富豪，,4640167.8314694725,0.14285714285714285
daxp-ChunQiuTing-SuoLinNang.xml_32,小小囊儿何足道，,4666108.956347581,0.0
sdxp-DangNianHan-SanJiZhang.xml_11,淮阴漂母救韩信，,4696685.1019082647,0.0
daxp-ChunQiuTing-SuoLinNang.xml_13,同遇人为什么这样嚎啕？,4719118.3696917351,0.0
daxp-ErTingDe-SuoLinNang.xml_6,梅香说话好颠倒，,4738563.1081828745,0.0
sdxp-DangNianHan-SanJiZhang.xml_12,登台拜帅天下闻。,4741249.8040823424,0.0
daxp-SuSanLi-NvQiJie.xml_2,未曾开言心内惨，,4754194.4180869041,0.14285714285714285
daxp-DangRiLi-SuoLinNang.xml_21,换衣食也够她生活几年。,4762993.0269175563,0.0
daxp-TingTaYan-ZuoGong.xml_2,原来是杨家将把名姓改换，,4864695.5704064369,0.0
daxp-LaoDieDie-YuZhouFeng.xml_4,老爹爹在朝中官高爵显，,4887451.5903376266,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_2,将身儿坐至在草堂等候，,4900552.7193916813,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_7,等候了薛倚儿转回家园。,4900674.3465193687,0.0
sdxp-SuLongWei-WuJiaPo.xml_37,欺奴犹如欺了天。,4909388.7780049099,0.0
daxp-DangRiLi-SuoLinNang.xml_8,轿中人必定有一腔幽怨，,4912434.4191436488,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_3,乾坤分外明，,4919809.3490487766,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_5,不知道他与我是否一般。,4959817.6309909411,0.0
danbz-KanDaWang-BaWangBieJi.xml_0,看大王在帐中和衣睡稳，,4986324.5994890649,0.0
daxp-ChunQiuTing-SuoLinNang.xml_17,问那厢因何故痛哭无聊。,5028022.6549523342,0.0
daxp-DiTouLi-NvQiJie.xml_3,过往的君子听我言。,5049244.8631536849,0.0
daxp-ErTingDe-SuoLinNang.xml_13,不该词费又滔滔。,5067906.7138366876,0.0
daxp-ErTingDe-SuoLinNang.xml_30,小小囊儿何足道，,5075311.3722538631,0.0
sdxp-DangNianHan-SanJiZhang.xml_10,都是安邦定国臣，,5103739.18011308,0.0
daxp-FeiShiWo-TaoHuaCun.xml_13,响两声你就凑近身旁。,5113853.3073350992,0.0
daxp-LaoDieDie-YuZhouFeng.xml_0,老爹爹发恩德将本修上，,5145028.6139216684,0.0
daxp-XiRiLi-LongFengChengXiang.xml_2,暗地堪笑奴兄长，,5167507.5793919554,0.0
daxp-ErTingDe-SuoLinNang.xml_4,叫梅香你把那好言相告，,5183875.2223725365,0.0
daxp-ErTingDe-SuoLinNang.xml_11,难免怀疑在心梢。,5222121.047502825,0.14285714285714285
daxp-ZheCaiShi-SuoLinNang.xml_1,不想团圆在今朝。,5222121.047502825,0.0
daxp-ChunQiuTing-SuoLinNang.xml_11,必有隐情在心潮。,5259980.6838601753,0.14285714285714285
daxp-DangRiLi-SuoLinNang.xml_17,红珊瑚碧翡翠样样倶全。,5270249.7552602673,0.0
danbz-BeiJiuChan-ChunGuiMeng.xml_0,被纠缠陡想起婚时情景，,5317011.0823335778,0.0
daxp-ZheCaiShi-SuoLinNang.xml_7,愧我当初赠木桃。,5322371.6316573061,0.0
daxp-ZheCaiShi-SuoLinNang.xml_2,回首繁华如梦渺，,5364160.2311131041,0.0
daxp-ZhiJianTa-WangJiangTing.xml_7,何必独自就暗猜疑。,5468983.651240563,0.14285714285714285
daxp-QiaoLouShang-HuangShanLei.xml_11,又思来又想去越不安宁。,5469445.8027853994,0.0
daxp-DangRiLi-SuoLinNang.xml_2,在轿中只觉得天昏地暗。,5598218.149900456,0.0
daxp-JiaoZhangSheng-HongNiang.xml_4,这也算是一段风流佳话，,5642899.3798758555,0.0
daxp-SuSanLi-NvQiJie.xml_6,言说苏三把命断，,5645276.2778566349,0.0
sdxp-WoHeNi-SiLangTanMu.xml_31,一夜之间你怎能回还。,5653413.7600471824,0.0
daxp-FeiShiWo-TaoHuaCun.xml_15,那就是来了我西厢带路的小红娘。,5656183.107485475,0.0
daeh-SunShangXiang-BieHuangGong.xml_3,留下了孙仲谋执掌江南。,5658071.2388682477,0.0
daeh-NuZiYou-TouJunBieYao.xml_3,也不枉我二人苦度时光。,5696790.8952905247,0.0
daxp-ChunQiuTing-SuoLinNang.xml_23,他为饥寒我为娇。,5716797.0097891139,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_0,那日风波平地起，,5720315.5238191849,0.0
daeh-ZuoChunGui-XiShi.xml_1,无限的闲愁恨尽上眉尖。,5727788.5713856742,0.0
sdxp-WoHeNi-SiLangTanMu.xml_29,怕你一去就不回还。,5782145.4560238076,0.0
daxp-ErTingDe-SuoLinNang.xml_29,积德才生玉树苗。,5795146.7273686025,0.0
sdxp-DangNianHan-SanJiZhang.xml_16,难道说文官他就不丧身？,5808344.6789787076,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_7,帝王家深宫院似水流年。,5808392.7163725132,0.0
daxp-WoZhuYe-SiLangTanMu.xml_4,叫番儿忙摆驾银安殿，,5834629.4236874087,0.0
daeh-LiYanFei-DaBaoGuo.xml_6,写文约我且把玉玺打下，,5835600.5447188038,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_0,小奴才他一言问住我，,5854740.7543952167,0.0
danbz-BeiJiuChan-ChunGuiMeng.xml_3,莫负他好春宵一刻千金。,5866611.4121964118,0.0
daxp-QiaoLouShang-HuangShanLei.xml_12,数更等交五鼓空房愈冷，,5871035.6627584649,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_2,暗地堪笑我兄长，,5912004.3139613802,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_2,想当年桃花马上威风凛凛，,5945058.2010545004,0.14285714285714285
daxp-ErDeFu-HongNiGuan.xml_5,不想到狠心郎一味猖狂。,5964722.8644126887,0.14285714285714285
daxp-QiaoLouShang-HuangShanLei.xml_15,你爹爹到如今未转家门。,6009287.4251324199,0.0
daeh-ZiNaRi-ErJinGong.xml_10,耳边厢又听得朝靴响亮，,6057575.9181512902,0.0
sdxp-SuLongWei-WuJiaPo.xml_33,家人小厮有万千。,6062220.8902069023,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_6,我今绝少人生趣，,6081332.1789767332,0.0
daeh-ZiNaRi-ErJinGong.xml_13,我只得怀抱太子两泪汪汪口口声声哭的是先王！,6088679.88089801,0.0
sdxp-DangNianHan-SanJiZhang.xml_18,大孝之人也受贫。,6139848.8470379366,0.0
daeh-LiYanFei-ErJinGong.xml_0,李艳妃坐昭阳自思自想，,6147055.1264278674,0.14285714285714285
daeh-LiYanFei-DaBaoGuo.xml_8,赐你的上方剑朝房问话，,6218818.710879107,0.0
daxp-DangRiLi-SuoLinNang.xml_19,还有那赤金链，紫瑛簪，白玉环，双凤錾，八宝钗钏一个个宝孕光含。,6219611.0234159445,0.0
daxp-ChunQiuTing-SuoLinNang.xml_16,叫梅香你把那好言相告，,6220311.4347885391,0.0
daxp-DiTouLi-NvQiJie.xml_6,就说苏三把命断，,6223893.6090400666,0.0
daxp-DuiLingHua-BiYuZan.xml_2,果然是成佳偶两心欢恋，,6228677.0188920014,0.2857142857142857
danbz-KanDaWang-BaWangBieJi.xml_1,我这里出帐外且散愁情。,6401244.2568542967,0.0
daxp-LaoDieDie-YuZhouFeng.xml_2,倘若是有道君皇恩浩荡，,6409128.644338551,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_0,蒙君子至殷勤再三问话，,6426823.6552272746,0.0
daxp-DiTouLi-NvQiJie.xml_7,来生变犬马我当报还。,6426883.9029530669,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_11,两旁的文武臣珠泪如麻，,6490559.0723608444,0.0
daeh-NuZiYou-TouJunBieYao.xml_0,奴自幼在闺阁娇生惯养，,6490568.3116274271,0.14285714285714285
daeh-ZuoChunGui-XiShi.xml_3,夜不眠朝慵起又向谁言。,6510507.5571402367,0.0
daeh-ZiNaRi-ErJinGong.xml_7,看一看不觉到八月中秋。,6526420.7501660539,0.0
daxp-GuanShiYin-TianNvSanHua.xml_4,绿柳枝酒甘露三千界上，,6530734.4851901969,0.0
daxp-SuSanLi-NvQiJie.xml_3,过往的君子听我言。,6543332.0432912614,0.0
daxp-QiaoLouShang-HuangShanLei.xml_2,对孤灯思远道心神不定，,6548581.8884687154,0.14285714285714285
daxp-ChunQiuTing-SuoLinNang.xml_31,积德才生玉树苗，,6553842.5296229059,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_0,海岛冰轮初转腾；,6569657.7527930336,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_0,老爹爹清晨起前去出首，,6579133.9918523617,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_6,将身儿来至在机房织绢，,6593902.3247197103,0.0
daeh-LiYanFei-DaBaoGuo.xml_9,压定了文武臣均要画押。,6643473.0636759298,0.0
daxp-ChunQiuTing-SuoLinNang.xml_8,亦有饥寒悲怀抱，,6644860.3724074904,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_3,等候了爹爹回细问根由。,6662494.782895498,0.0
daxp-ZhiJianTa-WangJiangTing.xml_9,相公你为何不歇息？,6677878.6380940555,0.0
daxp-QiaoLouShang-HuangShanLei.xml_0,谯楼上二更鼓声声送听，,6680456.9228628138,0.0
daxp-QiaoLouShang-HuangShanLei.xml_14,我不免唤琏儿到街前探问，,6704128.8705260307,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_3,奴好比花未开风吹雨打，,6717275.202547146,0.14285714285714285
daeh-ZiNaRi-ErJinGong.xml_9,想起了老王爷好不惨伤。,6760326.9845883716,0.0
daeh-WuDuanQiao-BiYuZan.xml_6,一心早想寻短见，,6786620.3885903684,0.14285714285714285
daxp-SuSanLi-NvQiJie.xml_7,来生变犬马我当报还！,6809236.2024366455,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_2,将身儿坐至在草堂等候，,6814936.2360642534,0.0
daeh-WuDuanQiao-BiYuZan.xml_0,无端巧计将人陷，,6824403.1997024892,0.0
daxp-DiTouLi-NvQiJie.xml_5,与我那三郎把信传。,6832141.5866178172,0.0
sdxp-SuLongWei-WuJiaPo.xml_31,命人送到（那）西凉川。,6870491.0389827322,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_5,那厢流泪这厢啼。,6897657.396643254,0.0
daxp-FeiShiWo-TaoHuaCun.xml_16,你把我当做诸葛亮，,6908070.7480513677,0.0
daeh-LiYanFei-ErJinGong.xml_1,想起了朝中事好不惨伤！,6925648.5872244276,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_2,我本是被骗进的富春院，,6930379.6807273729,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_2,父休笑薛平贵是花郎模样，,6943861.7407142241,0.14285714285714285
daeh-LiYanFei-DaBaoGuo.xml_1,文站东武列西朝贺哀家。,6945641.6056587854,0.0
daxp-ChunQiuTing-SuoLinNang.xml_10,轿内的人儿弹别调，,6953511.6536606476,0.0
daxp-ChunQiuTing-SuoLinNang.xml_4,吉日良辰当欢笑，,6962403.2456731386,0.0
daxp-WoZhuYe-SiLangTanMu.xml_2,众卿随忙挂点亲率官员，,6967986.9906376274,0.0
daeh-LiYanFei-ErJinGong.xml_5,我只得怀抱太子两泪汪汪口口声声哭的是先王。,6990197.2711624578,0.0
daeh-ZiNaRi-ErJinGong.xml_3,太师爷一心心想篡龙楼。,7030686.7161123995,0.14285714285714285
daeh-ZiNaRi-ErJinGong.xml_8,李艳妃坐昭阳自思自想，,7032395.8918742668,0.14285714285714285
daeh-WuDuanQiao-BiYuZan.xml_5,满腹冤屈向谁言。,7086909.0844483292,0.0
daeh-ZuoChunGui-XiShi.xml_0,坐春闺只觉得光明似箭，,7091072.3144137282,0.0
daxp-QiaoLouShang-HuangShanLei.xml_4,到三更真个是月明人静，,7105962.1688166214,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_5,莫奈何到荒郊我就来捡芦花。,7119065.5304481518,0.14285714285714285
daxp-LaoDieDie-DaYuShaJia-1.xml_0,老爹爹清晨起前去出前，,7126650.9332851283,0.0
daeh-SunShangXiang-BieHuangGong.xml_2,遭不幸父王爷把驾来晏，,7148412.2884806115,0.0
daeh-CanQiQi-WuLongZuo.xml_0,惨凄凄唤苍天天不应响，,7149891.7402469944,0.0
daxp-JiaoZhangSheng-HongNiang.xml_2,放大胆忍气吞声休害怕，,7166314.6308851745,0.0
daxp-ChunQiuTing-SuoLinNang.xml_25,安他半世凤凰巢。,7194299.1415246734,0.0
daxp-ErTingDe-SuoLinNang.xml_23,安她半世凤凰剿。,7194299.1415246734,0.0
daxp-LaoDieDie-YuZhouFeng.xml_5,却为何贪富贵不顾羞惭。,7209043.9214015668,0.0
daeh-TanHongYan-HuoXiaoYu.xml_4,枕边泪（呀）共（那）阶前雨，,7235631.3276146129,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_7,贼好比那司马师搅乱中华。,7245054.5902963625,0.0
daeh-LiYanFei-ErJinGong.xml_2,耳边厢又听得朝靴响亮，,7248821.9750023959,0.0
daxp-ChunQiuTing-SuoLinNang.xml_33,救她饥渴胜琼瑶。,7266971.0596220726,0.0
daeh-LiYanFei-DaBaoGuo.xml_2,太师爷奏一本进贡年下，,7288931.4963255692,0.0
daeh-SunShangXiang-BieHuangGong.xml_7,阿斗儿行中途被子龙追还。,7300385.0793469399,0.0
daeh-WuDuanQiao-BiYuZan.xml_2,独处闺房愁无限，,7301409.7506791707,0.0
daxp-FeiShiWo-TaoHuaCun.xml_11,是不是有人拍巴掌。,7329862.4801500728,0.0
daxp-ErTingDe-SuoLinNang.xml_31,救她饥渴胜琼瑶。,7346248.1212828625,0.0
daxp-ErTingDe-SuoLinNang.xml_9,哪有个袖手旁观在壁上瞧。,7355523.2275150334,0.0
daeh-TanHongYan-HuoXiaoYu.xml_0,叹红颜薄命前生就，,7355528.7874517869,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_9,只骂得贼昏王扭转身驱、闭目合晴、羞羞惭惭一语不发，,7375228.9598072842,0.0
daspd-DuShouKong-WangJiangTing.xml_3,为避狂徒到此间。,7379419.4613383468,0.0
daxp-DiTouLi-NvQiJie.xml_4,哪一位去往南京转，,7423300.5097563239,0.0
daeh-SunShangXiang-BieHuangGong.xml_1,想起了已往事心内痛酸。,7435821.7324953917,0.14285714285714285
daeh-SunShangXiang-BieHuangGong.xml_6,回荆州未三载诓我回转，,7436900.3320230693,0.0
daeh-TanHongYan-HuoXiaoYu.xml_2,薄幸冤家音信无有，,7540623.8314661207,0.0
daxp-ErTingDe-SuoLinNang.xml_5,问那厢因何故痛哭无聊？,7543192.9286524188,0.0
daeh-WuDuanQiao-BiYuZan.xml_3,落得孤身病恹恹。,7550317.6890954655,0.0
daxp-NiDeFu-FenHeWan.xml_1,全仗你打雁养娘亲，,7572993.9068919728,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_5,最可恨鸨儿叫我接客人。,7586637.4961316176,0.14285714285714285
daxp-XiRiLi-LongFengChengXiang.xml_5,纵有大事料无妨。,7591987.4820219707,0.0
daxp-DuiLingHua-BiYuZan.xml_0,对菱花暗地里芳心自转，,7596350.2589877108,0.42857142857142855
daeh-WuDuanQiao-BiYuZan.xml_1,薄命自伤怨红颜。,7599668.8531704843,0.14285714285714285
daxp-FeiShiWo-TaoHuaCun.xml_3,关系你患难鸳鸯永宿在池塘。,7616638.2000204241,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_4,怒气不息在机房闷坐，,7626937.7573227054,0.0
daxp-GuanShiYin-TianNvSanHua.xml_6,满眼中清妙景灵光万丈，,7633895.7969021527,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_3,乱军中多亏他救我回还。,7655419.8706644019,0.0
daxp-WoDeNiang-XinAnYi.xml_3,却原来母亲到儿未知情。,7656790.0725380639,0.0
daeh-CanQiQi-WuLongZuo.xml_1,叹红颜多薄命父母双亡。,7688256.787712113,0.0
daspd-DuShouKong-WangJiangTing.xml_0,独守空帏暗长叹，,7701735.7597719375,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_5,叹一声不由人珠泪如梭。,7705365.7594339149,0.0
daeh-LiYanFei-DaBaoGuo.xml_0,李艳妃设早朝龙书案下，,7708168.0172199849,0.0
daxp-SuSanLi-NvQiJie.xml_5,与我那三郎把信传。,7737372.4016513461,0.0
daeh-ZiNaRi-ErJinGong.xml_1,独坐在寒宫院闷闷悠悠。,7774229.7976131663,0.0
daeh-WuDuanQiao-BiYuZan.xml_7,又怕丑名误流传。,7779770.4269107999,0.0
daeh-NuZiYou-TouJunBieYao.xml_1,为薛郎我父女断绝情长。,7782525.4258727385,0.0
daxp-DangRiLi-SuoLinNang.xml_1,霎时间日色淡似坠西山。,7794071.329308941,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_5,贼好比曹阿瞒半点不差，,7814491.2279514782,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_1,贼昏王篡了位谋乱邦家。,7848962.5590282409,0.0
daxp-QiaoLouShang-HuangShanLei.xml_5,猛听得窗儿外似有人行。,7856404.6307967035,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_0,昨日宫中何等宠幸，,7859557.9953829385,0.0
daxp-XiRiLi-LongFengChengXiang.xml_4,月老本是乔国丈，,7865271.5629776288,0.0
daxp-DangRiLi-SuoLinNang.xml_11,为什么悲切切哭得可怜。,7871838.6529604336,0.14285714285714285
daeh-WangChunE-SanNiangJiaoZi.xml_0,王春娥坐草堂自思自叹，,7894706.5506240875,0.14285714285714285
daeh-ZiNaRi-ZhuangYuanMei-1.xml_9,宋天子主婚姻此事成全。,7904289.4370410517,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_7,帝王家深宫怨似水流年。,7954358.2747626668,0.0
sdxp-SuLongWei-WuJiaPo.xml_27,三人对面（就）说分明。,7975874.4006523471,0.0
daeh-CanQiQi-WuLongZuo.xml_3,担几肩头晕转体若筛糠。,7988635.2834309125,0.0
daxp-WoHeNi-SangYuanHui.xml_1,谁认你狼心狗肺的人！,8041021.5277011227,0.14285714285714285
daxp-LaoDieDie-SanJiZhang-2.xml_3,这样人得了志比父还强。,8061879.0964435628,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_13,你叔王不让位再去骂他。,8067945.9864168121,0.0
daeh-TanHongYan-HuoXiaoYu.xml_5,隔着窗儿点滴不休。,8074156.8122751312,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_13,但愿得八主贤王从中周旋，早成姻眷，扫狼烟，叫那胡儿不敢进犯保叔王锦绣江山。,8075935.6434375104,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_0,老爹爹请息（呀）怒容儿细讲，,8094813.2127258135,0.0
daeh-LiYanFei-DaBaoGuo.xml_3,各国的众王侯朝贺中华。,8098082.4976531984,0.0
daxp-XiShiNv-XiShi.xml_1,难得有开怀事常锁双眉。,8120501.6337171271,0.0
daxp-FeiShiWo-TaoHuaCun.xml_17,听我的号令上战场。,8128574.7651113644,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_1,想起了我老爷好不惨然。,8156361.5177270817,0.0
daeh-LiYanFei-DaBaoGuo.xml_5,候幼主成了龙原业归家。,8158473.2427872391,0.0
daeh-SunShangXiang-BieHuangGong.xml_0,孙尚香坐宫院自思自叹，,8172499.9501689123,0.14285714285714285
daxp-ErDeFu-HongNiGuan.xml_7,又恐怕众将官说短论长。,8182878.305558024,0.0
daxp-TingTaYan-ZuoGong.xml_7,不知者不怪罪你的海量放宽。,8187456.659859064,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_4,这桩事闷得我柔肠百转，,8207988.8485812498,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_1,受逼迫去捡柴泪如雨下，,8221334.4997245297,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_11,但愿得杨六郎心如石坚，,8250061.6055040741,0.14285714285714285
daeh-WangChunE-SanNiangJiaoZi.xml_2,春娥女好一此失群孤雁，,8274804.2634035628,0.0
daxp-QiaoLouShang-HuangShanLei.xml_9,看娇儿正酣睡恐被风侵。,8280499.3875390515,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_3,反倒说为嫂我拦阻有差，,8330577.0098461127,0.0
daeh-ZiNaRi-ErJinGong.xml_11,想必是徐杨进了昭阳。,8332580.5716247475,0.0
daxp-ErDeFu-HongNiGuan.xml_0,儿的父为国家阵前命丧，,8342616.5024905931,0.0
daeh-ZiNaRi-ErJinGong.xml_0,自那日与徐杨决裂以后，,8379986.9595405106,0.14285714285714285
daeh-WangChunE-SanNiangJiaoZi.xml_3,老薛保好一似浪里舟船。,8380456.9635681063,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_3,但不知何日里再沐圣明。,8419752.86729398,0.0
daxp-DangRiLi-SuoLinNang.xml_9,她泪自弹、声续断、似杜鹃、啼别院、巴峡哀猿动人心弦，好不惨然。,8421405.2909326721,0.2857142857142857
daeh-LiYanFei-ErJinGong.xml_3,想必是徐杨将进了昭阳。,8447844.8144754842,0.0
danbz-KanDaWang-BaWangBieJi.xml_3,猛抬头见碧落月色清明。,8468650.3387709651,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_0,老爹爹请息怒容儿细讲，,8513000.036776267,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_14,愿天下有情人都成姻眷，,8517127.4576034863,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_4,薛倚儿他好比无弓之箭，,8555608.1524964534,0.0
daxp-NiDeFu-FenHeWan.xml_2,把弓带和鱼镖与儿带定，,8574642.6165961623,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_13,但愿得八主贤王从中周旋早成美眷、扫狼烟叫那胡儿不敢进犯、保叔王锦锈江山。,8615958.5165812224,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_5,每日里在书房苦读圣贤。,8626567.9613128491,0.0
daxp-FeiShiWo-TaoHuaCun.xml_14,倘若是你响她也响，,8627906.9582513124,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_1,到叫我桂英儿挂在心头；,8662444.4119631071,0.14285714285714285
