猛抬头见碧落月色清明,0,猛抬头见碧落月色清明。
daeh-XiaoNuCai-SanNiangJiaoZi.xml_3,等候了你妻子同见阎罗。,5058911.0135744633,0.1
daxp-DangRiLi-SuoLinNang.xml_13,怎奈我在轿中赤手空拳。,5062643.87030131,0.0
daxp-DiTouLi-NvQiJie.xml_4,哪一位去往南京转，,5100030.8983035125,0.0
daeh-ZiNaRi-ErJinGong.xml_8,李艳妃坐昭阳自思自想，,5106371.9410743155,0.0
daxp-ChunQiuTing-SuoLinNang.xml_5,为何鲛珠化泪抛？,5123283.4603539417,0.0
daxp-XiShiNv-XiShi.xml_5,对清溪时照影自整罗农。,5123443.9331070045,0.1
daxp-DangRiLi-SuoLinNang.xml_15,囊虽小却能做续命泉源。,5129109.292150626,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_5,实指望教训他终身有靠，,5136251.3242155751,0.0
sdxp-SuLongWei-WuJiaPo.xml_34,将你带到官衙内，,5136695.5009621857,0.0
daxp-DangRiLi-SuoLinNang.xml_19,还有那赤金链，紫瑛簪，白玉环，双凤錾，八宝钗钏一个个宝孕光含。,5137027.1041089958,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_1,有谁知一时错被逐宫廷。,5147627.7075806344,0.0
daeh-SunShangXiang-BieHuangGong.xml_6,回荆州未三载诓我回转，,5152853.1075516017,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_7,不如早死命归西。,5167396.068993751,0.0
daxp-LaoDieDie-YuZhouFeng.xml_4,老爹爹在朝中官高爵显，,5168563.8464997821,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_0,昔日梁鸿配孟光，,5213581.5689744139,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_0,王春娥坐草堂自思自叹，,5219744.1376919542,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_2,将身儿坐至在草堂等候，,5229565.8278276538,0.0
daxp-SuSanLi-NvQiJie.xml_4,哪一位去往南京转，,5241663.9939623903,0.0
daxp-QiaoLouShang-HuangShanLei.xml_8,听画鼓报四更愈添凄冷，,5245213.2259531375,0.0
daxp-JiaoZhangSheng-HongNiang.xml_3,这件事倒叫我心乱如麻。,5245295.8053145949,0.0
danbz-BeiJiuChan-ChunGuiMeng.xml_0,被纠缠陡想起婚时情景，,5248600.0642197859,0.0
daxp-QiaoLouShang-HuangShanLei.xml_11,又思来又想去越不安宁。,5255179.2327142898,0.0
daeh-TanHongYan-HuoXiaoYu.xml_2,薄幸冤家音信无有，,5262763.7159872241,0.0
sdxp-SuLongWei-WuJiaPo.xml_29,府内金银堆如山。,5265563.6762324506,0.0
daxp-GuanShiYin-TianNvSanHua.xml_1,有善才和龙女站立两厢；,5272153.793899782,0.0
daxp-ZhiJianTa-WangJiangTing.xml_9,相公你为何不歇息？,5274937.6313419333,0.0
daxp-WoZhuYe-SiLangTanMu.xml_4,叫番儿忙摆驾银安殿，,5301178.5109998574,0.0
daeh-TanHongYan-HuoXiaoYu.xml_4,枕边泪（呀）共（那）阶前雨，,5303148.0832869951,0.0
daspd-DuShouKong-WangJiangTing.xml_1,芳心寂寞有谁怜，,5311071.41383617,0.0
daeh-SunShangXiang-BieHuangGong.xml_5,又谁知弄假成真反配凤鸾。,5312971.1442742031,0.0
daxp-ZhiJianTa-WangJiangTing.xml_7,何必独自就暗猜疑。,5320943.2347453665,0.0
danbz-KanDaWang-BaWangBieJi.xml_2,轻移步走向前荒郊站定，,5320999.2763787406,0.0
daxp-DiTouLi-NvQiJie.xml_3,过往的君子听我言。,5344307.2797768358,0.0
daeh-ZiNaRi-ErJinGong.xml_10,耳边厢又听得朝靴响亮，,5361369.0797009887,0.0
daxp-FeiShiWo-TaoHuaCun.xml_11,是不是有人拍巴掌。,5368795.6653909953,0.0
sdxp-DangNianHan-SanJiZhang.xml_21,不能、不能、是万不能！,5383843.7792964047,0.0
daxp-QiaoLouShang-HuangShanLei.xml_14,我不免唤琏儿到街前探问，,5389925.1315739527,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_11,但愿得杨六郎心如石坚，,5394319.3697832422,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_0,老爹爹清晨起前去出前，,5398889.8960870532,0.1
daeh-ZiNaRi-ZhuangYuanMei-1.xml_4,这桩事闷得我柔肠百转，,5408918.3223830862,0.0
daxp-ErTingDe-SuoLinNang.xml_28,麟儿哪有神送到，,5413972.6060039271,0.0
daeh-LiYanFei-DaBaoGuo.xml_0,李艳妃设早朝龙书案下，,5422054.9284886355,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_12,搬一把金交椅娘且坐下，,5422699.1894277325,0.0
daeh-LiYanFei-DaBaoGuo.xml_6,写文约我且把玉玺打下，,5423829.1185683478,0.0
daxp-GuanShiYin-TianNvSanHua.xml_3,白鹦鹉与仙鸟在灵岩神岘上下飞翔；,5428353.4566863663,0.0
daxp-NiDeFu-FenHeWan.xml_1,全仗你打雁养娘亲，,5448039.8361216355,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_1,死里逃生甚惨凄。,5449230.1664928216,0.0
daxp-ErDeFu-HongNiGuan.xml_0,儿的父为国家阵前命丧，,5450412.2506202254,0.0
daxp-NiDeFu-FenHeWan.xml_2,把弓带和鱼镖与儿带定，,5452231.4978909334,0.0
daeh-CanQiQi-WuLongZuo.xml_2,千金休哪曾受磨房景况，,5464675.7342680451,0.0
daeh-NuZiYou-TouJunBieYao.xml_0,奴自幼在闺阁娇生惯养，,5473068.0897587165,0.0
daxp-ErTingDe-SuoLinNang.xml_20,我正不足她正少，,5488080.1173813185,0.0
daeh-ZiNaRi-ErJinGong.xml_2,先王爷晏驾后太子年幼，,5488097.9675031286,0.0
daxp-DangRiLi-SuoLinNang.xml_3,耳听得风声断，雨声喧，雷声乱，乐声阑珊，人声呐喊，都道说是大雨倾天。,5507018.7327196421,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_6,将身儿来至在机房织绢，,5509388.0668353401,0.0
daxp-QiaoLouShang-HuangShanLei.xml_0,谯楼上二更鼓声声送听，,5539257.5438419171,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_7,我一剑能挡百万兵。,5542672.3549479898,0.0
daeh-SunShangXiang-BieHuangGong.xml_4,与周郎定巧计把皇叔来骗，,5555835.4698953256,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_3,我与母亲两分离。,5557303.3297266755,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_3,等候了爹爹回细问根由。,5587379.4473934174,0.0
daeh-WuDuanQiao-BiYuZan.xml_6,一心早想寻短见，,5587827.624167352,0.1
daxp-LaoDieDie-YuZhouFeng.xml_2,倘若是有道君皇恩浩荡，,5591008.9773899904,0.0
daxp-ChunQiuTing-SuoLinNang.xml_24,分我一枝珊瑚宝，,5605162.1600571293,0.0
daxp-ChunQiuTing-SuoLinNang.xml_22,我在不足他正少，,5605162.1600571293,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_2,那冰轮离海岛，,5606274.7979025589,0.0
daxp-DangRiLi-SuoLinNang.xml_10,于归日理应当喜形于面，,5607504.3062617434,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_2,家住在罗郡城魁星楼下，,5634823.5030643493,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_2,哭一声亡故夫在阴曹等我，,5676996.0600104118,0.0
daxp-DuiLingHua-BiYuZan.xml_1,听她言不由人喜上眉尖。,5679183.573846831,0.0
daeh-ZiNaRi-ErJinGong.xml_13,我只得怀抱太子两泪汪汪口口声声哭的是先王！,5692670.6062957142,0.0
daxp-XiRiLi-LongFengChengXiang.xml_0,昔日里梁鸿配孟光，,5701640.9665669398,0.0
daxp-DangRiLi-SuoLinNang.xml_18,还有那夜明珠粒粒成串，,5710932.3275293615,0.1
daxp-FeiShiWo-TaoHuaCun.xml_14,倘若是你响她也响，,5712727.816470216,0.0
daxp-XiShiNv-XiShi.xml_4,怕只怕损玉颜姣容自惜，,5807871.0431250874,0.0
daeh-ZiNaRi-ErJinGong.xml_1,独坐在寒宫院闷闷悠悠。,5821967.0997182792,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_5,寸土怎能够属于他人。,5830984.9886621349,0.0
daxp-ErDeFu-HongNiGuan.xml_5,不想到狠心郎一味猖狂。,5843248.0600869562,0.0
daeh-ZiNaRi-ErJinGong.xml_0,自那日与徐杨决裂以后，,5876746.1367459865,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_4,这桩事闷得我柔肠百转，,5879473.6498892037,0.0
daxp-QiaoLouShang-HuangShanLei.xml_13,果然是晓鸡唱天已黎明。,5889732.0630828924,0.1
daxp-ZhiJianTa-WangJiangTing.xml_5,隐情不敢实告妻。,5893723.9438494919,0.0
daxp-ErDeFu-HongNiGuan.xml_4,清早起我和他一度商量，,5905239.7926696474,0.1
daeh-SunShangXiang-BieHuangGong.xml_1,想起了已往事心内痛酸。,5968308.6790477829,0.0
daxp-JiaoZhangSheng-HongNiang.xml_1,我步步行来你步步爬。,5973036.4409263693,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_0,老爹爹请息（呀）怒容儿细讲，,5981095.4464776749,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_3,老薛保你不必苦哀告，,5987299.7245826544,0.0
daxp-DangRiLi-SuoLinNang.xml_7,哪有这短花帘，旧花幔，参差流苏，残破不全。,5989316.5968006449,0.0
daxp-ChunQiuTing-SuoLinNang.xml_33,救她饥渴胜琼瑶。,5990260.1677491739,0.0
sdxp-WoHeNi-SiLangTanMu.xml_33,你也对苍天就表一番。,5991849.0552414982,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_1,公正的老爷细听分明。,5997262.8457154753,0.1
daeh-ZiNaRi-ZhuangYuanMei-1.xml_3,乱军中多亏他救我回还。,6014806.3975113472,0.0
daeh-LiYanFei-ErJinGong.xml_5,我只得怀抱太子两泪汪汪口口声声哭的是先王。,6030604.8013177766,0.0
daxp-DuiLingHua-BiYuZan.xml_0,对菱花暗地里芳心自转，,6031342.3915223842,0.0
daxp-LaoDieDie-YuZhouFeng.xml_3,观此本免了儿一门祸殃。,6033428.0662305793,0.0
daxp-TingTaYan-ZuoGong.xml_7,不知者不怪罪你的海量放宽。,6054553.0758525655,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_0,那日风波平地起，,6056609.1250679605,0.0
daeh-ZiNaRi-ErJinGong.xml_7,看一看不觉到八月中秋。,6084390.2031001272,0.1
daxp-ChunQiuTing-SuoLinNang.xml_10,轿内的人儿弹别调，,6094035.6971279308,0.0
daeh-ZiNaRi-ErJinGong.xml_3,太师爷一心心想篡龙楼。,6104108.4235652657,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_7,贼好比那司马师搅乱中华。,6107363.557672902,0.0
daxp-GuanShiYin-TianNvSanHua.xml_5,好似我散天花就纷落十方；,6124351.9021047615,0.1
daxp-FeiShiWo-TaoHuaCun.xml_4,已然错请生波浪，,6130172.6982668499,0.0
daxp-LaoDieDie-YuZhouFeng.xml_0,老爹爹发恩德将本修上，,6137254.4209420914,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_3,等候了爹爹回细问根由。,6183873.2725149309,0.0
sdxp-WoHeNi-SiLangTanMu.xml_32,适才叫咱盟誓愿，,6187314.102405116,0.0
daxp-ChunQiuTing-SuoLinNang.xml_9,也有失意痛哭嚎啕，,6187704.7649530405,0.0
danbz-BeiJiuChan-ChunGuiMeng.xml_2,我不免去安排罗衾绣枕，,6202795.3556513935,0.0
daxp-ErTingDe-SuoLinNang.xml_31,救她饥渴胜琼瑶。,6260250.7148861866,0.0
daxp-ChunQiuTing-SuoLinNang.xml_21,谁能移动他半分毫。,6262865.8407804109,0.0
daxp-ChunQiuTing-SuoLinNang.xml_32,小小囊儿何足道，,6263656.8766130786,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_6,奴似嫦娥离月宫。,6328991.0947662033,0.1
daxp-DangRiLi-SuoLinNang.xml_11,为什么悲切切哭得可怜。,6332880.7584062247,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_3,敌血飞溅石榴裙。,6338031.0360290166,0.0
daxp-ErTingDe-SuoLinNang.xml_29,积德才生玉树苗。,6343000.6357425889,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_0,老爹爹请息怒容儿细讲，,6375010.006320769,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_1,受逼迫去捡柴泪如雨下，,6399450.7117318586,0.0
sdxp-DangNianHan-SanJiZhang.xml_10,都是安邦定国臣，,6439346.5620517377,0.0
daeh-NuZiYou-TouJunBieYao.xml_1,为薛郎我父女断绝情长。,6448227.0795766413,0.0
daxp-TingTaYan-ZuoGong.xml_1,十五载到今日才吐真言。,6454808.609744004,0.0
daeh-LiYanFei-ErJinGong.xml_4,有几句话儿我不好言讲，,6466689.9615468848,0.0
daxp-ErTingDe-SuoLinNang.xml_19,谁能移动它半分毫。,6483247.6090863477,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_4,诗书易礼都学会，,6501760.4969440866,0.0
daxp-ErDeFu-HongNiGuan.xml_2,奴这里只把那结婚思量，,6508813.4284643894,0.0
daxp-ErTingDe-SuoLinNang.xml_2,莫不是夫郎丑难谐女貌，,6526941.6466728896,0.0
daxp-XiShiNv-XiShi.xml_0,西施女生长在苎萝村里，,6539121.7322547305,0.0
sdxp-WoHeNi-SiLangTanMu.xml_23,咱与你隔南北千里姻缘。,6539980.8606646331,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_3,乱军中多亏他救我回还。,6552020.0091613205,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_4,贼好比王莽贼称孤道寡，,6552364.4709755573,0.0
daxp-DiTouLi-NvQiJie.xml_2,未曾开言我心好惨，,6553169.5648704097,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_10,但愿得令公令婆别无意见，,6561604.0947686946,0.1
daxp-ChunQiuTing-SuoLinNang.xml_14,莫不是夫郎丑难谐女貌？,6563115.9440748878,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_3,这样人得了志比父还强。,6581079.0546878055,0.0
daxp-ErTingDe-SuoLinNang.xml_10,蠢才问话太潦草，,6593069.2576355925,0.0
daxp-ChunQiuTing-SuoLinNang.xml_16,叫梅香你把那好言相告，,6599398.0306531694,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_5,叹一声不由人珠泪如梭。,6616166.719612441,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_1,见玉兔（哇）玉兔又早东升。,6621568.8073466774,0.1
daxp-DangRiLi-SuoLinNang.xml_2,在轿中只觉得天昏地暗。,6647912.2715628603,0.0
daxp-ZheCaiShi-SuoLinNang.xml_7,愧我当初赠木桃。,6657973.8180703064,0.0
daxp-GuanShiYin-TianNvSanHua.xml_2,菩提树薝卜花千枝掩映，,6686054.4844012382,0.0
daxp-FeiShiWo-TaoHuaCun.xml_7,桃花村口莫彷徨。,6700628.5330608441,0.0
daeh-CanQiQi-WuLongZuo.xml_1,叹红颜多薄命父母双亡。,6711618.1592621347,0.0
sdxp-SuLongWei-WuJiaPo.xml_35,打板子、上夹棍、丢南牢、坐监禁、管叫你思前容易退后难。,6716494.9169945186,0.0
daxp-ErTingDe-SuoLinNang.xml_30,小小囊儿何足道，,6735460.7917266348,0.0
daxp-ErTingDe-SuoLinNang.xml_27,自把珠玉夸富豪。,6738444.1329593901,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_4,怒气不息在机房闷坐，,6741002.6876215376,0.0
daxp-ChunQiuTing-SuoLinNang.xml_27,莫把姓名你信口晓，,6748455.9188154992,0.0
daxp-TingTaYan-ZuoGong.xml_6,早晚间休怪我言语怠慢，,6754727.6574187241,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_0,老爹爹清晨起前去出首，,6759026.4713758528,0.1
daxp-FeiShiWo-TaoHuaCun.xml_16,你把我当做诸葛亮，,6766777.4572248459,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_2,家住在罗郡城魁星楼下，,6773040.6825965811,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_12,但愿得状元媒月老引线，,6781156.4199552918,0.1
daxp-TingTaYan-ZuoGong.xml_2,原来是杨家将把名姓改换，,6806023.0308220927,0.0
daxp-ErTingDe-SuoLinNang.xml_22,分我一枝珊瑚宝，,6845216.2637003353,0.0
sdxp-DangNianHan-SanJiZhang.xml_13,商鞅不中苏季子，,6845216.2637003353,0.0
daxp-JiaoZhangSheng-HongNiang.xml_0,叫张生隐藏在棋盘之下，,6850980.465516231,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_4,在家中受不过继母拷打，,6851094.6592315817,0.0
daxp-DangRiLi-SuoLinNang.xml_14,急切里想起了锁麟囊一（呀）件，,6854289.0042083031,0.0
daxp-DangRiLi-SuoLinNang.xml_6,虽然是古青庐以朴为俭，,6856287.0237874333,0.0
daxp-ChunQiuTing-SuoLinNang.xml_25,安他半世凤凰巢。,6856872.9005802684,0.0
daxp-ErTingDe-SuoLinNang.xml_23,安她半世凤凰剿。,6856872.9005802684,0.0
daeh-ZiNaRi-ErJinGong.xml_6,徐小姐把守在宫门口，,6859276.8886067839,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_1,想起了我老爷好不惨然。,6867109.3859440153,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_13,你叔王不让位再去骂他。,6869379.0641898597,0.0
daeh-ZuoChunGui-XiShi.xml_1,无限的闲愁恨尽上眉尖。,6893573.9974651635,0.0
