寸土怎能够属于他人,6,寸土怎能够属于他人。
daxp-ErTingDe-SuoLinNang.xml_30,小小囊儿何足道，,4503516.2662053406,0.0
daeh-ZiNaRi-ErJinGong.xml_11,想必是徐杨进了昭阳。,4558320.8753782455,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_3,反倒说为嫂我拦阻有差，,4632548.549851073,0.0
daxp-SuSanLi-NvQiJie.xml_6,言说苏三把命断，,4658313.7595974086,0.0
daeh-SunShangXiang-BieHuangGong.xml_8,恨只恨我兄长把事错办，,4674008.3592771515,0.0
daxp-ErDeFu-HongNiGuan.xml_0,儿的父为国家阵前命丧，,4700019.6509276358,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_13,你叔王不让位再去骂他。,4708841.5983868586,0.1111111111111111
daxp-LaoDieDie-DaYuShaJia-1.xml_2,将身儿坐至在草堂等候，,4725135.2469910625,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_5,贼好比曹阿瞒半点不差，,4725647.8915925724,0.0
daxp-FeiShiWo-TaoHuaCun.xml_5,怎能够粗心大意你再荒唐。,4793085.5229133628,0.3333333333333333
daeh-ZiNaRi-ErJinGong.xml_3,太师爷一心心想篡龙楼。,4798657.8776871515,0.0
daxp-SuSanLi-NvQiJie.xml_1,将身来在大街前。,4849598.3306231527,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_7,等候了薛倚儿转回家园。,4851913.5556389056,0.0
daxp-TingTaYan-ZuoGong.xml_6,早晚间休怪我言语怠慢，,4878860.6741013248,0.0
daxp-ChunQiuTing-SuoLinNang.xml_21,谁能移动他半分毫。,4901420.5146861561,0.2222222222222222
daeh-ZiNaRi-ZhuangYuanMei-1.xml_4,这桩事闷得我柔肠百转，,4923524.5681661442,0.0
daxp-MuQinBu-FengHuanChao.xml_1,女儿言来听根源。,4929541.8766622506,0.0
daxp-DiTouLi-NvQiJie.xml_6,就说苏三把命断，,4942875.1891118828,0.0
sdxp-SuLongWei-WuJiaPo.xml_38,西凉的鞑子将你斩，,5013702.1088751797,0.0
daxp-ErTingDe-SuoLinNang.xml_2,莫不是夫郎丑难谐女貌，,5030736.2381527787,0.0
daxp-FeiShiWo-TaoHuaCun.xml_6,鼓打二更准时往，,5044619.9167809673,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_1,闭口无言王春娥。,5084839.9562527975,0.0
daxp-ErTingDe-SuoLinNang.xml_19,谁能移动它半分毫。,5096407.96249336,0.1111111111111111
daxp-TingTaYan-ZuoGong.xml_4,我这里走向前再把礼见，,5113887.0273762858,0.0
daeh-LiYanFei-DaBaoGuo.xml_9,压定了文武臣均要画押。,5163269.5273765307,0.0
daxp-ChunQiuTing-SuoLinNang.xml_14,莫不是夫郎丑难谐女貌？,5230541.5160878869,0.0
daxp-MuQinBu-FengHuanChao.xml_3,女儿清白最为先。,5234505.95283671,0.0
daxp-FeiShiWo-TaoHuaCun.xml_14,倘若是你响她也响，,5250915.4477768587,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_2,想当年桃花马上威风凛凛，,5254192.013233115,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_4,这桩事闷得我柔肠百转，,5318872.4535376811,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_2,将身儿坐至在草堂等候，,5335834.2070823247,0.0
sdxp-WoHeNi-SiLangTanMu.xml_33,你也对苍天就表一番。,5364595.8259123834,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_2,父休笑薛平贵是花郎模样，,5421300.2384624751,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_7,全（呐）不顾你身有病气力不佳。,5506370.7641569162,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_4,怒气不息在机房闷坐，,5512292.6466885814,0.0
daxp-DiTouLi-NvQiJie.xml_3,过往的君子听我言。,5512821.4952164609,0.0
daxp-DangRiLi-SuoLinNang.xml_8,轿中人必定有一腔幽怨，,5523201.9126565205,0.1111111111111111
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_4,有生之日责当尽，,5557560.4448687769,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_15,愿天下从此后国泰民安。,5592867.816486815,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_12,搬一把金交椅娘且坐下，,5627971.7989970902,0.0
sdxp-SuLongWei-WuJiaPo.xml_31,命人送到（那）西凉川。,5645619.1703126999,0.1111111111111111
daeh-ZiNaRi-ErJinGong.xml_0,自那日与徐杨决裂以后，,5734114.7106015775,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_5,那厢流泪这厢啼。,5740279.2082151417,0.0
daxp-ErTingDe-SuoLinNang.xml_21,她为饥寒我为骄。,5757133.3892646963,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_10,但愿得令公令婆别无意见，,5781653.7614558367,0.0
daxp-ErTingDe-SuoLinNang.xml_6,梅香说话好颠倒，,5782479.831244559,0.0
daxp-ChunQiuTing-SuoLinNang.xml_16,叫梅香你把那好言相告，,5832441.3452042416,0.0
daeh-SunShangXiang-BieHuangGong.xml_4,与周郎定巧计把皇叔来骗，,5863530.4556963732,0.0
daxp-MuQinBu-FengHuanChao.xml_0,母亲不必心太偏，,5864417.5168207288,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_0,蒙君子至殷勤再三问话，,5930416.0730345529,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_0,老爹爹请息（呀）怒容儿细讲，,5949933.0606563725,0.0
daxp-ErDeFu-HongNiGuan.xml_7,又恐怕众将官说短论长。,5953000.6515169498,0.0
daeh-LiYanFei-ErJinGong.xml_3,想必是徐杨将进了昭阳。,5956946.042061789,0.0
daxp-SuSanLi-NvQiJie.xml_5,与我那三郎把信传。,5996549.8432791755,0.0
daxp-ChunQiuTing-SuoLinNang.xml_5,为何鲛珠化泪抛？,6006052.1877206704,0.0
daxp-FeiShiWo-TaoHuaCun.xml_8,你不要高声不要嚷，,6027008.3598467037,0.0
daxp-FeiShiWo-TaoHuaCun.xml_11,是不是有人拍巴掌。,6031229.7223551283,0.1111111111111111
daeh-SunShangXiang-BieHuangGong.xml_3,留下了孙仲谋执掌江南。,6036289.8602253823,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_3,老薛保你不必苦哀告，,6049411.16067167,0.0
daxp-DangRiLi-SuoLinNang.xml_21,换衣食也够她生活几年。,6062820.8294658493,0.1111111111111111
daeh-ZiNaRi-ZhuangYuanMei-2.xml_14,愿天下有情人都成姻眷，,6066158.5592028014,0.1111111111111111
daeh-NaRiFeng-YuanXiaoMi.xml_2,舅父前来出主意，,6076272.4654418519,0.0
daxp-DangRiLi-SuoLinNang.xml_20,这囊儿虽非是千古罕见，,6112787.3932913607,0.0
sdxp-DangNianHan-SanJiZhang.xml_14,在六国封相人上人。,6116580.5200065123,0.1111111111111111
daxp-ErDeFu-HongNiGuan.xml_5,不想到狠心郎一味猖狂。,6132202.3028586442,0.0
daxp-QiaoLouShang-HuangShanLei.xml_0,谯楼上二更鼓声声送听，,6163771.2767744865,0.0
daxp-DangRiLi-SuoLinNang.xml_17,红珊瑚碧翡翠样样倶全。,6164780.5980100213,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_2,在潼台被贼擒在命好险，,6169286.9487211015,0.0
daxp-DangRiLi-SuoLinNang.xml_1,霎时间日色淡似坠西山。,6169344.1626699651,0.0
daeh-ZiNaRi-ErJinGong.xml_6,徐小姐把守在宫门口，,6192883.0170147456,0.0
daxp-SuSanLi-NvQiJie.xml_3,过往的君子听我言。,6196090.1250826884,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_4,贼好比王莽贼称孤道寡，,6200808.4645699458,0.0
daxp-DiTouLi-NvQiJie.xml_4,哪一位去往南京转，,6215179.6610983359,0.0
daxp-ErTingDe-SuoLinNang.xml_4,叫梅香你把那好言相告，,6224009.7871265374,0.0
daeh-NuZiYou-TouJunBieYao.xml_2,但愿得去投军功名有望，,6235734.6550861411,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_0,老爹爹清晨起前去出首，,6311928.1434409963,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_1,受逼迫去捡柴泪如雨下，,6315478.2632739153,0.0
sdxp-DangNianHan-SanJiZhang.xml_16,难道说文官他就不丧身？,6374090.6886663688,0.1111111111111111
sdxp-WoHeNi-SiLangTanMu.xml_28,有心赠你金鈚箭，,6404915.1519106273,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_2,暗地堪笑我兄长，,6441778.7744542165,0.0
daxp-DuiLingHua-BiYuZan.xml_0,对菱花暗地里芳心自转，,6450835.2160507087,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_3,老薛保好一似浪里舟船。,6469806.9477767237,0.0
sdxp-SuLongWei-WuJiaPo.xml_33,家人小厮有万千。,6512029.9989154078,0.1111111111111111
daxp-XiShiNv-XiShi.xml_2,只为着守清寒柴门近水，,6543237.8355916012,0.0
daeh-ZiNaRi-ErJinGong.xml_12,有一句话儿不好言讲，,6555694.3217199454,0.0
daxp-QiaoLouShang-HuangShanLei.xml_15,你爹爹到如今未转家门。,6562306.6086313101,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_1,贼昏王篡了位谋乱邦家。,6571739.0114459321,0.0
daxp-ErTingDe-SuoLinNang.xml_26,这都是神话凭空造，,6587728.6797292391,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_2,把一个皇太子逼死殿下，,6624117.751796376,0.0
sdxp-SuLongWei-WuJiaPo.xml_29,府内金银堆如山。,6626104.5917256633,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_2,在潼台被贼擒性命好险，,6645837.7267950829,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_3,奴好比花未开风吹雨打，,6657224.4090176178,0.0
daxp-XiRiLi-LongFengChengXiang.xml_5,纵有大事料无妨。,6662588.1147530964,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_7,贼好比那司马师搅乱中华。,6681266.9187320825,0.0
daeh-LiYanFei-ErJinGong.xml_4,有几句话儿我不好言讲，,6699678.1116351839,0.0
daxp-DiTouLi-NvQiJie.xml_7,来生变犬马我当报还。,6713268.434530478,0.0
daxp-DangRiLi-SuoLinNang.xml_10,于归日理应当喜形于面，,6715260.0601486731,0.1111111111111111
daeh-NaRiFeng-YuanXiaoMi.xml_6,我今绝少人生趣，,6734533.9038949516,0.1111111111111111
daxp-ErTingDe-SuoLinNang.xml_17,满腹骄矜顿雪潇。,6737559.7616826417,0.0
daxp-ErTingDe-SuoLinNang.xml_7,不该人前乱解嘲。,6737559.7616826417,0.1111111111111111
daxp-ChunQiuTing-SuoLinNang.xml_28,这都是神话凭空造，,6745079.1490607411,0.0
daxp-ChunQiuTing-SuoLinNang.xml_29,自把珠玉夸富豪，,6758975.6875737635,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_0,自那日与六郎姻缘相见，,6767289.824058746,0.0
daxp-DangRiLi-SuoLinNang.xml_19,还有那赤金链，紫瑛簪，白玉环，双凤錾，八宝钗钏一个个宝孕光含。,6768254.9991305266,0.0
daxp-ErTingDe-SuoLinNang.xml_31,救她饥渴胜琼瑶。,6773067.0627917368,0.0
daxp-SuSanLi-NvQiJie.xml_2,未曾开言心内惨，,6783883.1034123264,0.0
daxp-NiDeFu-FenHeWan.xml_2,把弓带和鱼镖与儿带定，,6796571.3398526842,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_1,行不安坐不宁情态缠绵。,6805140.7180399774,0.0
daxp-DangRiLi-SuoLinNang.xml_14,急切里想起了锁麟囊一（呀）件，,6813282.6289329277,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_2,思想起从前事心中悔恨，,6833203.2282103375,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_5,叹一声不由人珠泪如梭。,6837516.5541493651,0.1111111111111111
daeh-LiYanFei-DaBaoGuo.xml_0,李艳妃设早朝龙书案下，,6853445.3059813185,0.0
daeh-WuDuanQiao-BiYuZan.xml_0,无端巧计将人陷，,6884617.0432075039,0.1111111111111111
daxp-LaoDieDie-DaYuShaJia-1.xml_3,等候了爹爹回细问根由。,6913010.4573223172,0.0
daxp-ChunQiuTing-SuoLinNang.xml_17,问那厢因何故痛哭无聊。,6918937.491839123,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_0,老爹爹请息怒容儿细讲，,6940900.6561844321,0.0
sdxp-SuLongWei-WuJiaPo.xml_37,欺奴犹如欺了天。,6954234.6809746344,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_1,行不安坐不宁情态缠绵。,6978986.6398162814,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_11,但愿得杨六郎心如石坚，,7019175.0546629205,0.0
daeh-SunShangXiang-BieHuangGong.xml_2,遭不幸父王爷把驾来晏，,7021743.2470643725,0.0
daxp-WoZhuYe-SiLangTanMu.xml_2,众卿随忙挂点亲率官员，,7023792.0681440243,0.0
daxp-DangRiLi-SuoLinNang.xml_12,那时节奴妆奁不下百万，,7033364.060778047,0.0
daxp-WoHeNi-SangYuanHui.xml_1,谁认你狼心狗肺的人！,7053272.0416364018,0.1111111111111111
daeh-SunShangXiang-BieHuangGong.xml_6,回荆州未三载诓我回转，,7072181.8824650198,0.0
daxp-TingTaYan-ZuoGong.xml_1,十五载到今日才吐真言。,7100645.1475986606,0.0
daeh-LiYanFei-ErJinGong.xml_0,李艳妃坐昭阳自思自想，,7138624.9798271414,0.0
daeh-ZuoChunGui-XiShi.xml_1,无限的闲愁恨尽上眉尖。,7141207.661367652,0.0
sdxp-DangNianHan-SanJiZhang.xml_21,不能、不能、是万不能！,7142850.5121499216,0.1111111111111111
daeh-CanQiQi-WuLongZuo.xml_0,惨凄凄唤苍天天不应响，,7153230.0272052586,0.0
daeh-LiYanFei-DaBaoGuo.xml_4,将江山让太师权且代贺，,7157627.7309232214,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_9,宋天子主婚姻此事成全。,7181676.9764034897,0.0
daxp-DangRiLi-SuoLinNang.xml_0,当日里好风光忽觉转变，,7186252.1553436182,0.0
daxp-ErTingDe-SuoLinNang.xml_28,麟儿哪有神送到，,7194700.0259869434,0.0
daeh-CanQiQi-WuLongZuo.xml_2,千金休哪曾受磨房景况，,7211754.4927801332,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_5,最可恨鸨儿叫我接客人。,7215158.654716189,0.1111111111111111
daxp-ErTingDe-SuoLinNang.xml_14,休要噪且站了，,7260741.6431098888,0.0
daeh-ZiNaRi-ErJinGong.xml_8,李艳妃坐昭阳自思自想，,7275186.1525883731,0.0
daxp-DiTouLi-NvQiJie.xml_5,与我那三郎把信传。,7294337.3721315628,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_0,遭不幸老王爷晏了御驾，,7298680.3113177158,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_5,莫奈何到荒郊我就来捡芦花。,7299135.407814024,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_0,蒙君子至诚心再三问话，,7321124.0940193478,0.0
daxp-QiaoLouShang-HuangShanLei.xml_5,猛听得窗儿外似有人行。,7331624.9777008379,0.1111111111111111
daxp-LaoDieDie-DaYuShaJia-1.xml_0,老爹爹清晨起前去出前，,7339084.9513660902,0.0
daxp-ErTingDe-SuoLinNang.xml_27,自把珠玉夸富豪。,7346553.2643060843,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_14,愿天下有情人都成姻眷，,7356680.4208219685,0.1111111111111111
daxp-DuiLingHua-BiYuZan.xml_2,果然是成佳偶两心欢恋，,7364837.7997031556,0.0
sdxp-DangNianHan-SanJiZhang.xml_12,登台拜帅天下闻。,7475454.0582480356,0.0
daeh-LiYanFei-ErJinGong.xml_2,耳边厢又听得朝靴响亮，,7492924.7003028309,0.0
daxp-XiShiNv-XiShi.xml_4,怕只怕损玉颜姣容自惜，,7514881.473899656,0.0
sdxp-SuLongWei-WuJiaPo.xml_26,你我同把相府进，,7534770.7219909001,0.0
daxp-ChunQiuTing-SuoLinNang.xml_19,满腹骄矜顿雪潇，,7568921.8298446583,0.0
daxp-QiaoLouShang-HuangShanLei.xml_9,看娇儿正酣睡恐被风侵。,7569486.6460365411,0.0
daxp-NiDeFu-FenHeWan.xml_0,你的父去投军无音信，,7594508.5273526236,0.0
daxp-XiRiLi-LongFengChengXiang.xml_2,暗地堪笑奴兄长，,7620572.0400243541,0.0
daxp-TingTaYan-ZuoGong.xml_3,他思家乡想骨肉就不能团圆。,7631669.7939459179,0.2222222222222222
daxp-ChunQiuTing-SuoLinNang.xml_8,亦有饥寒悲怀抱，,7644388.7040495332,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_3,乱军中多亏他救我回还。,7661082.4722554618,0.1111111111111111
daxp-DangRiLi-SuoLinNang.xml_11,为什么悲切切哭得可怜。,7687239.1198394112,0.0
daeh-SunShangXiang-BieHuangGong.xml_7,阿斗儿行中途被子龙追还。,7690709.0971218459,0.0
daeh-LiYanFei-DaBaoGuo.xml_3,各国的众王侯朝贺中华。,7710340.456652673,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_10,但愿得令公令婆别无异见，,7735170.0995956426,0.0
daeh-TanHongYan-HuoXiaoYu.xml_4,枕边泪（呀）共（那）阶前雨，,7737820.0833717249,0.0
daxp-ChunQiuTing-SuoLinNang.xml_31,积德才生玉树苗，,7738719.0140265571,0.0
daxp-ErTingDe-SuoLinNang.xml_11,难免怀疑在心梢。,7744042.2329278765,0.0
daxp-DangRiLi-SuoLinNang.xml_2,在轿中只觉得天昏地暗。,7745347.0947472323,0.0
daxp-DangRiLi-SuoLinNang.xml_4,那花轿必定是因陋就简，,7749379.2915847087,0.0
daxp-DuiLingHua-BiYuZan.xml_3,也算得人世间美满姻缘。,7762906.4663407803,0.1111111111111111
daxp-WoHeNi-SangYuanHui.xml_0,我和你有什么夫妻的情，,7764779.2353852773,0.0
daxp-ChunQiuTing-SuoLinNang.xml_23,他为饥寒我为娇。,7775096.1534484643,0.1111111111111111
daeh-WuDuanQiao-BiYuZan.xml_2,独处闺房愁无限，,7780392.346828986,0.0
sdxp-SuLongWei-WuJiaPo.xml_42,买绫罗、做衣衫、买白纸、糊白幡、打首饰、做妆奁，,7784954.2558345273,0.0
daeh-ZiNaRi-ErJinGong.xml_7,看一看不觉到八月中秋。,7797030.9763239576,0.0
daxp-ChunQiuTing-SuoLinNang.xml_33,救她饥渴胜琼瑶。,7801012.3050522683,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_4,背转身来哭嚎啕。,7801777.8715624642,0.0
daeh-SunShangXiang-BieHuangGong.xml_0,孙尚香坐宫院自思自叹，,7808849.5977471508,0.0
daxp-SuSanLi-NvQiJie.xml_7,来生变犬马我当报还！,7811792.3672179775,0.0
daxp-DangRiLi-SuoLinNang.xml_9,她泪自弹、声续断、似杜鹃、啼别院、巴峡哀猿动人心弦，好不惨然。,7822513.1475398531,0.1111111111111111
daeh-NaRiFeng-YuanXiaoMi.xml_7,不如早死命归西。,7842786.8637188068,0.0
daeh-NuZiYou-TouJunBieYao.xml_3,也不枉我二人苦度时光。,7883610.7762319855,0.1111111111111111
daeh-ZiNaRi-ErJinGong.xml_10,耳边厢又听得朝靴响亮，,7889028.6117991433,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_15,愿邦家从此后国泰民安。,7914255.1477841334,0.0
daxp-QiaoLouShang-HuangShanLei.xml_2,对孤灯思远道心神不定，,7940073.0091322055,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_9,只骂得贼昏王扭转身驱、闭目合晴、羞羞惭惭一语不发，,7945193.6380347097,0.0
sdxp-SuLongWei-WuJiaPo.xml_43,落得个孝子的名儿在那天下传。,7946788.6232555443,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_0,那日风波平地起，,7976788.6507298052,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_3,乱军中多亏他救我回还。,7984412.5123994527,0.1111111111111111
sdxp-WoHeNi-SiLangTanMu.xml_23,咱与你隔南北千里姻缘。,8004924.9423460513,0.0
daeh-LiYanFei-DaBaoGuo.xml_2,太师爷奏一本进贡年下，,8005639.5640700376,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_0,昨日宫中何等宠幸，,8035781.2548119426,0.0
daxp-FeiShiWo-TaoHuaCun.xml_3,关系你患难鸳鸯永宿在池塘。,8039606.9143634588,0.0
daxp-ChunQiuTing-SuoLinNang.xml_2,在隔帘只见这一花轿，,8043994.6191272372,0.0
daeh-ZiNaRi-ErJinGong.xml_1,独坐在寒宫院闷闷悠悠。,8046151.3266817825,0.0
daeh-WuDuanQiao-BiYuZan.xml_1,薄命自伤怨红颜。,8047284.66568843,0.0
daxp-MuQinBu-FengHuanChao.xml_4,人生不知顾脸面，,8068635.1214373717,0.1111111111111111
daeh-WuDuanQiao-BiYuZan.xml_7,又怕丑名误流传。,8068754.4172101589,0.0
daeh-ZuoChunGui-XiShi.xml_0,坐春闺只觉得光明似箭，,8139579.4946877267,0.0
sdxp-WoHeNi-SiLangTanMu.xml_32,适才叫咱盟誓愿，,8157026.2246954525,0.0
daxp-QiaoLouShang-HuangShanLei.xml_13,果然是晓鸡唱天已黎明。,8198945.2522422438,0.0
sdxp-SuLongWei-WuJiaPo.xml_41,与你娘做一个安家钱。,8213303.1157500902,0.0
daxp-WoZhuYe-SiLangTanMu.xml_0,我主爷金沙滩早把命丧，,8253605.1739600189,0.0
daeh-ZuoChunGui-XiShi.xml_2,奴这里心中痛玉颜清减，,8268573.9662830941,0.0
daxp-LaoDieDie-YuZhouFeng.xml_0,老爹爹发恩德将本修上，,8271283.4507011054,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_4,诗书易礼都学会，,8295679.3225321285,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_6,将身儿来至在机房织绢，,8298540.1764207864,0.0
daxp-ChunQiuTing-SuoLinNang.xml_11,必有隐情在心潮。,8299753.2241422608,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_0,王春娥坐草堂自思自叹，,8331175.5648693731,0.0
daxp-ErTingDe-SuoLinNang.xml_29,积德才生玉树苗。,8375826.5445348909,0.0
daeh-LiYanFei-DaBaoGuo.xml_1,文站东武列西朝贺哀家。,8376978.8697128994,0.0
daeh-NuZiYou-TouJunBieYao.xml_0,奴自幼在闺阁娇生惯养，,8439298.9524791464,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_12,但愿得状元媒月老引线，,8460365.16729277,0.0
daeh-LiYanFei-DaBaoGuo.xml_6,写文约我且把玉玺打下，,8489707.8522257898,0.0
daxp-XiShiNv-XiShi.xml_1,难得有开怀事常锁双眉。,8492083.142505629,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_6,番王小丑何足论，,8531475.5153474789,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_4,母女隔断三千里，,8532034.268633537,0.0
daxp-MuQinBu-FengHuanChao.xml_5,活在世上也枉然。,8575339.5666542575,0.0
daxp-LaoDieDie-YuZhouFeng.xml_4,老爹爹在朝中官高爵显，,8641297.4871779121,0.0
daxp-FeiShiWo-TaoHuaCun.xml_1,只怪你呆头呆脑慌慌张张。,8647499.5698819328,0.0
daxp-ChunQiuTing-SuoLinNang.xml_30,麟儿那有神送到，,8683774.590822449,0.0
daeh-NuZiYou-TouJunBieYao.xml_1,为薛郎我父女断绝情长。,8731974.3106417749,0.0
daxp-ErDeFu-HongNiGuan.xml_4,清早起我和他一度商量，,8784906.0171455164,0.1111111111111111
