柳暗花明休啼笑,1,柳暗花明休啼笑，
daxp-ErTingDe-SuoLinNang.xml_21,她为饥寒我为骄。,13502805.94261862,0.0
daxp-ChunQiuTing-SuoLinNang.xml_11,必有隐情在心潮。,13509186.602360476,0.0
daxp-ErTingDe-SuoLinNang.xml_17,满腹骄矜顿雪潇。,13648777.716912908,0.0
daxp-ErTingDe-SuoLinNang.xml_7,不该人前乱解嘲。,13648777.716912908,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_2,将身儿坐至在草堂等候，,13852031.088031055,0.0
daeh-ZiNaRi-ErJinGong.xml_8,李艳妃坐昭阳自思自想，,13881343.213911043,0.0
daxp-ZhiJianTa-WangJiangTing.xml_4,莫不是平地风波起，,13951871.187116399,0.0
daxp-FeiShiWo-TaoHuaCun.xml_14,倘若是你响她也响，,14035277.295491792,0.0
daxp-LaoDieDie-YuZhouFeng.xml_0,老爹爹发恩德将本修上，,14049914.752536148,0.0
daxp-ErTingDe-SuoLinNang.xml_30,小小囊儿何足道，,14113608.712563494,0.0
daeh-NuZiYou-TouJunBieYao.xml_0,奴自幼在闺阁娇生惯养，,14131618.684935087,0.0
daeh-LiYanFei-DaBaoGuo.xml_1,文站东武列西朝贺哀家。,14163438.740593342,0.0
daeh-LiYanFei-DaBaoGuo.xml_8,赐你的上方剑朝房问话，,14205559.75139986,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_14,愿天下有情人都成姻眷，,14255919.071918603,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_5,不知道他与我是否一般。,14278610.87412072,0.0
daeh-TanHongYan-HuoXiaoYu.xml_2,薄幸冤家音信无有，,14280653.975259056,0.0
daeh-NuZiYou-TouJunBieYao.xml_3,也不枉我二人苦度时光。,14282161.304795666,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_1,闭口无言王春娥。,14283490.597807482,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_0,海岛冰轮初转腾；,14350174.960150301,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_0,那日风波平地起，,14359726.883925125,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_4,想亲娘和老父心乱如麻。,14408331.953610182,0.0
daeh-LiYanFei-DaBaoGuo.xml_6,写文约我且把玉玺打下，,14424881.840870289,0.0
daxp-ChunQiuTing-SuoLinNang.xml_7,世上何尝尽富豪，,14426822.654488808,0.0
danbz-BeiJiuChan-ChunGuiMeng.xml_3,莫负他好春宵一刻千金。,14568528.12574864,0.0
daxp-ErTingDe-SuoLinNang.xml_4,叫梅香你把那好言相告，,14568920.613917513,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_15,愿邦家从此后国泰民安。,14623491.302230604,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_2,我本是被骗进的富春院，,14624921.815138165,0.0
daspd-DuShouKong-WangJiangTing.xml_3,为避狂徒到此间。,14656667.638583384,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_7,帝王家深宫怨似水流年。,14695597.835054073,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_2,将身儿坐至在草堂等候，,14834692.908560969,0.0
daeh-LiYanFei-ErJinGong.xml_0,李艳妃坐昭阳自思自想，,14863781.261610452,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_1,贼昏王篡了位谋乱邦家。,14895505.395847393,0.0
daeh-WuDuanQiao-BiYuZan.xml_6,一心早想寻短见，,14904240.492389861,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_13,但愿得八主贤王从中周旋，早成姻眷，扫狼烟，叫那胡儿不敢进犯保叔王锦绣江山。,14927609.99518442,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_14,愿天下有情人都成姻眷，,15002733.415699236,0.0
daxp-QiaoLouShang-HuangShanLei.xml_13,果然是晓鸡唱天已黎明。,15009711.853940824,0.14285714285714285
daeh-XiaoNuCai-SanNiangJiaoZi.xml_4,怒气不息在机房闷坐，,15063797.365536317,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_0,小奴才他一言问住我，,15106357.063408004,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_6,我今绝少人生趣，,15114397.593984339,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_13,但愿得八主贤王从中周旋早成美眷、扫狼烟叫那胡儿不敢进犯、保叔王锦锈江山。,15166531.637044448,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_6,贼好比秦赵高指鹿为马，,15204139.274992006,0.0
daxp-ChunQiuTing-SuoLinNang.xml_19,满腹骄矜顿雪潇，,15225460.75864725,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_9,宋天子主婚姻此事成全。,15253339.742275946,0.0
daeh-NuZiYou-TouJunBieYao.xml_2,但愿得去投军功名有望，,15257992.542617181,0.0
daxp-ChunQiuTing-SuoLinNang.xml_16,叫梅香你把那好言相告，,15277055.569734847,0.0
daxp-ErTingDe-SuoLinNang.xml_5,问那厢因何故痛哭无聊？,15326116.089962853,0.0
daeh-WuDuanQiao-BiYuZan.xml_1,薄命自伤怨红颜。,15345579.659565698,0.0
daeh-WuDuanQiao-BiYuZan.xml_0,无端巧计将人陷，,15403744.660880705,0.0
daxp-DangRiLi-SuoLinNang.xml_10,于归日理应当喜形于面，,15412604.253689663,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_5,叹一声不由人珠泪如梭。,15424541.804015249,0.0
daeh-CanQiQi-WuLongZuo.xml_1,叹红颜多薄命父母双亡。,15433832.006226525,0.0
daeh-ZiNaRi-ErJinGong.xml_0,自那日与徐杨决裂以后，,15441005.088515081,0.0
daxp-LaoDieDie-YuZhouFeng.xml_2,倘若是有道君皇恩浩荡，,15448361.72373097,0.0
daxp-QiaoLouShang-HuangShanLei.xml_11,又思来又想去越不安宁。,15456344.806098305,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_3,老薛保你不必苦哀告，,15473005.292866707,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_0,老爹爹清晨起前去出首，,15549742.244350383,0.0
daxp-DuiLingHua-BiYuZan.xml_2,果然是成佳偶两心欢恋，,15573140.525974885,0.0
daxp-ChunQiuTing-SuoLinNang.xml_32,小小囊儿何足道，,15575430.478371704,0.0
daeh-NuZiYou-TouJunBieYao.xml_1,为薛郎我父女断绝情长。,15588253.077453582,0.0
daeh-ZiNaRi-ErJinGong.xml_10,耳边厢又听得朝靴响亮，,15631272.144647785,0.0
daxp-ErTingDe-SuoLinNang.xml_26,这都是神话凭空造，,15719868.285468604,0.0
daeh-LiYanFei-DaBaoGuo.xml_0,李艳妃设早朝龙书案下，,15733277.077952972,0.0
daxp-ErTingDe-SuoLinNang.xml_29,积德才生玉树苗。,15745330.156100091,0.0
daxp-ChunQiuTing-SuoLinNang.xml_28,这都是神话凭空造，,15784270.164188188,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_4,贼好比王莽贼称孤道寡，,15831303.883061975,0.0
daeh-LiYanFei-ErJinGong.xml_5,我只得怀抱太子两泪汪汪口口声声哭的是先王。,15917643.617125409,0.0
daxp-DiTouLi-NvQiJie.xml_7,来生变犬马我当报还。,15950096.793697864,0.0
daeh-WuDuanQiao-BiYuZan.xml_2,独处闺房愁无限，,15954257.359863587,0.0
daeh-ZiNaRi-ErJinGong.xml_13,我只得怀抱太子两泪汪汪口口声声哭的是先王！,15975550.543264754,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_15,愿天下从此后国泰民安。,15976959.872845201,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_0,王春娥坐草堂自思自叹，,15982454.786589421,0.0
daeh-SunShangXiang-BieHuangGong.xml_7,阿斗儿行中途被子龙追还。,16071106.667294335,0.0
daeh-ZiNaRi-ErJinGong.xml_7,看一看不觉到八月中秋。,16109517.354405912,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_2,病恹恹身无力难以挣扎。,16156836.609393099,0.0
daxp-ErTingDe-SuoLinNang.xml_31,救她饥渴胜琼瑶。,16160288.705291815,0.0
daeh-SunShangXiang-BieHuangGong.xml_1,想起了已往事心内痛酸。,16162573.983384436,0.0
sdxp-SuLongWei-WuJiaPo.xml_37,欺奴犹如欺了天。,16187223.698666956,0.0
daxp-ErTingDe-SuoLinNang.xml_9,哪有个袖手旁观在壁上瞧。,16203824.183085479,0.0
sdxp-DangNianHan-SanJiZhang.xml_10,都是安邦定国臣，,16237690.167081892,0.0
daxp-DiTouLi-NvQiJie.xml_3,过往的君子听我言。,16245434.823251944,0.0
daeh-ZiNaRi-ErJinGong.xml_3,太师爷一心心想篡龙楼。,16250034.543135174,0.0
daxp-DangRiLi-SuoLinNang.xml_8,轿中人必定有一腔幽怨，,16252350.384404352,0.0
daeh-ZuoChunGui-XiShi.xml_3,夜不眠朝慵起又向谁言。,16257794.765353044,0.0
daeh-ZiNaRi-ErJinGong.xml_1,独坐在寒宫院闷闷悠悠。,16308235.560747234,0.0
sdxp-DangNianHan-SanJiZhang.xml_12,登台拜帅天下闻。,16345666.835611906,0.0
daxp-WoZhuYe-SiLangTanMu.xml_4,叫番儿忙摆驾银安殿，,16363343.429469466,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_6,将身儿来至在机房织绢，,16395178.576384019,0.0
daeh-LiYanFei-ErJinGong.xml_1,想起了朝中事好不惨伤！,16430282.742556557,0.0
daxp-ChunQiuTing-SuoLinNang.xml_23,他为饥寒我为娇。,16520737.986993445,0.0
daxp-DangRiLi-SuoLinNang.xml_2,在轿中只觉得天昏地暗。,16522497.970409594,0.14285714285714285
daeh-TanHongYan-HuoXiaoYu.xml_4,枕边泪（呀）共（那）阶前雨，,16540962.543648088,0.0
daxp-ZhiJianTa-WangJiangTing.xml_7,何必独自就暗猜疑。,16600197.74650404,0.14285714285714285
daeh-WangChunE-SanNiangJiaoZi.xml_1,想起了我老爷好不惨然。,16647845.148647796,0.0
daeh-ZuoChunGui-XiShi.xml_0,坐春闺只觉得光明似箭，,16689801.071499771,0.14285714285714285
daxp-SuSanLi-NvQiJie.xml_3,过往的君子听我言。,16692670.800182454,0.0
daeh-ZiNaRi-ErJinGong.xml_5,竟把我孤儿寡母当做了马牛。,16710428.294854505,0.0
daxp-ZhiJianTa-WangJiangTing.xml_2,何人来把书信寄？,16728628.391012138,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_0,老爹爹清晨起前去出前，,16772017.969740089,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_7,贼好比那司马师搅乱中华。,16786693.145901196,0.0
daxp-WoZhuYe-SiLangTanMu.xml_2,众卿随忙挂点亲率官员，,16810542.08025511,0.0
sdxp-DangNianHan-SanJiZhang.xml_14,在六国封相人上人。,16825793.698006045,0.0
daxp-ChunQiuTing-SuoLinNang.xml_33,救她饥渴胜琼瑶。,16863076.614983261,0.0
daxp-FeiShiWo-TaoHuaCun.xml_16,你把我当做诸葛亮，,16892967.094781686,0.0
daxp-QiaoLouShang-HuangShanLei.xml_2,对孤灯思远道心神不定，,17003911.54773812,0.0
daxp-NiDeFu-FenHeWan.xml_2,把弓带和鱼镖与儿带定，,17054507.114222743,0.0
sdxp-SuLongWei-WuJiaPo.xml_33,家人小厮有万千。,17070457.240655154,0.0
daeh-SunShangXiang-BieHuangGong.xml_6,回荆州未三载诓我回转，,17115201.056444813,0.0
daxp-DiTouLi-NvQiJie.xml_5,与我那三郎把信传。,17186350.214210916,0.0
daeh-SunShangXiang-BieHuangGong.xml_8,恨只恨我兄长把事错办，,17188720.409856871,0.0
daeh-LiYanFei-ErJinGong.xml_2,耳边厢又听得朝靴响亮，,17201291.576797828,0.0
daxp-SuSanLi-NvQiJie.xml_7,来生变犬马我当报还！,17282107.94242651,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_11,两旁的文武臣珠泪如麻，,17388204.211840566,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_0,蒙君子至殷勤再三问话，,17408370.512178376,0.0
danbz-BeiJiuChan-ChunGuiMeng.xml_4,原来是不耐烦已经睡困，,17430317.249952793,0.0
daxp-QiaoLouShang-HuangShanLei.xml_4,到三更真个是月明人静，,17430738.734948453,0.14285714285714285
daeh-LiYanFei-DaBaoGuo.xml_2,太师爷奏一本进贡年下，,17456334.35805136,0.0
daxp-SuSanLi-NvQiJie.xml_5,与我那三郎把信传。,17479965.077166464,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_0,老爹爹请息（呀）怒容儿细讲，,17501271.942488182,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_2,暗地堪笑我兄长，,17579927.260738369,0.2857142857142857
daxp-ChunQiuTing-SuoLinNang.xml_31,积德才生玉树苗，,17637443.216893494,0.0
daxp-DuiLingHua-BiYuZan.xml_0,对菱花暗地里芳心自转，,17642345.342975102,0.2857142857142857
sdxp-DangNianHan-SanJiZhang.xml_16,难道说文官他就不丧身？,17662576.570514891,0.0
daxp-DangRiLi-SuoLinNang.xml_9,她泪自弹、声续断、似杜鹃、啼别院、巴峡哀猿动人心弦，好不惨然。,17679505.42413481,0.14285714285714285
daeh-ZiNaRi-ZhuangYuanMei-2.xml_9,宋天子主婚姻此事成全。,17720325.696790144,0.0
daxp-ZhiJianTa-WangJiangTing.xml_9,相公你为何不歇息？,17720415.049451619,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_3,乱军中多亏他救我回还。,17745510.226638895,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_11,但愿得杨六郎心如石坚，,17789593.635868661,0.0
daxp-GuanShiYin-TianNvSanHua.xml_6,满眼中清妙景灵光万丈，,17815883.727154601,0.0
daxp-ErDeFu-HongNiGuan.xml_5,不想到狠心郎一味猖狂。,17825727.196631875,0.0
daxp-WoZhuYe-SiLangTanMu.xml_5,阅兵书看何人前来何安。,17836037.001381204,0.0
daxp-DiTouLi-NvQiJie.xml_4,哪一位去往南京转，,17850083.106349763,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_5,莫奈何到荒郊我就来捡芦花。,17903608.23827127,0.14285714285714285
daxp-ChunQiuTing-SuoLinNang.xml_25,安他半世凤凰巢。,17937347.680331618,0.0
daxp-ErTingDe-SuoLinNang.xml_23,安她半世凤凰剿。,17937347.680331618,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_3,乱军中多亏他救我回还。,17988052.48323904,0.0
daspd-DuShouKong-WangJiangTing.xml_0,独守空帏暗长叹，,17992623.75408097,0.14285714285714285
daeh-TanHongYan-HuoXiaoYu.xml_5,隔着窗儿点滴不休。,18038752.493712638,0.14285714285714285
daxp-DangRiLi-SuoLinNang.xml_14,急切里想起了锁麟囊一（呀）件，,18046332.951889127,0.0
daeh-CanQiQi-WuLongZuo.xml_3,担几肩头晕转体若筛糠。,18049725.188986406,0.0
daeh-ZiNaRi-ErJinGong.xml_11,想必是徐杨进了昭阳。,18061312.400464457,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_2,父休笑薛平贵是花郎模样，,18072352.033462066,0.42857142857142855
dldeh-ShouBiPo-ChunQiuPei.xml_1,受逼迫去捡柴泪如雨下，,18171498.702945068,0.0
daxp-WoHeNi-SangYuanHui.xml_1,谁认你狼心狗肺的人！,18316642.817531738,0.0
daeh-LiYanFei-DaBaoGuo.xml_9,压定了文武臣均要画押。,18357737.942565918,0.0
daxp-FeiShiWo-TaoHuaCun.xml_8,你不要高声不要嚷，,18383344.29056,0.0
daeh-SunShangXiang-BieHuangGong.xml_4,与周郎定巧计把皇叔来骗，,18391286.655272081,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_1,有谁知一时错被逐宫廷。,18532811.272291023,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_4,这桩事闷得我柔肠百转，,18540442.758165658,0.0
daxp-FeiShiWo-TaoHuaCun.xml_17,听我的号令上战场。,18661717.723377191,0.0
daxp-ErDeFu-HongNiGuan.xml_0,儿的父为国家阵前命丧，,18674426.246787548,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_3,奴好比花未开风吹雨打，,18686558.780530076,0.14285714285714285
daeh-WangChunE-SanNiangJiaoZi.xml_2,春娥女好一此失群孤雁，,18691799.486284766,0.0
daxp-FeiShiWo-TaoHuaCun.xml_3,关系你患难鸳鸯永宿在池塘。,18738093.581802011,0.0
daxp-ChunQiuTing-SuoLinNang.xml_2,在隔帘只见这一花轿，,18755745.175651439,0.14285714285714285
daxp-ZhiJianTa-WangJiangTing.xml_3,害得儿夫犯焦急；,18916287.9697823,0.0
daeh-SunShangXiang-BieHuangGong.xml_0,孙尚香坐宫院自思自叹，,19013173.152733173,0.0
daxp-XiShiNv-XiShi.xml_1,难得有开怀事常锁双眉。,19018290.082175147,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_4,这桩事闷得我柔肠百转，,19019502.607127566,0.0
daxp-QiaoLouShang-HuangShanLei.xml_0,谯楼上二更鼓声声送听，,19085731.470444277,0.0
daeh-LiYanFei-DaBaoGuo.xml_3,各国的众王侯朝贺中华。,19104759.785597607,0.0
daeh-LiYanFei-ErJinGong.xml_3,想必是徐杨将进了昭阳。,19139829.401258141,0.0
daxp-DangRiLi-SuoLinNang.xml_4,那花轿必定是因陋就简，,19147296.280354224,0.14285714285714285
daxp-ChunQiuTing-SuoLinNang.xml_9,也有失意痛哭嚎啕，,19338258.540952463,0.0
daeh-ZiNaRi-ErJinGong.xml_9,想起了老王爷好不惨伤。,19373090.203558292,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_4,母女隔断三千里，,19393502.186525784,0.0
daxp-GuanShiYin-TianNvSanHua.xml_2,菩提树薝卜花千枝掩映，,19542479.904929668,0.14285714285714285
